,SNRPG (6637)
ACH-000004,-1.55603675088
ACH-000007,-1.5434621027200002
ACH-000009,-1.52641580704
ACH-000011,-1.09774134896
ACH-000012,-1.6631025506000001
ACH-000013,-1.5038242368399999
ACH-000014,-1.4967034925999998
ACH-000015,-1.6667566985
ACH-000017,-1.40709005854
ACH-000018,-1.3533531276
ACH-000019,-1.3572165341
ACH-000021,-1.41765641528
ACH-000022,-1.50947385034
ACH-000025,-1.6052265924
ACH-000028,-1.54376886711
ACH-000030,-1.56296512514
ACH-000035,-1.29981588404
ACH-000036,-1.58040256386
ACH-000037,-2.3413362041
ACH-000039,-1.81044291754
ACH-000040,-1.3002011737799999
ACH-000041,-1.0633871855099999
ACH-000042,-1.43115380074
ACH-000045,-1.5181642121399999
ACH-000047,-1.6733716167200001
ACH-000052,-1.4511426877200002
ACH-000053,-1.51727041343
ACH-000054,-1.6147111566999999
ACH-000055,-1.22889125754
ACH-000060,-1.4447562782700003
ACH-000067,-1.43580128671
ACH-000070,-1.45618979442
ACH-000075,-1.4953922712399998
ACH-000078,-1.84468174575
ACH-000082,-1.5326557240600003
ACH-000085,-1.2974631782600001
ACH-000086,-1.3619377822799998
ACH-000087,-1.4620556860299998
ACH-000092,-1.7035063492700002
ACH-000095,-1.7122747579700002
ACH-000097,-1.6503733070299997
ACH-000098,-1.45279216794
ACH-000099,-1.69004215576
ACH-000108,-1.4011336425299998
ACH-000113,-1.41340570101
ACH-000115,-1.9838949173599998
ACH-000116,-1.4289395010400001
ACH-000118,-1.44842109336
ACH-000120,-1.60829412948
ACH-000123,-1.5654661215
ACH-000127,-1.4682582318000001
ACH-000128,-1.5764498795
ACH-000132,-1.51313537709
ACH-000133,-1.71199160051
ACH-000137,-1.7137312327
ACH-000138,-1.4985855689399998
ACH-000142,-1.5349731734799998
ACH-000143,-1.33543476395
ACH-000146,-1.71303498895
ACH-000148,-1.57865811531
ACH-000150,-1.4837513322
ACH-000152,-1.6685973540799999
ACH-000153,-1.540265346
ACH-000159,-1.48578178054
ACH-000160,-1.27366612168
ACH-000163,-1.3621968291100002
ACH-000167,-1.7180947326700002
ACH-000168,-1.59183183428
ACH-000169,-1.48906243065
ACH-000178,-1.53197881629
ACH-000182,-1.41847126403
ACH-000183,-1.36053345713
ACH-000188,-1.4308301329700002
ACH-000189,-1.11232939137
ACH-000190,-1.40313491697
ACH-000198,-1.72719153693
ACH-000204,-1.46772949027
ACH-000206,-1.40658992222
ACH-000207,-2.08937078537
ACH-000211,-1.1044962334100001
ACH-000215,-1.53727133218
ACH-000221,-1.5826228686000001
ACH-000222,-1.7376943202200001
ACH-000223,-1.71452259933
ACH-000226,-1.66758649869
ACH-000227,-1.66524927007
ACH-000228,-1.34955263934
ACH-000231,-1.4997915009600002
ACH-000232,-1.4872195455700001
ACH-000233,-1.57638507615
ACH-000234,-1.43152360128
ACH-000235,-1.5953368769299998
ACH-000237,-1.65173466388
ACH-000238,-1.82667210366
ACH-000243,-1.54918527249
ACH-000244,-1.60566020613
ACH-000246,-1.5628573625
ACH-000248,-1.3123394099299999
ACH-000250,-1.53439099222
ACH-000251,-1.4074910396899998
ACH-000253,-1.498374445
ACH-000255,-1.40723089669
ACH-000256,-1.44305850415
ACH-000257,-1.6941131707
ACH-000258,-1.5112157222100002
ACH-000259,-1.7315049543599998
ACH-000260,-1.4377273865200002
ACH-000261,-1.48452570674
ACH-000262,-1.36786866073
ACH-000263,-1.18790638746
ACH-000264,-1.3781878937999998
ACH-000265,-1.46482598325
ACH-000266,-1.60676632584
ACH-000272,-1.2801636018200002
ACH-000273,-1.53808075283
ACH-000274,-1.67667689245
ACH-000277,-1.3932762994
ACH-000278,-1.4879186743000001
ACH-000279,-1.6126749749399998
ACH-000280,-1.5107683753799999
ACH-000281,-1.63881997196
ACH-000288,-1.6099214740099999
ACH-000291,-1.84245574352
ACH-000293,-1.23678709548
ACH-000294,-1.45485857562
ACH-000295,-1.85772877037
ACH-000296,-1.70241216148
ACH-000302,-1.35485796348
ACH-000304,-1.7479832679599998
ACH-000307,-1.4719632727399998
ACH-000308,-1.732499337
ACH-000310,-1.9916736639800001
ACH-000311,-1.63293299375
ACH-000312,-1.6944465099500001
ACH-000315,-1.58735564127
ACH-000316,-1.7333392814400002
ACH-000317,-1.53684038007
ACH-000318,-1.3855132387600002
ACH-000319,-1.24913684213
ACH-000320,-1.70063361309
ACH-000322,-1.60324467394
ACH-000323,-1.83744754855
ACH-000324,-1.65639027529
ACH-000329,-1.84294855556
ACH-000330,-1.29829924825
ACH-000331,-1.23636852567
ACH-000332,-1.65151535474
ACH-000334,-1.3957755838199999
ACH-000335,-1.5016025986200001
ACH-000336,-1.6188113520899998
ACH-000337,-1.5010115009
ACH-000339,-1.3120758299700002
ACH-000341,-0.9292381885700001
ACH-000348,-1.39331808938
ACH-000350,-1.6825354700200001
ACH-000352,-1.11961177742
ACH-000356,-1.98700956216
ACH-000361,-1.4065702109399998
ACH-000362,-1.5629244735699999
ACH-000363,-1.46448650929
ACH-000364,-1.4111909071000002
ACH-000365,-1.3037723866500002
ACH-000366,-1.5339113455000002
ACH-000368,-1.59474418645
ACH-000374,-1.52222778229
ACH-000375,-1.5668027536700002
ACH-000376,-1.67730478167
ACH-000381,-1.40653782604
ACH-000383,-1.78376980213
ACH-000387,-1.4387320417200002
ACH-000389,-1.38929633586
ACH-000390,-1.35911086116
ACH-000393,-1.3540722088600001
ACH-000395,-1.60976555878
ACH-000397,-1.3570817843599998
ACH-000401,-1.48869491014
ACH-000402,-1.071460583
ACH-000403,-1.85312439551
ACH-000404,-2.2100357945599995
ACH-000406,-1.41477967947
ACH-000407,-1.44814681157
ACH-000408,-1.5249084480000001
ACH-000410,-1.22929687605
ACH-000411,-1.4932163281200002
ACH-000414,-1.76496767467
ACH-000415,-1.62778640315
ACH-000416,-1.57685047324
ACH-000420,-1.79025057129
ACH-000421,-1.3797628880200001
ACH-000424,-1.4484454634000001
ACH-000425,-1.7298136504
ACH-000426,-0.910852852983
ACH-000427,-1.7831842602799999
ACH-000433,-1.6089295840399997
ACH-000436,-1.60126599169
ACH-000444,-1.4157926756
ACH-000445,-1.7904278193
ACH-000448,-1.53665414629
ACH-000450,-1.30918354234
ACH-000452,-1.4493940899200002
ACH-000454,-1.26752833508
ACH-000458,-1.4049193591100002
ACH-000459,-1.33718214929
ACH-000460,-1.51150227776
ACH-000461,-1.57522263748
ACH-000463,-1.33398886721
ACH-000464,-1.7292643854299998
ACH-000466,-1.38613890611
ACH-000467,-1.46055974567
ACH-000468,-2.0731722279400002
ACH-000469,-1.56507956886
ACH-000470,-1.9406015940299999
ACH-000471,-1.5101003879600001
ACH-000472,-1.5774168447699999
ACH-000473,-1.4581484692
ACH-000475,-1.58170885658
ACH-000476,-1.57782797789
ACH-000477,-1.22396148441
ACH-000480,-1.33724691089
ACH-000481,-1.5424263254600001
ACH-000483,-1.51525533656
ACH-000484,-1.89122709373
ACH-000485,-1.86345551664
ACH-000486,-1.4642054731999998
ACH-000487,-1.4452049906600002
ACH-000488,-1.61623962129
ACH-000490,-1.5546567823800002
ACH-000491,-1.78629394072
ACH-000495,-1.4658466474399998
ACH-000496,-1.52751907481
ACH-000499,-1.4154291006600002
ACH-000500,-1.44159187518
ACH-000502,-1.44134378727
ACH-000503,-1.53161078314
ACH-000505,-1.52666965468
ACH-000507,-1.9627820866299999
ACH-000510,-1.47100156182
ACH-000511,-1.22246082516
ACH-000512,-1.12983557575
ACH-000516,-1.59644741099
ACH-000517,-1.77407452189
ACH-000518,-1.46377065302
ACH-000520,-1.62893205211
ACH-000521,-1.7413057220800001
ACH-000522,-1.59615221479
ACH-000524,-1.7295363565200002
ACH-000527,-1.55051437896
ACH-000528,-1.38591718775
ACH-000537,-1.4885521299000002
ACH-000541,-1.4216597095200003
ACH-000542,-1.468753186
ACH-000544,-1.2256651273899999
ACH-000545,-1.35632521993
ACH-000547,-1.51446470291
ACH-000548,-1.4287640615700001
ACH-000549,-1.57725734408
ACH-000550,-1.3389831344399998
ACH-000552,-1.26534615766
ACH-000556,-1.40486986042
ACH-000557,-1.5780276970500002
ACH-000570,-1.52443746868
ACH-000571,-1.93042760777
ACH-000573,-1.70752502125
ACH-000576,-1.45362901502
ACH-000580,-1.5907849082700003
ACH-000584,-1.6452778801199999
ACH-000585,-1.5032209420299998
ACH-000588,-1.33284766423
ACH-000589,-1.58205059366
ACH-000591,-0.9989554641249999
ACH-000593,-1.5999719003
ACH-000600,-1.6790924002599998
ACH-000601,-1.5787599982799998
ACH-000604,-1.6392049125200001
ACH-000605,-1.52230632365
ACH-000606,-1.31514836761
ACH-000608,-2.0979170903299997
ACH-000614,-1.6586633372600001
ACH-000616,-1.4953043728400002
ACH-000618,-1.49818801867
ACH-000619,-1.53747537279
ACH-000620,-1.4392651055399999
ACH-000621,-1.70161509071
ACH-000622,-1.47267266944
ACH-000623,-1.48149862739
ACH-000624,-1.5933567003600002
ACH-000627,-1.7836714620099998
ACH-000630,-1.57076251313
ACH-000632,-1.34603599178
ACH-000633,-1.60153503053
ACH-000637,-1.42126676639
ACH-000638,-1.5362227744999999
ACH-000646,-1.53608927241
ACH-000647,-1.5851279382799999
ACH-000648,-1.2986503304700001
ACH-000649,-1.52109235841
ACH-000651,-1.61006165625
ACH-000652,-1.5196958390000002
ACH-000653,-1.6194466040200002
ACH-000657,-1.5503393540200001
ACH-000658,-1.39253544291
ACH-000661,-1.88658551586
ACH-000662,-1.6745500390399999
ACH-000663,-1.25190462799
ACH-000665,-1.51044160104
ACH-000671,-1.17288897884
ACH-000673,-1.5728006349
ACH-000676,-1.5525154352700001
ACH-000677,-1.04678662264
ACH-000681,-1.43254843037
ACH-000682,-1.53644899482
ACH-000683,-1.53800972253
ACH-000684,-1.40842394794
ACH-000688,-1.78266003575
ACH-000693,-1.3826547112099998
ACH-000694,-1.5329039631999999
ACH-000695,-1.5046946761000002
ACH-000696,-1.39739427605
ACH-000697,-1.5470167112
ACH-000699,-1.7940411583000002
ACH-000701,-1.75137280228
ACH-000706,-1.36132956696
ACH-000711,-1.5356065666299998
ACH-000713,-1.18442610093
ACH-000714,-1.80702477468
ACH-000718,-1.94886767407
ACH-000720,-1.54956971456
ACH-000721,-1.4936884508200001
ACH-000724,-1.7822686385799997
ACH-000725,-1.9794350560099998
ACH-000732,-1.1980233620799998
ACH-000734,-1.6180078371700002
ACH-000735,-1.37036993139
ACH-000736,-1.71743938915
ACH-000738,-1.47235779542
ACH-000746,-1.82456524435
ACH-000747,-1.4655043948299997
ACH-000748,-1.6903309194299998
ACH-000753,-1.52628917211
ACH-000756,-1.53520300175
ACH-000757,-1.61735851648
ACH-000758,-1.2526296019499998
ACH-000760,-1.4174503848299997
ACH-000763,-1.15518661967
ACH-000764,-1.5272378362299999
