,HNRNPUL2 (221092)
ACH-000004,-0.252738822247
ACH-000007,-0.18242395702
ACH-000009,-0.22107875670899998
ACH-000011,-0.37697440866400006
ACH-000012,-0.588639442118
ACH-000013,-0.418245188142
ACH-000014,-0.0340243901298
ACH-000015,-0.266127195854
ACH-000017,-0.479594006395
ACH-000018,-0.387025454802
ACH-000019,-0.38739699078900003
ACH-000021,-0.428380208935
ACH-000022,-0.42112281345200003
ACH-000025,-0.524284511896
ACH-000028,-0.520834386838
ACH-000030,-0.28245124864
ACH-000035,-0.248447861156
ACH-000036,-0.325161178847
ACH-000037,-0.453126896311
ACH-000039,-0.8790669459739999
ACH-000040,-0.574654941317
ACH-000041,-0.28607689632100003
ACH-000042,-0.416615623151
ACH-000045,-0.542255162886
ACH-000047,-0.298921998148
ACH-000052,-0.6811370951819999
ACH-000053,-0.32178895122900003
ACH-000054,-0.49224398826399995
ACH-000055,-0.264325141825
ACH-000060,-0.5224895934780001
ACH-000067,-0.339389454318
ACH-000070,-0.62344990596
ACH-000075,-0.768933576477
ACH-000078,-0.403161367916
ACH-000082,-0.432208832942
ACH-000085,-0.666015810729
ACH-000086,-0.613027462509
ACH-000087,-0.750061846775
ACH-000092,-0.410368733216
ACH-000095,-0.31945801624000003
ACH-000097,-0.396225834421
ACH-000098,-0.362769915008
ACH-000099,-0.34938058804
ACH-000108,-0.0836459944118
ACH-000113,-0.382572008513
ACH-000115,-0.39394315138999997
ACH-000116,-0.401070069952
ACH-000118,-0.43861833386699994
ACH-000120,-0.223296874758
ACH-000123,-0.348283979944
ACH-000127,-0.26136852270399996
ACH-000128,-0.291329916623
ACH-000132,-0.569086235989
ACH-000133,-0.398491178942
ACH-000137,-0.559743533423
ACH-000138,-0.47441707741800004
ACH-000142,-0.327672469273
ACH-000143,-0.0473765349207
ACH-000146,-0.343572812368
ACH-000148,-0.41471338032300004
ACH-000150,-0.48496911411399996
ACH-000152,-0.244227506152
ACH-000153,-0.38483529188
ACH-000159,-0.34293500051200004
ACH-000160,-0.642799800119
ACH-000163,-0.331043919851
ACH-000167,-0.515203248815
ACH-000168,-0.493902527196
ACH-000169,-0.373470129569
ACH-000178,-0.348766413729
ACH-000182,-0.432141328142
ACH-000183,-0.509630117479
ACH-000188,-0.397254718534
ACH-000189,-0.624079885295
ACH-000190,-0.49663439759499994
ACH-000198,-0.215172681208
ACH-000204,-0.47139979929799997
ACH-000206,-0.567859938026
ACH-000207,-0.35255309240599997
ACH-000211,-0.456889847327
ACH-000215,-0.48165264238000005
ACH-000221,-0.428810255726
ACH-000222,-0.538636974319
ACH-000223,-0.48088906223800004
ACH-000226,-0.38174889891400005
ACH-000227,-0.6544470743590001
ACH-000228,-0.7272084027310001
ACH-000231,-0.347868678265
ACH-000232,-0.301972960284
ACH-000233,-0.496802518967
ACH-000234,-0.2847773637
ACH-000235,-0.554183531038
ACH-000237,-0.444350325201
ACH-000238,-0.202410345711
ACH-000243,-0.359191022223
ACH-000244,-0.6720881828149999
ACH-000246,-0.5475392908
ACH-000248,-0.44269758368999995
ACH-000250,-0.316592602741
ACH-000251,-0.216361396336
ACH-000253,-0.39674154090400005
ACH-000255,-0.258954041638
ACH-000256,-0.599192838916
ACH-000257,-0.300792106159
ACH-000258,-0.184942651532
ACH-000259,-0.409533149836
ACH-000260,-0.276653056733
ACH-000261,-0.5615751422590001
ACH-000262,-0.665844689894
ACH-000263,-0.309738230174
ACH-000264,-0.376617183984
ACH-000265,-0.39293819963
ACH-000266,-0.41598544194799997
ACH-000272,-0.3155574149
ACH-000273,-0.505353089068
ACH-000274,-0.201146301635
ACH-000277,-0.32072207558800003
ACH-000278,-0.0277914970914
ACH-000279,-0.336470013228
ACH-000280,-0.224556889657
ACH-000281,-0.267042653036
