,RFPL4A (342931)
ACH-000004,-0.300873046381
ACH-000007,-0.256502959767
ACH-000009,-0.25207428319200004
ACH-000011,-0.05936379235690001
ACH-000012,-0.23016514422899997
ACH-000013,-0.346359470612
ACH-000014,-0.167037231552
ACH-000015,-0.17735698167999997
ACH-000017,-0.150686885962
ACH-000018,-0.240516895919
ACH-000019,-0.303240525805
ACH-000021,-0.34124036491
ACH-000022,-0.308673862597
ACH-000025,-0.234361241717
ACH-000028,-0.24025663507
ACH-000030,-0.571159388954
ACH-000035,-0.148272865197
ACH-000036,-0.34983500709700005
ACH-000037,-0.0749628395232
ACH-000039,-0.222706298918
ACH-000040,-0.262218633676
ACH-000041,-0.239377503451
ACH-000042,-0.12574711806
ACH-000045,-0.330981184
ACH-000047,-0.178753161066
ACH-000052,-0.188403603532
ACH-000053,-0.23086857367600003
ACH-000054,-0.306666471578
ACH-000055,-0.189275546781
ACH-000060,-0.158593891297
ACH-000067,-0.240657096036
ACH-000070,-0.30510141043
ACH-000075,-0.42188092222900003
ACH-000078,-0.275683190596
ACH-000082,-0.28029761864999997
ACH-000085,-0.222702175477
ACH-000086,-0.266999808116
ACH-000087,-0.256527304117
ACH-000092,-0.355453429443
ACH-000095,-0.201970748968
ACH-000097,-0.202907781496
ACH-000098,-0.301629811608
ACH-000099,-0.406410798533
ACH-000108,-0.286692870082
ACH-000113,-0.420905760184
ACH-000115,-0.36163818189
ACH-000116,-0.119228268597
ACH-000118,-0.22046887182100003
ACH-000120,-0.375074173298
ACH-000123,-0.381996102572
ACH-000127,-0.169606077453
ACH-000128,-0.297586894793
ACH-000132,-0.172278035437
ACH-000133,-0.156124985892
ACH-000137,-0.382719795767
ACH-000138,-0.35218788799
ACH-000142,-0.469095547824
ACH-000143,-0.257200485006
ACH-000146,-0.18117338259799998
ACH-000148,-0.279335322363
ACH-000150,-0.126162449775
ACH-000152,-0.323396979992
ACH-000153,-0.498918483084
ACH-000159,-0.255533220106
ACH-000160,-0.188529169454
ACH-000163,-0.398586294632
ACH-000167,-0.113807526171
ACH-000168,-0.14228019995
ACH-000169,-0.193368348803
ACH-000178,-0.286085284917
ACH-000182,-0.212488097177
ACH-000183,-0.118119367446
ACH-000188,-0.148247470541
ACH-000189,-0.511750089936
ACH-000190,-0.39035478515699995
ACH-000198,-0.244624177757
ACH-000204,-0.269439018196
ACH-000206,-0.303156944085
ACH-000207,-0.20706992162
ACH-000211,-0.22298796422699999
ACH-000215,-0.284832332293
ACH-000221,-0.281029041029
ACH-000222,-0.195580594179
ACH-000223,-0.167717073685
ACH-000226,-0.179309083097
ACH-000227,-0.40783733852799997
ACH-000228,-0.152912409028
ACH-000231,-0.123795941534
ACH-000232,-0.23311052585
ACH-000233,-0.23975390549699999
ACH-000234,-0.280566579628
ACH-000235,-0.247516627372
ACH-000237,-0.545195177043
ACH-000238,-0.230822147915
ACH-000243,-0.15255231907199998
ACH-000244,-0.320106747968
ACH-000246,-0.419943528253
ACH-000248,-0.137631581699
ACH-000250,-0.373852387452
ACH-000251,-0.260708026724
ACH-000253,-0.25472231524
ACH-000255,-0.141059680052
ACH-000256,-0.175493784728
ACH-000257,-0.252677104527
ACH-000258,-0.206268551364
ACH-000259,-0.228932998994
ACH-000260,-0.26150047957199996
ACH-000261,-0.281801957979
ACH-000262,-0.32907854021099997
ACH-000263,-0.326940301032
ACH-000264,-0.149440382963
ACH-000265,-0.265468943571
ACH-000266,-0.19426116429200002
ACH-000272,-0.172189165513
ACH-000273,-0.226338039489
ACH-000274,-0.188869748314
ACH-000277,-0.20244323528299998
ACH-000278,-0.407838687393
ACH-000279,-0.265506068603
ACH-000280,-0.36450296465300003
ACH-000281,-0.106630502393
ACH-000288,-0.10601073210300001
ACH-000291,-0.401998024341
ACH-000293,-0.35190521506800004
ACH-000294,-0.38359145676600004
ACH-000295,-0.135529004998
ACH-000296,-0.21196204605
ACH-000302,-0.380940027252
ACH-000304,-0.527548084836
ACH-000307,-0.190558222036
ACH-000308,-0.31749328173700003
ACH-000310,-0.13818792456499998
ACH-000311,-0.268179121859
ACH-000312,-0.06317222584599999
ACH-000315,-0.19759120329399998
ACH-000316,-0.248324713915
ACH-000317,-0.206908507386
ACH-000318,-0.185210793787
ACH-000319,-0.212159073918
ACH-000320,-0.294207762413
ACH-000322,-0.241317265416
ACH-000323,-0.416147415437
ACH-000324,-0.37846373915299997
ACH-000329,-0.054614073907900004
ACH-000330,-0.053574667796300005
ACH-000331,-0.12840988666300002
ACH-000332,-0.316783291313
ACH-000334,-0.27361298969799996
ACH-000335,-0.237910065463
ACH-000336,-0.103476750307
ACH-000337,-0.429032281884
ACH-000339,-0.30853280982
ACH-000341,-0.301319847395
ACH-000348,-0.16249714398499998
ACH-000350,-0.271875883255
ACH-000352,-0.21730883715500002
ACH-000356,-0.142566557395
ACH-000361,-0.341211894434
ACH-000362,-0.34857106798799997
ACH-000363,-0.225718375942
ACH-000364,-0.32755713222399996
ACH-000365,-0.255968962562
ACH-000366,-0.266383595645
ACH-000368,-0.232698155835
ACH-000374,-0.119570969663
