,TFDP1 (7027)
ACH-000004,-0.526229479409
ACH-000007,-0.609404051947
ACH-000009,-0.471919597288
ACH-000011,-0.643546286625
ACH-000012,-0.7917343615350001
ACH-000013,-0.385375610893
ACH-000014,-0.6642265880120001
ACH-000015,-0.410188728868
ACH-000017,-0.589648530078
ACH-000018,-0.653228193848
ACH-000019,-0.493895799373
ACH-000021,-0.357969789718
ACH-000022,-0.871862359845
ACH-000025,-0.62785686562
ACH-000028,-0.654150167644
ACH-000030,-0.462803458046
ACH-000035,-0.658700012453
ACH-000036,-0.8552492572229999
ACH-000037,-0.9357529771080001
ACH-000039,-0.9849729944769999
ACH-000040,-1.00001690685
ACH-000041,-0.563094521747
ACH-000042,-0.928580991573
ACH-000045,-0.5428729738279999
ACH-000047,-0.606417587743
ACH-000052,-0.771458301979
ACH-000053,-0.155480107738
ACH-000054,-0.727681118519
ACH-000055,-0.774571660716
ACH-000060,-1.05024664355
ACH-000067,-0.891317996872
ACH-000070,-0.8043190804639999
ACH-000075,-1.23842136118
ACH-000078,-0.7929281289319999
ACH-000082,-0.804566984397
ACH-000085,-0.614778492792
ACH-000086,-0.65126792601
ACH-000087,-0.35434112891999997
ACH-000092,-0.29004613648
ACH-000095,-0.7514019948180001
ACH-000097,-0.792449982878
ACH-000098,-0.569898841984
ACH-000099,-0.832297539568
ACH-000108,-0.638571359896
ACH-000113,-0.8857619843260001
ACH-000115,-0.962224264365
ACH-000116,-0.577288202276
ACH-000118,-0.611283194402
ACH-000120,-0.48266275714199997
ACH-000123,-0.568166295971
ACH-000127,-0.516959765389
ACH-000128,-0.833774522216
ACH-000132,-0.644907765697
ACH-000133,-1.18416684572
ACH-000137,-0.7202428821439999
ACH-000138,-0.341538076812
ACH-000142,-0.6448238651
ACH-000143,-0.7074945370829999
ACH-000146,-0.820167885553
ACH-000148,-0.480873541705
ACH-000150,-0.632187798495
ACH-000152,-1.35458024978
ACH-000153,-0.636383712089
ACH-000159,-0.57839539569
ACH-000160,0.08903440464859999
ACH-000163,-0.8302786560109999
ACH-000167,0.162306108914
ACH-000168,-0.852103915369
ACH-000169,-0.65687111876
ACH-000178,-0.755413320651
ACH-000182,-0.421075927759
ACH-000183,-0.784682140333
ACH-000188,-0.873278677471
ACH-000189,-1.0969646236
ACH-000190,-0.0071300272030399995
ACH-000198,-0.423345586535
ACH-000204,-0.620408732803
ACH-000206,-0.594153647421
ACH-000207,-0.36034111311800004
ACH-000211,-0.708577057143
ACH-000215,-1.05995278579
ACH-000221,-0.604937468053
ACH-000222,-0.34035014557800003
ACH-000223,-0.510456525202
ACH-000226,-0.629321797257
ACH-000227,-0.182919783537
ACH-000228,-0.76195290036
ACH-000231,-0.746724492188
ACH-000232,-0.480120976405
ACH-000233,-0.601216756088
ACH-000234,-0.7558604685979999
ACH-000235,-0.776838138626
ACH-000237,-0.655055533491
ACH-000238,-1.01815018986
ACH-000243,-0.545785116553
ACH-000244,-0.863043695639
ACH-000246,-0.811379143902
ACH-000248,-0.36936884854999996
ACH-000250,-0.531963158186
ACH-000251,-0.7068950855859999
ACH-000253,-0.850931574864
ACH-000255,-0.570803303329
ACH-000256,-0.625908849218
ACH-000257,-0.9295501561949999
ACH-000258,-0.593698828304
ACH-000259,-0.322342755371
ACH-000260,-0.577609191388
ACH-000261,-0.408768234334
ACH-000262,-0.250045927302
ACH-000263,-0.505589032409
ACH-000264,-0.263627535599
ACH-000265,-0.454699642637
ACH-000266,-0.816428593561
