,SRP68 (6730)
ACH-000004,-0.571472945403
ACH-000007,-0.998721480625
ACH-000009,-1.1636677363299999
ACH-000011,-0.798681430864
ACH-000012,-0.995446669105
ACH-000013,-0.774426173823
ACH-000014,-0.684958707515
ACH-000015,-0.773970407711
ACH-000017,-1.15958836923
ACH-000018,-0.83528587727
ACH-000019,-0.7448397746459999
ACH-000021,-0.770332161241
ACH-000022,-0.9118624868649999
ACH-000025,-0.69443138876
ACH-000028,-0.744553222564
ACH-000030,-0.879210442209
ACH-000035,-1.0001826012200001
ACH-000036,-0.780501752569
ACH-000037,-0.9024073899510001
ACH-000039,-0.8298574211030001
ACH-000040,-0.7339570664489999
ACH-000041,-0.734487296558
ACH-000042,-0.8755171803540001
ACH-000045,-0.8087265345999999
ACH-000047,-0.79060851029
ACH-000052,-1.03289347941
ACH-000053,-0.8464249538770001
ACH-000054,-1.01070247393
ACH-000055,-0.8169130976029999
ACH-000060,-1.0151718534899998
ACH-000067,-0.6749055615270001
ACH-000070,-0.707762333644
ACH-000075,-1.1073381647799998
ACH-000078,-0.7849696809350001
ACH-000082,-1.04987800984
ACH-000085,-0.737351603957
ACH-000086,-1.0739549716399999
ACH-000087,-0.657594530543
ACH-000092,-0.9496026049959999
ACH-000095,-0.756056169162
ACH-000097,-0.595707375287
ACH-000098,-1.14905219151
ACH-000099,-0.913036017853
ACH-000108,-1.0763594110799999
ACH-000113,-1.0318247193799999
ACH-000115,-0.7967041787739999
ACH-000116,-0.75840298385
ACH-000118,-0.926022730658
ACH-000120,-0.743407816185
ACH-000123,-0.9024761224969999
ACH-000127,-0.850937657204
ACH-000128,-0.7663498501970001
ACH-000132,-1.02565388596
ACH-000133,-0.8602540948649999
ACH-000137,-0.779961084525
ACH-000138,-0.840615214269
ACH-000142,-0.843872023354
ACH-000143,-0.8641970935519999
ACH-000146,-0.892457719903
ACH-000148,-0.849869017388
ACH-000150,-0.56905958569
ACH-000152,-1.3794871454100002
ACH-000153,-0.6647832981530001
ACH-000159,-0.8406288462039999
ACH-000160,-0.9532964116060001
ACH-000163,-0.755592118676
ACH-000167,-0.978832959156
ACH-000168,-1.01929755423
ACH-000169,-0.80087188266
ACH-000178,-0.824611775678
ACH-000182,-0.7147885828
ACH-000183,-1.1081562813899999
ACH-000188,-0.88934437768
ACH-000189,-0.885364377057
ACH-000190,-0.920087938866
ACH-000198,-0.811705827163
ACH-000204,-1.03947645458
ACH-000206,-0.797572407546
ACH-000207,-0.793465731242
ACH-000211,-0.8597509392730001
ACH-000215,-0.815990095702
ACH-000221,-0.7384962171930001
ACH-000222,-0.9279450865009999
ACH-000223,-1.01792774486
ACH-000226,-0.774900779781
ACH-000227,-1.0023226676299999
ACH-000228,-0.852790345881
ACH-000231,-0.9059031425480001
ACH-000232,-0.792582904013
ACH-000233,-0.675536931887
ACH-000234,-0.7717297433339999
ACH-000235,-0.955436327925
ACH-000237,-0.814165842262
ACH-000238,-0.865181321391
ACH-000243,-1.00108209356
ACH-000244,-0.706036814826
ACH-000246,-0.886444245457
ACH-000248,-1.17722696214
ACH-000250,-0.963564836281
ACH-000251,-0.8612765982539999
ACH-000253,-0.6832139882989999
ACH-000255,-0.846321769632
ACH-000256,-0.9585002182100001
ACH-000257,-0.73948515455
ACH-000258,-0.751731174166
ACH-000259,-0.767515707264
ACH-000260,-0.700582015802
ACH-000261,-0.841805224092
ACH-000262,-0.892392195977
ACH-000263,-0.55522711255
ACH-000264,-1.08912376355
ACH-000265,-0.7989652115029999
ACH-000266,-0.96451875876
ACH-000272,-1.23410706719
ACH-000273,-0.829060430275
ACH-000274,-1.2493059302399998
ACH-000277,-0.90662007115
ACH-000278,-0.5619380042450001
ACH-000279,-0.932910481455
ACH-000280,-0.8284710638160001
ACH-000281,-1.2115892145799998
ACH-000288,-1.03024013923
ACH-000291,-0.876615297842
ACH-000293,-0.794654674398
ACH-000294,-0.541666985266
ACH-000295,-0.859031822334
ACH-000296,-0.814309492747
ACH-000302,-0.8946016697020001
ACH-000304,-0.87565222736
ACH-000307,-1.07556181169
ACH-000308,-1.00876828516
ACH-000310,-0.9557415770309999
ACH-000311,-0.795753861056
ACH-000312,-0.8784875307529999
ACH-000315,-1.09870702339
ACH-000316,-0.755074699647
ACH-000317,-0.5803945937030001
ACH-000318,-0.555863510455
ACH-000319,-0.8937950879709999
ACH-000320,-0.712248315289
ACH-000322,-0.615069140048
ACH-000323,-1.004895438
ACH-000324,-0.881095990698
ACH-000329,-0.7764430146160001
ACH-000330,-1.0764953813299998
ACH-000331,-0.8259519991259999
ACH-000332,-0.8372925656219999
ACH-000334,-0.859648634524
ACH-000335,-0.629311661685
ACH-000336,-0.688565562635
ACH-000337,-0.9148344968100001
ACH-000339,-0.968746279574
ACH-000341,-0.671930432956
ACH-000348,-0.9700163527689999
ACH-000350,-0.783175293914
ACH-000352,-0.699329422809
ACH-000356,-0.849663617324
ACH-000361,-0.996265144472
ACH-000362,-0.976500728354
ACH-000363,-0.6801865351090001
ACH-000364,-0.790799572643
ACH-000365,-0.943127151657
ACH-000366,-0.865698261946
ACH-000368,-0.8506632777590001
ACH-000374,-0.863185614474
ACH-000375,-0.941170767943
ACH-000376,-0.7490955675959999
ACH-000381,-0.8115219409829999
ACH-000383,-1.00623553389
ACH-000387,-0.974723958378
ACH-000389,-0.671375135935
ACH-000390,-0.88422205715
ACH-000393,-0.795255836345
ACH-000395,-1.07621025849
ACH-000397,-0.980961234721
ACH-000401,-0.551899321033
ACH-000402,-0.988813792089
ACH-000403,-1.14976445436
ACH-000404,-0.983372037004
ACH-000406,-0.863388493776
ACH-000407,-0.856452707052
ACH-000408,-0.916831715407
ACH-000410,-0.455632392138
ACH-000411,-0.953226884929
ACH-000414,-0.7627819286849999
ACH-000415,-0.8703754739949999
ACH-000416,-1.0574845339899999
ACH-000420,-0.8355972602609999
ACH-000421,-0.924813448704
ACH-000424,-0.836639893707
ACH-000425,-0.876575298135
ACH-000426,-0.918273569729
ACH-000427,-1.05406175809
ACH-000433,-0.964317080183
ACH-000436,-0.8478359843790001
ACH-000444,-0.562542964072
ACH-000445,-1.01175280314
ACH-000448,-0.677969295986
ACH-000450,-0.5532878084189999
ACH-000452,-0.983154905228
ACH-000454,-0.6970198399199999
ACH-000458,-0.970616566416
ACH-000459,-0.5176079257549999
ACH-000460,-0.958628547185
ACH-000461,-0.726797021075
ACH-000463,-0.634945609972
ACH-000464,-0.961132242699
ACH-000466,-1.14261188679
ACH-000467,-0.7780352934729999
ACH-000468,-1.02466010976
ACH-000469,-1.0398026448
ACH-000470,-0.925925449289
ACH-000471,-1.08314182648
ACH-000472,-0.563676746897
ACH-000473,-0.820983910087
ACH-000475,-0.969613996347
ACH-000476,-0.7889951278820001
ACH-000477,-0.46372451516400004
ACH-000480,-0.958375191193
ACH-000481,-0.952122772654
ACH-000483,-0.764685808747
ACH-000484,-0.64847142743
ACH-000485,-0.897877327977
ACH-000486,-1.09702112375
ACH-000487,-0.798865879604
ACH-000488,-0.878518118438
ACH-000490,-0.658985520798
ACH-000491,-0.855750789692
ACH-000495,-0.886581749407
ACH-000496,-0.852133952834
ACH-000499,-0.867556309398
ACH-000500,-0.997085353795
ACH-000502,-0.671130102581
ACH-000503,-0.80745000384
ACH-000505,-1.0008928249299998
ACH-000507,-0.843580386389
ACH-000510,-0.8437349158149999
ACH-000511,-0.9165909009000001
ACH-000512,-1.04316946445
ACH-000516,-1.05584720384
ACH-000517,-0.7108106579250001
ACH-000518,-1.17339447787
ACH-000520,-0.6735269586839999
ACH-000521,-0.9908149450210001
ACH-000522,-0.609153169302
ACH-000524,-0.987081495898
ACH-000527,-0.919751978292
ACH-000528,-0.977172276958
ACH-000537,-1.08948924091
ACH-000541,-1.1187321795799998
ACH-000542,-0.8648430056119999
ACH-000544,-0.966063303581
ACH-000545,-0.885994280002
ACH-000547,-1.04400097596
ACH-000548,-0.846152545231
ACH-000549,-0.922645749235
ACH-000550,-0.654191793109
ACH-000552,-0.8463779105050001
ACH-000556,-0.832398878407
ACH-000557,-0.530676403747
ACH-000570,-0.843837997587
ACH-000571,-0.86853425019
ACH-000573,-0.884506314482
ACH-000576,-0.773919347651
ACH-000580,-0.651721730923
ACH-000584,-1.04917751051
ACH-000585,-1.01321642975
ACH-000588,-0.755621491436
ACH-000589,-0.709288336795
ACH-000591,-0.9584559033519999
ACH-000593,-0.788440356349
ACH-000600,-1.1190118600399999
ACH-000601,-0.910070235024
ACH-000604,-0.6677502025959999
ACH-000605,-0.906429262813
ACH-000606,-0.790417938839
ACH-000608,-1.5069623707100002
ACH-000614,-0.743743676559
ACH-000616,-0.693084089533
ACH-000618,-0.866543448545
ACH-000619,-0.812590221727
ACH-000620,-0.836091372509
ACH-000621,-0.450322460503
ACH-000622,-0.910296397471
ACH-000623,-0.791600617528
ACH-000624,-0.811570010797
ACH-000627,-1.1107250235700001
ACH-000630,-1.06058977488
ACH-000632,-0.89069601046
ACH-000633,-1.07231934176
ACH-000637,-1.0535133990899999
ACH-000638,-0.65131541759
ACH-000646,-0.9131131607140001
ACH-000647,-0.895267844489
ACH-000648,-0.630833045996
ACH-000649,-0.841522267054
ACH-000651,-0.739768849796
ACH-000652,-1.08070305531
ACH-000653,-0.815884719783
