,KRT33A (3883)
ACH-000004,-0.044890353670300004
ACH-000007,0.11152784286299999
ACH-000009,-0.186879460709
ACH-000011,-0.239678680188
ACH-000012,-0.276020866573
ACH-000013,-0.28361884849
ACH-000014,-0.22679512311
ACH-000015,-0.467880160159
ACH-000017,-0.75263762781
ACH-000018,-0.14038210610500002
ACH-000019,-0.0591766805781
ACH-000021,-0.15238614469
ACH-000022,-0.0868323400347
ACH-000025,-0.272902259899
ACH-000028,-0.11820445286299999
ACH-000030,-0.17345963039999998
ACH-000035,-0.242714419513
ACH-000036,-0.262309139729
ACH-000037,0.0822076201458
ACH-000039,0.0794503707037
ACH-000040,-0.444027971146
ACH-000041,0.005985304378310001
ACH-000042,-0.228770193372
ACH-000045,-0.27700818878600003
ACH-000047,0.013670415156100001
ACH-000052,-0.0431595024307
ACH-000053,-0.212206100619
ACH-000054,-0.23744076819499998
ACH-000055,-0.20272959165399998
ACH-000060,-0.18993872802099998
ACH-000067,-0.237667938198
ACH-000070,-0.052286138295400006
ACH-000075,-0.0698321023227
ACH-000078,-0.180272613598
ACH-000082,-0.310867087032
ACH-000085,-0.151338749901
ACH-000086,-0.228848782306
ACH-000087,-0.19812004537900002
ACH-000092,-0.411684413569
ACH-000095,-0.45756247619999996
ACH-000097,-0.0776898961338
ACH-000098,-0.388277264002
ACH-000099,-0.29456753167
ACH-000108,-0.27699478615
ACH-000113,-0.240639914507
ACH-000115,-0.255566658792
ACH-000116,-0.194740035658
ACH-000118,-0.22255038959600001
ACH-000120,-0.545310161773
ACH-000123,-0.0589428179763
ACH-000127,-0.230418969407
ACH-000128,-0.25938055932799997
ACH-000132,-0.18435959378199998
ACH-000133,-0.180128316182
ACH-000137,-0.11786685442099999
ACH-000138,-0.371480026575
ACH-000142,-0.332278571937
ACH-000143,0.220769034534
ACH-000146,-0.282685122987
ACH-000148,-0.281856829685
ACH-000150,-0.0989720284742
ACH-000152,-0.22442699863899998
ACH-000153,-0.28824685218400004
ACH-000159,-0.241838939298
ACH-000160,-0.250931357604
ACH-000163,-0.44490330237
ACH-000167,-0.331524134958
ACH-000168,0.130696744039
ACH-000169,-0.20328414700300002
ACH-000178,-0.2377750329
ACH-000182,-0.058666379145300006
ACH-000183,-0.376127984035
ACH-000188,-0.325181376261
ACH-000189,-0.311725086798
ACH-000190,-0.226437932026
ACH-000198,-0.23565062285399999
