,CRNN (49860)
ACH-000004,0.09613488011669999
ACH-000007,0.18152350542999998
ACH-000009,-0.18069583348
ACH-000011,0.044009463827900004
ACH-000012,-0.04365255794430001
ACH-000013,0.05360624812940001
ACH-000014,0.0119782927373
ACH-000015,-0.017254092056599998
ACH-000017,0.137906720833
ACH-000018,0.0554691827914
ACH-000019,-0.369021248525
ACH-000021,0.011347598153999999
ACH-000022,-0.138269932501
ACH-000025,-0.0364802705872
ACH-000028,-0.0381416031664
ACH-000030,0.012990071625299998
ACH-000035,-0.169212400233
ACH-000036,-0.007870198682220001
ACH-000037,-0.152002671764
ACH-000039,-0.14089530849600002
ACH-000040,0.108380155866
ACH-000041,0.11754615411699999
ACH-000042,0.0605928280712
ACH-000045,-0.0159269501544
ACH-000047,-0.064574551508
ACH-000052,0.0329513498265
ACH-000053,-0.024570451661900004
ACH-000054,0.163878063514
ACH-000055,-0.117413013575
ACH-000060,0.0275166941763
ACH-000067,-0.000598022228122
ACH-000070,-0.151039424719
ACH-000075,0.0
ACH-000078,0.0503584376466
ACH-000082,-0.125293868645
ACH-000085,0.05501263275780001
ACH-000086,0.0145232093586
ACH-000087,0.0739462021074
ACH-000092,0.0134122926854
ACH-000095,0.058332458989000004
ACH-000097,-0.0694039544506
ACH-000098,0.0159090104886
ACH-000099,0.10444892015
ACH-000108,0.028503065208400003
ACH-000113,0.0049580637205
ACH-000115,-0.0803780310057
ACH-000116,0.0804277761767
ACH-000118,-0.06714890806780001
ACH-000120,0.0636080651831
ACH-000123,0.0485540699943
ACH-000127,-0.0490820354149
ACH-000128,-0.0164830118056
ACH-000132,0.059039168830900005
ACH-000133,-0.163186745678
ACH-000137,-0.0179641886855
ACH-000138,-0.019266649711599998
ACH-000142,-0.28020776956300003
ACH-000143,-0.029555337220299998
ACH-000146,-0.0559804040937
ACH-000148,-0.118312581107
ACH-000150,0.009285718224959999
ACH-000152,0.06236259070590001
ACH-000153,-0.640873500573
ACH-000159,-0.0675513083146
ACH-000160,-0.110089547891
ACH-000163,-0.26348499705899997
ACH-000167,0.0052487365267
ACH-000168,-0.146859843638
ACH-000169,0.0776606730349
ACH-000178,0.03313347298
ACH-000182,-0.04324454638690001
ACH-000183,-0.0388727290935
ACH-000188,-0.10663197860099999
ACH-000189,-0.169221031341
ACH-000190,-0.057932743234199995
ACH-000198,-0.044791990626099995
ACH-000204,-0.413514674354
ACH-000206,-0.0255282331709
ACH-000207,0.10862544587000002
ACH-000211,0.0601951819159
ACH-000215,-0.0345534705529
ACH-000221,-0.221286104627
ACH-000222,0.10338547861
ACH-000223,-0.036665293630800004
ACH-000226,-0.179575733653
ACH-000227,-0.0102527037963
ACH-000228,0.0224736454939
ACH-000231,0.0007883838219740001
ACH-000232,-0.0901872492918
ACH-000233,0.0155493807691
ACH-000234,-0.132835004925
ACH-000235,0.047451576959800006
ACH-000237,-0.07392154937260001
ACH-000238,0.135713200256
ACH-000243,0.0257575302386
ACH-000244,0.08854584946460001
ACH-000246,-0.047328908072
ACH-000248,0.039969959931
ACH-000250,0.0414784238045
ACH-000251,-0.140146338401
ACH-000253,0.0045269376125400005
ACH-000255,0.0305946102819
ACH-000256,-0.00845595432758
ACH-000257,-0.31237225638300004
ACH-000258,-0.19578670770599998
ACH-000259,-0.11091813318499999
ACH-000260,0.0006343041322490001
ACH-000261,0.09616055930789999
ACH-000262,0.08584520875769999
ACH-000263,0.115678644878
ACH-000264,0.0113705566973
ACH-000265,0.029416341738400003
ACH-000266,-0.004021985818280001
ACH-000272,-0.13366837395199999
ACH-000273,-0.0532917468265
ACH-000274,0.015057723089700001
ACH-000277,0.041254048064300004
ACH-000278,-0.09681535332180001
ACH-000279,0.0609921183098
ACH-000280,0.0
ACH-000281,-0.028614633323200002
ACH-000288,-0.05989719399619999
ACH-000291,-0.166849058976
ACH-000293,-0.11943892152699999
ACH-000294,0.012513023227299998
ACH-000295,0.027800362129700003
ACH-000296,0.20291886161800002
ACH-000302,0.0538182506752
ACH-000304,0.0889728141962
ACH-000307,0.0649644603496
ACH-000308,-0.11610052522700001
ACH-000310,0.0987580970942
ACH-000311,-0.044984245223400006
ACH-000312,-0.039909321181999996
ACH-000315,0.08132520885210001
ACH-000316,0.0537342602125
ACH-000317,0.0570921159345
ACH-000318,-0.119288254592
ACH-000319,-0.0888718303204
ACH-000320,-0.169839098059
ACH-000322,0.0162044795325
ACH-000323,0.0118905541193
ACH-000324,-0.032185810559700004
ACH-000329,-0.0539070895598
ACH-000330,0.0196777767519
ACH-000331,0.046311966078000005
ACH-000332,0.005949557062979999
ACH-000334,-0.117064523244
ACH-000335,-0.10435638427300001
ACH-000336,-0.136456310603
ACH-000337,-0.149684302709
ACH-000339,0.06702242527630001
ACH-000341,-0.18021454319400002
ACH-000348,0.00164356865701
ACH-000350,-0.045277834200800005
ACH-000352,0.041462543827300004
ACH-000356,-0.09548195136489998
ACH-000361,0.123614525347
ACH-000362,-0.016789067735800002
ACH-000363,0.10469411352399999
ACH-000364,-0.163836757814
ACH-000365,0.0908795584932
ACH-000366,0.0116158452876
ACH-000368,-0.0275079735451
ACH-000374,-0.0184377979963
ACH-000375,0.060793352384699996
ACH-000376,-0.06293049326780001
ACH-000381,-0.24638721222399998
ACH-000383,-0.029132386628
ACH-000387,0.0559021172434
ACH-000389,-0.0636610722309
ACH-000390,-0.09337850878789998
ACH-000393,0.146197632969
ACH-000395,0.160737701042
ACH-000397,-0.126257184312
ACH-000401,-0.09329953637330002
ACH-000402,-0.109017878689
ACH-000403,0.121538685445
ACH-000404,-0.130518700769
ACH-000406,-0.0497262306678
ACH-000407,-0.0655541332581
ACH-000408,-0.012811786890499999
ACH-000410,-0.24216250468800002
ACH-000411,-0.05740992280619999
ACH-000414,-0.064790832913
ACH-000415,0.0347183554544
ACH-000416,-0.0538542945479
ACH-000420,-0.14433062761600002
ACH-000421,-0.034239907376
ACH-000424,-0.09739041979530001
ACH-000425,-0.157483015896
ACH-000426,-0.00218186354246
ACH-000427,0.0853441281621
ACH-000433,-0.0633404463492
ACH-000436,0.09664106757400001
ACH-000444,-0.132959998987
ACH-000445,0.0
ACH-000448,-0.0416118082266
ACH-000450,0.0660706347787
ACH-000452,-0.035407587053099994
ACH-000454,-0.237662437646
ACH-000458,-0.137435075999
ACH-000459,0.0528324331202
ACH-000460,0.00204893566435
ACH-000461,0.06685699232680001
ACH-000463,-0.09068319389900001
ACH-000464,0.107450968322
ACH-000466,-0.09291662500730001
ACH-000467,0.10887379910999999
ACH-000468,0.0894572056071
ACH-000469,-0.12864682403
