,FBL (2091)
ACH-000004,-1.3637501345299998
ACH-000007,-1.16288899736
ACH-000009,-1.49403457373
ACH-000011,-1.5921202771899998
ACH-000012,-1.33863864328
ACH-000013,-1.36262872138
ACH-000014,-1.42596264169
ACH-000015,-1.60711907523
ACH-000017,-1.22664874125
ACH-000018,-1.6533845196899999
ACH-000019,-1.31608282615
ACH-000021,-1.31525638729
ACH-000022,-1.69684556091
ACH-000025,-1.3875084314300001
ACH-000028,-1.5397090947499998
ACH-000030,-1.3654602669799998
ACH-000035,-1.63458624193
ACH-000036,-1.40696695386
ACH-000037,-2.1153756845
ACH-000039,-1.2587565614799998
ACH-000040,-1.26870115146
ACH-000041,-1.6432570188799998
ACH-000042,-1.56475484941
ACH-000045,-1.5707754364200002
ACH-000047,-1.12136029348
ACH-000052,-1.15854848629
ACH-000053,-1.4149737588100002
ACH-000054,-1.7339734502400002
ACH-000055,-1.1762735303299998
ACH-000060,-1.38638443135
ACH-000067,-1.26520187272
ACH-000070,-1.6235236037099998
ACH-000075,-1.6520371221799999
ACH-000078,-1.76537534711
ACH-000082,-1.49219785053
ACH-000085,-1.5471399130399999
ACH-000086,-1.46993261192
ACH-000087,-1.63579470233
ACH-000092,-1.47346866122
ACH-000095,-1.61514622946
ACH-000097,-1.43317635537
ACH-000098,-1.5742162486700002
ACH-000099,-1.61420947181
ACH-000108,-1.4183597493200002
ACH-000113,-1.71179804949
ACH-000115,-1.5117419252200002
ACH-000116,-1.5298071278299998
ACH-000118,-1.45697804488
ACH-000120,-1.23692067845
ACH-000123,-1.59620867792
ACH-000127,-1.578542221
ACH-000128,-1.41103214905
ACH-000132,-1.48512308439
ACH-000133,-1.42654662949
ACH-000137,-1.2978074474299999
ACH-000138,-1.33246300254
ACH-000142,-1.6787999637200002
ACH-000143,-1.53364119586
ACH-000146,-1.5910824595500002
ACH-000148,-1.55859144174
ACH-000150,-1.62154605022
ACH-000152,-1.27774811668
ACH-000153,-1.24517458632
ACH-000159,-1.41170835396
ACH-000160,-1.1196614722
ACH-000163,-1.5723515768
ACH-000167,-1.48973110805
ACH-000168,-1.36616306294
ACH-000169,-1.3239335379200001
ACH-000178,-1.5878878789500002
ACH-000182,-1.5991302080599998
ACH-000183,-1.59443616991
ACH-000188,-1.52844027205
ACH-000189,-1.39868290194
ACH-000190,-0.745366623926
ACH-000198,-1.52210017375
ACH-000204,-1.35396436132
ACH-000206,-1.1966710626100001
ACH-000207,-1.44020675473
ACH-000211,-1.35930757777
ACH-000215,-1.46843290782
ACH-000221,-1.57700569036
ACH-000222,-1.7900883315400002
ACH-000223,-1.39884714796
ACH-000226,-1.37990091747
ACH-000227,-1.52240115118
ACH-000228,-1.4995467212
ACH-000231,-1.2461114719700002
ACH-000232,-1.6934896715099998
ACH-000233,-1.7747883962900002
ACH-000234,-1.40643607876
ACH-000235,-1.58652081038
ACH-000237,-1.4324642666299998
ACH-000238,-1.80787622371
ACH-000243,-1.41527177161
