,MCC (4163)
ACH-000004,0.317983205413
ACH-000007,0.388792395681
ACH-000009,0.249162032805
ACH-000011,0.293036191015
ACH-000012,0.27862240661
ACH-000013,0.273532946223
ACH-000014,0.304820599448
ACH-000015,0.185271770861
ACH-000017,0.24356109245299998
ACH-000018,0.049539827566099995
ACH-000019,0.177268060103
ACH-000021,0.240619138076
ACH-000022,0.27101630018899997
ACH-000025,0.283082289564
ACH-000028,0.212526549536
ACH-000030,0.244991614446
ACH-000035,0.160368430407
ACH-000036,0.40501125004199995
ACH-000037,0.346513044912
ACH-000039,0.12075905844799999
ACH-000040,0.0450377750757
ACH-000041,0.28499987264800003
ACH-000042,0.143015356432
ACH-000045,0.288361952141
ACH-000047,0.202682485549
ACH-000052,0.07568699130460001
ACH-000053,0.11609651964199999
ACH-000054,0.13044161615
ACH-000055,0.127313467027
ACH-000060,0.354228533982
ACH-000067,0.24493582235599998
ACH-000070,0.36361586052699996
ACH-000075,0.350195286123
ACH-000078,0.34769099084
ACH-000082,0.12660373856899998
ACH-000085,0.19484348281
ACH-000086,0.151093769712
ACH-000087,0.0994675070424
ACH-000092,0.218813998537
ACH-000095,0.10461333447999999
ACH-000097,0.151788653055
ACH-000098,0.16760583094
ACH-000099,0.27666330440299997
ACH-000108,0.333880253526
ACH-000113,0.21855162278499998
ACH-000115,0.166957320437
ACH-000116,0.268743891686
ACH-000118,0.242425496974
ACH-000120,0.297059617451
ACH-000123,0.160956838166
ACH-000127,0.16864837696499999
ACH-000128,0.407966340743
ACH-000132,0.371560090539
ACH-000133,0.329484539527
ACH-000137,0.228789635639
ACH-000138,0.275003903672
ACH-000142,0.32062028743
ACH-000143,0.310675463421
ACH-000146,0.2233334193
ACH-000148,0.188228648228
ACH-000150,0.11189723713
ACH-000152,0.261217521239
ACH-000153,0.318613555713
ACH-000159,0.210630579886
ACH-000160,0.170883506787
ACH-000163,0.187985801695
ACH-000167,0.18980490816599999
ACH-000168,0.261089350132
ACH-000169,0.167826188297
ACH-000178,0.241100107961
ACH-000182,0.147400553562
ACH-000183,0.274342991991
ACH-000188,0.373172056139
ACH-000189,0.408385029504
ACH-000190,0.219800123455
ACH-000198,0.22035315974199998
ACH-000204,0.38282762053
ACH-000206,0.164172112997
ACH-000207,0.0711846381113
ACH-000211,0.19940938177
ACH-000215,0.269557306662
ACH-000221,0.11814739239399999
ACH-000222,0.31261190299
ACH-000223,0.258705510602
ACH-000226,0.0599532635859
ACH-000227,0.350605430866
ACH-000228,0.36491679674099997
ACH-000231,0.19732364007300002
ACH-000232,0.17387089805199998
ACH-000233,0.273389172214
ACH-000234,0.377290826554
ACH-000235,0.254355781371
ACH-000237,0.109119311041
ACH-000238,0.07946140085560001
ACH-000243,0.172497265275
ACH-000244,0.27563937328
ACH-000246,0.215978908496
ACH-000248,0.225650448084
ACH-000250,0.200923556942
ACH-000251,0.248991379445
ACH-000253,0.138272101193
ACH-000255,0.222372557656
ACH-000256,0.264978410761
ACH-000257,0.418483616352
ACH-000258,0.100883356856
