,VDR (7421)
ACH-000004,-0.339808055086
ACH-000007,0.129356579221
ACH-000009,-0.11072172945999999
ACH-000011,0.018475952702400003
ACH-000012,-0.117948260075
ACH-000013,-0.24824085190499998
ACH-000014,-0.218532232967
ACH-000015,-0.05916624118919999
ACH-000017,-0.10995238189
ACH-000018,-0.177008057772
ACH-000019,-0.23123077138099998
ACH-000021,-0.0583703674364
ACH-000022,-0.131374534717
ACH-000025,-0.279483605788
ACH-000028,-0.24405148605500002
ACH-000030,-0.0316058504324
ACH-000035,-0.168653487532
ACH-000036,0.151158532983
ACH-000037,-0.283183738047
ACH-000039,-0.037762905591099995
ACH-000040,-0.09525378225610001
ACH-000041,-0.367692061495
ACH-000042,0.0481610593723
ACH-000045,-0.285793237513
ACH-000047,-0.109811209778
ACH-000052,-0.306774774778
ACH-000053,-0.036068743072599996
ACH-000054,-0.030066813722200002
ACH-000055,-0.0359241240145
ACH-000060,0.151305723627
ACH-000067,-0.031948921700499996
ACH-000070,-0.16736148727
ACH-000075,-0.0541762129959
ACH-000078,-0.054928686366400005
ACH-000082,-0.0273524030517
ACH-000085,-0.207537707841
ACH-000086,-0.320107387129
ACH-000087,-0.19470276899099997
ACH-000092,-0.23073802357099998
ACH-000095,-0.006310197171359999
ACH-000097,-0.049683563706900004
ACH-000098,0.0626584303999
ACH-000099,0.0632714934596
ACH-000108,-0.0399024033791
ACH-000113,-0.06557102758019999
ACH-000115,-0.130080258961
ACH-000116,-0.025011316067599997
ACH-000118,-0.127457542912
ACH-000120,-0.143662369661
ACH-000123,-0.063361875612
ACH-000127,-0.0407381549485
ACH-000128,-0.06757983236659999
ACH-000132,0.18270135382
ACH-000133,-0.08353392522999999
ACH-000137,-0.08799436612289999
ACH-000138,-0.0669140150265
ACH-000142,-0.39963913236000004
ACH-000143,0.08433307671819999
ACH-000146,0.014211187681499999
ACH-000148,-0.125449965354
ACH-000150,-0.196408270401
ACH-000152,-0.21866783508
ACH-000153,-0.349191978156
ACH-000159,-0.0657269034546
ACH-000160,-0.0986624223725
ACH-000163,-0.250118818385
ACH-000167,-0.123039459752
ACH-000168,-0.00533401418786
ACH-000169,0.012977742087299998
ACH-000178,-0.023668240633099996
ACH-000182,0.0670427351923
ACH-000183,-0.204196181206
ACH-000188,-0.052303301075300006
ACH-000189,-0.39892662106399995
ACH-000190,0.123940075425
ACH-000198,-0.048274562969800004
ACH-000204,-0.283520524142
ACH-000206,0.026684658582900003
