,IPPK (64768)
ACH-000004,-0.8938783054870001
ACH-000007,-0.0660724854656
ACH-000009,-0.302175357139
ACH-000011,-0.0920880084041
ACH-000012,-0.49565056453199996
ACH-000013,-0.235553086848
ACH-000014,-1.1603555177299998
ACH-000015,-0.324253536658
ACH-000017,-0.377378139771
ACH-000018,-0.5902475202399999
ACH-000019,-0.0026469489363200004
ACH-000021,-0.551154324954
ACH-000022,-0.22484204260600002
ACH-000025,-0.22814503140099998
ACH-000028,-0.49200287361
ACH-000030,-0.414224352083
ACH-000035,-0.995976667622
ACH-000036,-0.13810740398399998
ACH-000037,-0.18924595974599998
ACH-000039,-0.495085594613
ACH-000040,-0.328981362411
ACH-000041,-0.38000395177100005
ACH-000042,-0.467355709293
ACH-000045,-0.38786296820699995
ACH-000047,-0.9806472385959999
ACH-000052,-0.39121086763499996
ACH-000053,-0.717809340351
ACH-000054,-0.47905235146700004
ACH-000055,-0.0542183460881
ACH-000060,-0.241926918316
ACH-000067,-0.234458412916
ACH-000070,-0.452837781501
ACH-000075,-0.33827631778800005
ACH-000078,-0.469178888832
ACH-000082,-0.240560540721
ACH-000085,0.234132195316
ACH-000086,-0.15646730624500002
ACH-000087,-0.347009432431
ACH-000092,-0.378793867465
ACH-000095,-0.407591713932
ACH-000097,-0.69779426457
ACH-000098,-0.22630479338599999
ACH-000099,-0.0177572169721
ACH-000108,-1.00423628475
ACH-000113,-0.473776317601
ACH-000115,-0.365948890202
ACH-000116,-0.0399680002638
ACH-000118,-0.732273697603
ACH-000120,-0.183293814153
ACH-000123,-0.301949135855
ACH-000127,-0.314444880552
ACH-000128,-0.038619291578
ACH-000132,-0.6925964951989999
ACH-000133,-0.28126206291
ACH-000137,-0.202259145097
ACH-000138,-0.785383752734
ACH-000142,-0.274158329768
ACH-000143,-0.20783560161200001
ACH-000146,-1.6728129995899998
ACH-000148,-0.449449161884
ACH-000150,0.00616991970055
ACH-000152,-0.210541754303
ACH-000153,-0.09488052307080001
ACH-000159,-0.895078937782
ACH-000160,-0.378573493128
ACH-000163,-0.354976386202
ACH-000167,-0.375699969424
ACH-000168,0.012753738205799997
ACH-000169,-0.259834074002
ACH-000178,-0.249548883849
ACH-000182,-0.7671716499979999
ACH-000183,-1.31643394869
ACH-000188,-0.08373417156539999
ACH-000189,-0.473441786254
ACH-000190,-0.237237426055
ACH-000198,-0.786452380852
ACH-000204,-0.502896267694
ACH-000206,-0.697918815952
ACH-000207,-0.691360457925
ACH-000211,-0.187895265436
ACH-000215,-0.148101423218
ACH-000221,-0.27821266042599996
ACH-000222,-0.636670612885
ACH-000223,-0.284611141033
ACH-000226,-0.889894370555
ACH-000227,-0.54243987115
ACH-000228,-0.38890456092200004
ACH-000231,-0.240802497265
ACH-000232,-0.07836426623739999
ACH-000233,-1.17621642036
ACH-000234,-0.284447260029
ACH-000235,-0.36324452529600004
ACH-000237,-0.28812976959000003
