,CPSF4 (10898)
ACH-000004,-1.6412992440399998
ACH-000007,-1.4913185593599998
ACH-000009,-1.65839293306
ACH-000011,-1.8526960103099999
ACH-000012,-1.21944728193
ACH-000013,-1.6072683153
ACH-000014,-1.7066606003
ACH-000015,-1.6629057780399998
ACH-000017,-1.7210910707299998
ACH-000018,-1.7385672930200002
ACH-000019,-1.4340115299899998
ACH-000021,-1.60026211074
ACH-000022,-1.58107330653
ACH-000025,-1.4187735877399998
ACH-000028,-1.3881539818000002
ACH-000030,-1.49273854194
ACH-000035,-1.48137846753
ACH-000036,-1.27851272356
ACH-000037,-1.9785690626199999
ACH-000039,-2.0165300601
ACH-000040,-1.59819257177
ACH-000041,-1.78142648251
ACH-000042,-1.51192488302
ACH-000045,-1.7114709323500001
ACH-000047,-1.4441745361000002
ACH-000052,-1.23817161749
ACH-000053,-1.52450714484
ACH-000054,-1.69768116604
ACH-000055,-1.4945332706799999
ACH-000060,-1.7304880639400002
ACH-000067,-1.20404527934
ACH-000070,-1.67465894768
ACH-000075,-1.5239861489300002
ACH-000078,-1.48405205098
ACH-000082,-1.53896736459
ACH-000085,-1.84045606197
ACH-000086,-1.57960229572
ACH-000087,-1.14612364111
ACH-000092,-1.45471499753
ACH-000095,-1.7234817177500001
ACH-000097,-1.6131228678999998
ACH-000098,-1.67026371847
ACH-000099,-1.6970742467299997
ACH-000108,-1.60837838477
ACH-000113,-1.62424399873
ACH-000115,-1.27973016025
ACH-000116,-1.81463793311
ACH-000118,-1.54326939315
ACH-000120,-1.6284692736000002
ACH-000123,-1.53618324275
ACH-000127,-1.71529728046
ACH-000128,-1.7053177546599998
ACH-000132,-1.8804169928
ACH-000133,-1.7017392346399998
ACH-000137,-1.6474998039500002
ACH-000138,-1.66166151701
ACH-000142,-1.5933937677599999
ACH-000143,-1.3789397763799998
ACH-000146,-1.9224959572599998
ACH-000148,-1.58936035978
ACH-000150,-1.4043822140399997
ACH-000152,-1.2984146527
ACH-000153,-1.7007520645299998
ACH-000159,-1.3428516646700002
ACH-000160,-1.7016779607899999
ACH-000163,-1.8439832107700003
ACH-000167,-1.90724045051
ACH-000168,-1.64598576345
ACH-000169,-1.5132667529
ACH-000178,-1.56274892794
ACH-000182,-1.4748051074200001
ACH-000183,-1.3804836287600002
ACH-000188,-1.52511493836
