,DAND5 (199699)
ACH-000004,-0.264033264997
ACH-000007,-0.3226068887
ACH-000009,-0.190476253264
ACH-000011,-0.24114179723200002
ACH-000012,-0.124042989489
ACH-000013,-0.29256195156
ACH-000014,-0.0444882025043
ACH-000015,-0.28200732991599997
ACH-000017,-0.16141930677000002
ACH-000018,-0.256922333223
ACH-000019,-0.28392207982900003
ACH-000021,-0.36661990400600003
ACH-000022,-0.0758559914041
ACH-000025,-0.19263550223099998
ACH-000028,-0.34018987203400003
ACH-000030,-0.392859063148
ACH-000035,-0.394398375862
ACH-000036,-0.46493577639
ACH-000037,0.0776151527903
ACH-000039,-0.466343562218
ACH-000040,-0.409924790564
ACH-000041,-0.16508708054500001
ACH-000042,-0.0693895175737
ACH-000045,-0.287025158423
ACH-000047,-0.19002066847899998
ACH-000052,-0.208453714592
ACH-000053,-0.25475904273899996
ACH-000054,-0.13114288239900002
ACH-000055,-0.49305111978200006
ACH-000060,-0.026783535855999997
ACH-000067,-0.27611330449
ACH-000070,-0.17314489639699998
ACH-000075,-0.209260147955
ACH-000078,-0.235022331877
ACH-000082,-0.148117424621
ACH-000085,-0.17590676527
ACH-000086,-0.38352654829099997
ACH-000087,-0.37519951759000003
ACH-000092,-0.246194433385
ACH-000095,-0.266077261661
ACH-000097,-0.0462717946069
ACH-000098,-0.26870763589499996
ACH-000099,-0.27384366919500003
ACH-000108,-0.276084946042
ACH-000113,-0.184825101474
ACH-000115,-0.138964398614
ACH-000116,-0.358888017717
ACH-000118,-0.353733956037
ACH-000120,-0.116573320483
ACH-000123,-0.308354801876
ACH-000127,-0.195820675346
ACH-000128,-0.377815627144
ACH-000132,-0.130171799926
ACH-000133,-0.15983926557199998
ACH-000137,-0.264422043176
ACH-000138,-0.246118602144
ACH-000142,-0.316059956792
ACH-000143,-0.300957278216
ACH-000146,-0.13605804462
ACH-000148,-0.157216363415
ACH-000150,-0.22885332868299998
ACH-000152,-0.0775369357445
ACH-000153,0.130788049587
ACH-000159,-0.3150998594
ACH-000160,-0.025956085030999998
ACH-000163,-0.853179818908
ACH-000167,0.008046006080560001
ACH-000168,-0.272929645432
ACH-000169,-0.19118381499899997
ACH-000178,-0.255587719346
ACH-000182,-0.182873944599
ACH-000183,-0.190276986371
ACH-000188,-0.589485446552
ACH-000189,0.11640654410599999
ACH-000190,-0.146266513007
ACH-000198,-0.0896299607962
ACH-000204,-0.420796523804
ACH-000206,-0.18442231842999998
ACH-000207,-0.135546268831
ACH-000211,-0.319030776836
ACH-000215,-0.21697818699299998
ACH-000221,-0.0401629942498
ACH-000222,-0.34774342604099995
ACH-000223,-0.43323270909100003
ACH-000226,-0.182409283421
ACH-000227,-0.32194257709699997
ACH-000228,-0.825469881453
ACH-000231,-0.10878018992
ACH-000232,-0.252542925511
ACH-000233,-0.265093062148
ACH-000234,-0.333035709448
ACH-000235,-0.23015343572900002
ACH-000237,-0.165276272362
ACH-000238,0.0377390896853
ACH-000243,-0.280568481375
ACH-000244,-0.399977976118
ACH-000246,-0.209343482997
ACH-000248,-0.27681718988000004
ACH-000250,-0.224622709344
ACH-000251,-0.02767551377
ACH-000253,-0.304990363195
ACH-000255,-0.281620660574
ACH-000256,-0.0135279762787
ACH-000257,-0.24038541678300002
ACH-000258,-0.292308914812
ACH-000259,-0.16533351138
ACH-000260,-0.264842381463
ACH-000261,-0.141994971699
ACH-000262,-0.300667724771
ACH-000263,-0.269181684439
ACH-000264,-0.0104959643456
ACH-000265,-0.214997231784
ACH-000266,-0.13106224870400002
ACH-000272,-0.178546025012
ACH-000273,-0.08593107953460001
ACH-000274,-0.13521749444800002
ACH-000277,-0.167052821021
ACH-000278,-0.3378827593
ACH-000279,-0.05691756214919999
ACH-000280,-0.029095690838
ACH-000281,-0.215425473521
ACH-000288,-0.21145426618299998
ACH-000291,-0.08287496518489999
ACH-000293,-0.20659542373700002
ACH-000294,-0.389474951023
ACH-000295,-0.089848041062
ACH-000296,-0.21366369228300003
ACH-000302,-0.241657917526
ACH-000304,-0.12707707967700002
ACH-000307,-0.245689815167
ACH-000308,-0.18216615565400002
ACH-000310,-0.10224320349999999
ACH-000311,-0.104275657899
ACH-000312,-0.053503039387999995
ACH-000315,-0.0835543227561
ACH-000316,0.05962268249419999
ACH-000317,-0.19911028980999998
ACH-000318,-0.339278602745
ACH-000319,-0.43523342638400003
ACH-000320,-0.09710357558930001
ACH-000322,-0.0929815413907
ACH-000323,-0.263467014178
ACH-000324,-0.194058543803
ACH-000329,0.0495641375954
ACH-000330,-0.18563761285100003
ACH-000331,-0.08398350944970001
ACH-000332,-0.207357187684
ACH-000334,-0.120191009067
ACH-000335,-0.24282892627900002
ACH-000336,-0.0633986765994
ACH-000337,-0.16290313129
ACH-000339,-0.207390054626
ACH-000341,-0.262054991321
ACH-000348,-0.212737073763
ACH-000350,-0.117466121208
ACH-000352,-0.242913880728
ACH-000356,-0.0875584893823
ACH-000361,-0.0281677549964
ACH-000362,-0.310079097284
ACH-000363,-0.304337639328
ACH-000364,-0.10790837916099999
ACH-000365,-0.110423665989
ACH-000366,-0.18884334356600002
ACH-000368,-0.163427485623
ACH-000374,-0.311222130822
ACH-000375,-0.291366909157
ACH-000376,0.127501702391
ACH-000381,-0.07850691972519999
ACH-000383,-0.20166484308
ACH-000387,-0.45595273062299996
ACH-000389,0.13473927374800002
ACH-000390,-0.21813706748000003
ACH-000393,-0.189074281622
ACH-000395,-0.327379987724
ACH-000397,-0.097835136238
ACH-000401,-0.135928705184
ACH-000402,-0.548690481827
ACH-000403,-0.241395964509
ACH-000404,-0.139199892302
ACH-000406,-0.14273215685
ACH-000407,-0.09186063368010002
ACH-000408,-0.26655126301
ACH-000410,-0.240658557721
ACH-000411,-0.13592480455800002
ACH-000414,0.020869369074
ACH-000415,-0.173673547894
ACH-000416,-0.33172630394499997
ACH-000420,-0.100480084626
ACH-000421,-0.321983884353
ACH-000424,-0.30737172647300004
ACH-000425,-0.16716408668
ACH-000426,-0.469358091069
ACH-000427,-0.238661737548
ACH-000433,-0.666051068893
ACH-000436,-0.283932149923
ACH-000444,-0.157314802678
ACH-000445,-0.366561887417
ACH-000448,-0.257393520096
ACH-000450,0.0761451124179
ACH-000452,-0.327348127101
ACH-000454,-0.28853013001600003
ACH-000458,-0.319548391634
ACH-000459,-0.471474401393
ACH-000460,-0.151622346957
ACH-000461,-0.43802540952200003
ACH-000463,-0.133400478924
ACH-000464,-0.025351965010299998
ACH-000466,-0.389264761983
ACH-000467,-0.0041217880945399995
ACH-000468,-0.33988632730499996
ACH-000469,-0.172339105737
ACH-000470,-0.13174112343900002
ACH-000471,-0.13469929110200002
ACH-000472,-0.291142118079
ACH-000473,-0.252401468922
ACH-000475,-0.122283928689
ACH-000476,-0.211187894286
ACH-000477,0.07152735175260001
ACH-000480,-0.028136081616700004
ACH-000481,-0.155696150112
ACH-000483,-0.0545457112466
ACH-000484,-0.038164214740699996
ACH-000485,-0.285641986482
ACH-000486,-0.0792407344163
ACH-000487,-0.471685974878
ACH-000488,-0.271338974056
ACH-000490,-0.325841417199
ACH-000491,-0.23587599195700001
ACH-000495,-0.013087193002
ACH-000496,0.0340651052768
ACH-000499,-0.35334803933
ACH-000500,0.22508654894400001
ACH-000502,-0.27098769998100003
ACH-000503,-0.37959655970600004
ACH-000505,-0.24533156182799998
ACH-000507,-0.24541251948000004
ACH-000510,-0.21191463901500002
ACH-000511,-0.31190638114
ACH-000512,0.0447648222986
ACH-000516,-0.160119983178
ACH-000517,-0.272417319689
ACH-000518,-0.170811207321
ACH-000520,-0.277815342606
ACH-000521,-0.194799132942
ACH-000522,-0.20795435787099997
ACH-000524,-0.11488392577999999
ACH-000527,-0.23668940226100002
ACH-000528,-0.156367205153
ACH-000537,-0.22425206628000002
ACH-000541,-0.528463431441
ACH-000542,-0.162850696476
ACH-000544,0.0130491919077
ACH-000545,-0.39962970004500004
ACH-000547,-0.157143478177
ACH-000548,-0.369778026076
ACH-000549,-0.41704089847
ACH-000550,0.07392681925189999
ACH-000552,-0.07324096162289999
ACH-000556,-0.459773734641
ACH-000557,-0.164886753646
ACH-000570,-0.17276876139000003
ACH-000571,-0.29362941034
ACH-000573,-0.150103268503
ACH-000576,-0.19622026157900002
ACH-000580,-0.144587112481
ACH-000584,-0.216418579271
ACH-000585,-0.524206818899
ACH-000588,0.0615717959845
ACH-000589,-0.189039489498
ACH-000591,-0.398411176197
ACH-000593,-0.122782076142
ACH-000600,-0.34916632567199996
ACH-000601,-0.335447801388
ACH-000604,-0.521683703135
ACH-000605,-0.186503011776
ACH-000606,-0.25559230843499997
ACH-000608,-0.35698821561899996
ACH-000614,-0.015920884179200002
ACH-000616,-0.12457868467199999
ACH-000618,-0.286439851758
ACH-000619,-0.183307220104
ACH-000620,-0.239439565812
ACH-000621,-0.16072235792700001
ACH-000622,-0.160355531953
ACH-000623,-0.25766873333
ACH-000624,-0.307978362984
