,RTKN2 (219790)
ACH-000004,0.012491477771900001
ACH-000007,-0.17504433498
ACH-000009,-0.334493169813
ACH-000011,0.0346443532554
ACH-000012,-0.0404403923165
ACH-000013,-0.13212780622099998
ACH-000014,-0.148439057897
ACH-000015,-0.161031651166
ACH-000017,-0.00127527729693
ACH-000018,-0.061083855876199994
ACH-000019,-0.0651383753019
ACH-000021,0.115334862907
ACH-000022,-0.0315928944785
ACH-000025,-0.29756481371599997
ACH-000028,-0.177095541926
ACH-000030,-0.32572327631299997
ACH-000035,-0.321673773151
ACH-000036,-0.21943234546999998
ACH-000037,0.0028492972170900003
ACH-000039,0.00110626072753
ACH-000040,-0.17314447226
ACH-000041,-0.06976925571050001
ACH-000042,-0.13621552544999999
ACH-000045,-0.0934156840135
ACH-000047,-0.033803144199099994
ACH-000052,-0.134078395753
ACH-000053,-0.22367629675700001
ACH-000054,-0.138079464536
ACH-000055,0.0441116416735
ACH-000060,0.10962746740399999
ACH-000067,-0.323853675418
ACH-000070,0.131598217617
ACH-000075,-0.248684151543
ACH-000078,-0.153485608617
ACH-000082,0.0541343464463
ACH-000085,-0.08846348084899999
ACH-000086,-0.173850842366
ACH-000087,-0.0839185943181
ACH-000092,-0.06538188522999999
ACH-000095,0.0174457711242
ACH-000097,-0.0636173181589
ACH-000098,-0.0637926071039
ACH-000099,-0.0508753747265
ACH-000108,-0.134198781609
ACH-000113,-0.175968012416
ACH-000115,0.104065203643
ACH-000116,-0.157946901282
ACH-000118,-0.00542303520974
ACH-000120,0.0172897933862
ACH-000123,-0.25502560538
ACH-000127,-0.173039012529
ACH-000128,0.0682248593716
ACH-000132,-0.193540651985
ACH-000133,-0.0999529396605
ACH-000137,-0.0034369933100200003
ACH-000138,-0.08523299189939999
ACH-000142,-0.163478537019
ACH-000143,-0.101307905582
ACH-000146,-0.09056407481699999
ACH-000148,-0.249363328476
ACH-000150,-0.0565475560213
ACH-000152,-0.0539230115038
ACH-000153,0.0824715437299
ACH-000159,-0.19020859033799997
ACH-000160,-0.111327281133
ACH-000163,-0.05871231689180001
ACH-000167,-0.31905085398099997
ACH-000168,-0.21537698057500002
ACH-000169,-0.0770034023605
ACH-000178,-0.129732358145
ACH-000182,-0.0284813904015
ACH-000183,-0.07996796712280001
ACH-000188,-0.00467617220255
ACH-000189,-0.12168833385500001
ACH-000190,-0.23444235786999998
ACH-000198,-0.019106754122400003
ACH-000204,-0.475556396708
ACH-000206,-0.08819102290650001
ACH-000207,-0.007065604968459999
ACH-000211,-0.0922707944482
ACH-000215,-0.162497173135
ACH-000221,0.0072830934187700005
ACH-000222,-0.00792135853623
ACH-000223,-0.114620364732
ACH-000226,-0.307732375944
ACH-000227,-0.369718532452
ACH-000228,-0.24269249503
ACH-000231,-0.243890080821
ACH-000232,-0.149180870384
ACH-000233,-0.123903067935
ACH-000234,-0.0579909963863
ACH-000235,-0.063514975984
ACH-000237,-0.210226417291
ACH-000238,0.17262818166700003
ACH-000243,-0.0677096329694
ACH-000244,0.0643499660998
ACH-000246,0.0224354693894
ACH-000248,-0.0539236027044
ACH-000250,-0.11837812681500001
ACH-000251,-0.220495102799
ACH-000253,-0.018307890990200002
ACH-000255,-0.156429460406
