,NFYB (4801)
ACH-000004,-0.8310894210009999
ACH-000007,-0.9137881860279999
ACH-000009,-0.849138858124
ACH-000011,-0.7874095672329999
ACH-000012,-0.961336823854
ACH-000013,-0.701676260056
ACH-000014,-0.6915709678049999
ACH-000015,-0.762596252937
ACH-000017,-1.08768760605
ACH-000018,-0.49791092276500004
ACH-000019,-0.9937289552299998
ACH-000021,-0.981748205396
ACH-000022,-0.877972025256
ACH-000025,-1.01659196264
ACH-000028,-0.5880746071280001
ACH-000030,-0.645912314119
ACH-000035,-0.702797563707
ACH-000036,-0.658034684712
ACH-000037,-0.881304681971
ACH-000039,-0.762435726108
ACH-000040,-0.895132396875
ACH-000041,-0.519464002896
ACH-000042,-0.9191483452220001
ACH-000045,-1.01761770621
ACH-000047,-0.9217776212630001
ACH-000052,-1.13877017406
ACH-000053,-0.9844148931290001
ACH-000054,-0.839977373039
ACH-000055,-0.894642686116
ACH-000060,-0.713090531872
ACH-000067,-0.916141537608
ACH-000070,-0.800394048379
ACH-000075,-1.08757584373
ACH-000078,-0.9296925393359999
ACH-000082,-1.0155302959999999
ACH-000085,-0.903959890493
ACH-000086,-0.754709447851
ACH-000087,-0.819641971634
ACH-000092,-0.9170680739720001
ACH-000095,-1.05780237995
ACH-000097,-0.869296028463
ACH-000098,-0.760729303391
ACH-000099,-1.07597975619
ACH-000108,-0.920240431927
ACH-000113,-0.957704269182
ACH-000115,-0.9365491018109999
ACH-000116,-0.598054362101
ACH-000118,-1.09424211361
ACH-000120,-0.758137081982
ACH-000123,-0.979470505926
ACH-000127,-0.9614178840350001
ACH-000128,-0.910587496056
ACH-000132,-0.597030694124
ACH-000133,-0.745305088462
ACH-000137,-0.8087551923370001
ACH-000138,-0.7686326561040001
ACH-000142,-0.760173907091
ACH-000143,-0.7915902735320001
ACH-000146,-0.925862761905
ACH-000148,-0.893513440095
ACH-000150,-0.9177880860109999
ACH-000152,-0.93939648686
ACH-000153,-0.876614368293
ACH-000159,-0.8744015757160001
ACH-000160,-0.395566094356
ACH-000163,-0.783261295945
ACH-000167,0.0026606790909699998
ACH-000168,-0.85215004517
ACH-000169,-0.730368775096
ACH-000178,-0.8816592076340001
ACH-000182,-0.903255546005
ACH-000183,-0.769406513838
ACH-000188,-0.8824540371690001
ACH-000189,-0.591672243147
ACH-000190,-0.379078035497
ACH-000198,-0.985570104479
ACH-000204,-0.6043032732620001
ACH-000206,-0.849192032355
ACH-000207,-0.426896966108
ACH-000211,-0.831554645108
ACH-000215,-0.638828509629
ACH-000221,-0.681835704026
ACH-000222,-0.603432075626
ACH-000223,-1.133349886
ACH-000226,-0.8658080019519999
ACH-000227,-1.0478143321
ACH-000228,-0.953282940257
ACH-000231,-0.695529003924
ACH-000232,-0.962762019552
ACH-000233,-0.894180987652
ACH-000234,-0.894998325352
ACH-000235,-0.826389619782
ACH-000237,-0.9685277018680001
ACH-000238,-0.826946203019
ACH-000243,-0.881191221516
ACH-000244,-1.03165474065
ACH-000246,-0.814230876181
ACH-000248,-0.570885674391
ACH-000250,-0.778566186354
ACH-000251,-0.870963418675
ACH-000253,-0.856881175176
ACH-000255,-0.668171201213
ACH-000256,-0.916416784699
ACH-000257,-0.711548534509
ACH-000258,-1.35160567796
ACH-000259,-0.78470771501
ACH-000260,-0.7582966638099999
ACH-000261,-0.909193486079
ACH-000262,-0.713455696049
ACH-000263,-0.700204411144
ACH-000264,-0.8867405002150001
ACH-000265,-0.825062312845
ACH-000266,-0.9159509183700001
ACH-000272,-0.616034140337
ACH-000273,-0.7391715638140001
ACH-000274,-0.828502851618
ACH-000277,-0.8952083687669999
ACH-000278,-0.792125480931
ACH-000279,-0.759733421161
ACH-000280,-0.695041715534
ACH-000281,-0.889520182234
ACH-000288,-0.671039508121
ACH-000291,-0.958774800045
ACH-000293,-0.769181784562
ACH-000294,-0.772039587928
ACH-000295,-1.05413029575
ACH-000296,-0.8834787606640001
ACH-000302,-0.7354284807979999
ACH-000304,-1.1263923011599999
ACH-000307,-0.7223060954880001
ACH-000308,-1.0535503845999998
ACH-000310,-0.9892453894850001
ACH-000311,-0.870045886748
ACH-000312,-0.88924422748
ACH-000315,-1.1035712845799999
ACH-000316,-0.7589870533399999
ACH-000317,-0.610897798778
ACH-000318,-0.8878621093979999
ACH-000319,-0.650416359626
ACH-000320,-1.02736374261
ACH-000322,-0.968777882763
ACH-000323,-0.851393305984
ACH-000324,-0.7734836393369999
ACH-000329,-0.815772989514
ACH-000330,-0.7108366085510001
ACH-000331,-0.854822365177
ACH-000332,-0.7134227931730001
ACH-000334,-1.2801230538200001
ACH-000335,-0.813516452399
ACH-000336,-0.917917876516
ACH-000337,-0.6740166229790001
ACH-000339,-0.9187158797730001
ACH-000341,-0.767500314161
ACH-000348,-0.793066563192
ACH-000350,-1.41200502521
ACH-000352,-0.569533079767
ACH-000356,-0.739846740302
ACH-000361,-0.818924626846
ACH-000362,-0.9515976639399999
ACH-000363,-0.944903018828
ACH-000364,-0.920978665201
ACH-000365,-0.716826831529
ACH-000366,-0.7444590647050001
ACH-000368,-0.9608071915019999
ACH-000374,-0.452007060841
ACH-000375,-0.502715247236
ACH-000376,-0.739450465637
ACH-000381,-0.876156714209
ACH-000383,-0.850823159265
ACH-000387,-0.9027998728309999
ACH-000389,-0.763696398691
ACH-000390,-0.744830119979
ACH-000393,-0.9685197606029999
ACH-000395,-0.9410631088310001
ACH-000397,-0.836334558637
ACH-000401,-1.06639134287
ACH-000402,-0.7557408234999999
ACH-000403,-0.978350762314
ACH-000404,-0.865987001116
ACH-000406,-0.836083670689
ACH-000407,-0.9767506747239999
ACH-000408,-0.902644510468
ACH-000410,-0.702718092854
ACH-000411,-0.958592969162
ACH-000414,-0.841814250983
ACH-000415,-0.7945516787019999
ACH-000416,-0.8774662920049999
ACH-000420,-0.908813545607
ACH-000421,-0.679793079521
ACH-000424,-0.725467867861
ACH-000425,-0.798642267234
ACH-000426,-0.38936015537600005
ACH-000427,-0.828247018865
ACH-000433,-1.0235195076899999
ACH-000436,-0.816374744967
ACH-000444,-1.04470334568
ACH-000445,-0.579222462689
ACH-000448,-1.02604310744
ACH-000450,-1.12833698418
ACH-000452,-0.8734188109450001
ACH-000454,-0.5384737590290001
ACH-000458,-0.9297076326010001
ACH-000459,-0.6989325146400001
ACH-000460,-0.887941900802
ACH-000461,-0.7262232041779999
ACH-000463,-0.855689727228
ACH-000464,-0.76028263767
ACH-000466,-0.897219885989
ACH-000467,-0.832042063463
ACH-000468,-0.777584619312
ACH-000469,-0.930345336158
ACH-000470,-0.693684703591
ACH-000471,-0.639780572835
ACH-000472,-1.1418187922799998
ACH-000473,-0.619765759681
ACH-000475,-0.7084502671340001
ACH-000476,-0.9569180913600001
ACH-000477,-1.14147456314
ACH-000480,-0.735613976535
ACH-000481,-1.1180544203799998
ACH-000483,-0.620253725686
ACH-000484,-1.03549339953
ACH-000485,-0.977804484499
ACH-000486,-1.05286112112
ACH-000487,-0.796202620075
ACH-000488,-0.883599803758
ACH-000490,-0.71191593901
ACH-000491,-0.754536625725
ACH-000495,-0.6940901202420001
ACH-000496,-0.737054053758
ACH-000499,-0.668674628261
ACH-000500,-0.72162172133
ACH-000502,-0.850067462634
ACH-000503,-0.7241190661920001
ACH-000505,-0.690807310552
ACH-000507,-0.790239624667
ACH-000510,-0.832993698052
ACH-000511,-0.9474338046340001
ACH-000512,-1.1714135642299999
ACH-000516,-0.948636544613
ACH-000517,-0.880264386102
ACH-000518,-0.834191362693
ACH-000520,-0.71792394986
ACH-000521,-0.950991287992
ACH-000522,-0.8928230499169999
ACH-000524,-1.12417306552
ACH-000527,-0.83548199124
ACH-000528,-0.9143600783849999
ACH-000537,-0.928169384392
ACH-000541,-1.42964704353
ACH-000542,-0.77441214911
ACH-000544,-0.662011713078
ACH-000545,-0.796790396888
ACH-000547,-0.80119049558
ACH-000548,-0.8348642390659999
ACH-000549,-1.00173244226
ACH-000550,-1.0706843414
ACH-000552,-0.751486763761
ACH-000556,-0.955082527206
ACH-000557,-0.8565913993719999
ACH-000570,-0.8098141924660001
ACH-000571,-0.833466266252
ACH-000573,-1.14832728475
ACH-000576,-1.07310360133
ACH-000580,-1.01818018777
ACH-000584,-0.787504975474
ACH-000585,-0.69685471094
ACH-000588,-0.624362978742
ACH-000589,-0.976230516293
ACH-000591,-0.8783179464190001
ACH-000593,-0.893212159764
ACH-000600,-0.687977581949
ACH-000601,-0.923398383115
ACH-000604,-0.9843855336890001
ACH-000605,-0.910852224067
ACH-000606,-0.854363035463
ACH-000608,-1.3488742793700002
ACH-000614,-1.48931628664
ACH-000616,-0.677568932995
ACH-000618,-0.90751057905
ACH-000619,-0.901934868266
ACH-000620,-0.67841859449
ACH-000621,-0.7562456373980001
ACH-000622,-0.983563774329
ACH-000623,-0.908256939956
ACH-000624,-0.8027827411990001
ACH-000627,-1.08754018052
ACH-000630,-0.499696057187
ACH-000632,-0.9759312340970001
ACH-000633,-0.661558399397
ACH-000637,-0.845562445013
ACH-000638,-0.923350795996
ACH-000646,-1.1934639151100002
ACH-000647,-0.996992181099
ACH-000648,-0.935669904332
ACH-000649,-0.8463198435539999
ACH-000651,-0.984011637062
ACH-000652,-0.967741436691
ACH-000653,-0.9693342191769999
ACH-000657,-0.803524931583
ACH-000658,-0.751113309551
ACH-000661,-0.8043114786159999
ACH-000662,-1.16183278161
ACH-000663,-0.6861397570960001
ACH-000665,-0.798912650972
ACH-000671,-0.574405616317
ACH-000673,-0.760289832777
ACH-000676,-0.9578153282969999
ACH-000677,-0.885557009562
ACH-000681,-0.951052144489
ACH-000682,-0.9034827820100001
ACH-000683,-0.772186678984
ACH-000684,-0.557558476635
ACH-000688,-1.3340860021799998
ACH-000693,-0.7965959696259999
ACH-000694,-0.936435345278
ACH-000695,-1.0411174109799999
ACH-000696,-0.811120804416
ACH-000697,-0.7403157299709999
ACH-000699,-0.9915104434020001
ACH-000701,-0.99620027574
ACH-000706,-0.656293060848
ACH-000711,-0.782816289507
ACH-000713,-0.7605607100759999
ACH-000714,-0.719467571996
ACH-000718,-0.723023088715
ACH-000720,-0.8174540033
ACH-000721,-0.676690905316
ACH-000724,-0.456534643332
ACH-000725,-0.868185720485
ACH-000732,-0.656837572829
ACH-000734,-0.8358955191099999
ACH-000735,-0.659434963905
ACH-000736,-0.984732547223
ACH-000738,-0.73441755566
ACH-000746,-0.755393386771
ACH-000747,-1.00349607491
ACH-000748,-0.7888818354189999
ACH-000753,-0.811819628125
ACH-000756,-0.6759628784
ACH-000757,-0.999639866742
ACH-000758,-0.864249889245
ACH-000760,-1.03935564606
ACH-000763,-0.889259373157
ACH-000764,-0.465022588795
ACH-000765,-0.895396295293
ACH-000766,-1.00652151155
ACH-000767,-0.954724472842
ACH-000768,-0.966963540015
ACH-000769,-0.75858849994
ACH-000770,-0.709845330359
ACH-000771,-0.639401904935
ACH-000773,-0.840617534059
ACH-000776,-1.07551356348
ACH-000777,-0.984818021683
ACH-000778,-0.6573617053190001
ACH-000781,-0.9081319057170001
ACH-000782,-1.15760709654
ACH-000783,-1.01776021046
ACH-000784,-0.751866000619
ACH-000785,-1.36178343812
ACH-000787,-0.981185435888
ACH-000788,-0.8658874666140001
ACH-000791,-0.869528587784
ACH-000792,-0.720301827042
