,UCK2 (7371)
ACH-000004,-0.16928439825599997
ACH-000007,-0.062074502059
ACH-000009,-0.27126719220199996
ACH-000011,0.09850342412469999
ACH-000012,-0.119552837185
ACH-000013,-0.0352442366898
ACH-000014,-0.157551469864
ACH-000015,-0.07008864808510001
ACH-000017,-0.5339114277520001
ACH-000018,-0.0643546758755
ACH-000019,-0.321968689052
ACH-000021,0.015147582394
ACH-000022,-0.176653684284
ACH-000025,-0.238482004595
ACH-000028,-0.05483727232940001
ACH-000030,-0.0878892430975
ACH-000035,-0.116583682148
ACH-000036,-0.044084381053400006
ACH-000037,0.029816315913400004
ACH-000039,-0.200250205222
ACH-000040,-0.0809723066292
ACH-000041,-0.0549440356563
ACH-000042,0.0626411278224
ACH-000045,0.037037881581800006
ACH-000047,-0.222671649089
ACH-000052,-0.155092372599
ACH-000053,-0.101063560091
ACH-000054,-0.204633330139
ACH-000055,0.12243607319599999
ACH-000060,-0.075166669522
ACH-000067,0.0258229474102
ACH-000070,-0.14817684552000002
ACH-000075,-0.145005708327
ACH-000078,0.094657457005
ACH-000082,-0.436176584511
ACH-000085,-0.185483673268
ACH-000086,-0.263252808294
ACH-000087,-0.274720639218
ACH-000092,-0.0968801427203
ACH-000095,-0.17705996468
ACH-000097,-0.27864610708099996
ACH-000098,-0.24173957114999997
ACH-000099,0.0277197628351
ACH-000108,-0.160674335185
ACH-000113,-0.544296098333
ACH-000115,-0.0948790207493
ACH-000116,-0.10579284626800001
ACH-000118,0.146126338093
ACH-000120,-0.224090484567
ACH-000123,0.0963252505018
ACH-000127,-0.10785556163799999
ACH-000128,-0.047521152959500004
ACH-000132,-0.267667966827
ACH-000133,-0.182371052626
ACH-000137,-0.0440375036028
ACH-000138,-0.08384394558889999
ACH-000142,-0.149417623242
ACH-000143,0.0782852065606
ACH-000146,-0.0705511070906
ACH-000148,-0.16340274244300002
ACH-000150,-0.07007264987169999
ACH-000152,-0.179730436311
ACH-000153,-0.26413774235
ACH-000159,-0.17352681569400003
ACH-000160,0.0405353782024
ACH-000163,-0.141214217753
ACH-000167,-0.39996811481399996
ACH-000168,-0.176248050639
ACH-000169,-0.19259968527
ACH-000178,-0.0639819463538
ACH-000182,0.00865599240253
ACH-000183,-0.008611241455430001
ACH-000188,-0.036929120135699996
ACH-000189,0.395034405564
ACH-000190,-0.135495870165
ACH-000198,-0.0835171766607
ACH-000204,0.0146172722863
ACH-000206,-0.0668228472568
ACH-000207,-0.362367409378
ACH-000211,-0.190339404859
ACH-000215,-0.0792077557085
ACH-000221,-0.151850065866
ACH-000222,0.04580330851980001
ACH-000223,-0.291467295969
ACH-000226,-0.106891095325
ACH-000227,0.0945486548528
ACH-000228,-0.055517792816099996
ACH-000231,-0.116421278945
ACH-000232,-0.166677408726
ACH-000233,0.21697236301800002
ACH-000234,-0.23560244102800001
ACH-000235,-0.160209051302
ACH-000237,-0.158363275359
ACH-000238,-0.20602117835099998
ACH-000243,-0.109493624264
ACH-000244,0.00937740498971
ACH-000246,-0.104460732202
ACH-000248,-0.12722975786
ACH-000250,-0.148217364848
ACH-000251,-0.29717446289
ACH-000253,-0.08447727021130001
ACH-000255,-0.127134062128
ACH-000256,-0.0584338523673
ACH-000257,-0.238117301374
ACH-000258,-0.43924392719899996
ACH-000259,0.0194678763111
ACH-000260,-0.0599353548767
ACH-000261,-0.23932349277399997
ACH-000262,-0.36565027914000003
ACH-000263,0.055387747556400004
ACH-000264,-0.184248290991
ACH-000265,-0.218057708849
ACH-000266,-0.138560253375
ACH-000272,-0.20256131835299998
ACH-000273,-0.125762773433
ACH-000274,-0.0701159292449
ACH-000277,-0.104339580645
ACH-000278,0.0671735700634
ACH-000279,-0.06526980078269999
ACH-000280,0.07730389816060002
ACH-000281,-0.0726548978306
ACH-000288,-0.185331857572
ACH-000291,-0.196811914739
ACH-000293,-0.0342247329254
ACH-000294,-0.012724017817200001
ACH-000295,-0.378886759511
ACH-000296,-0.182072786751
ACH-000302,-0.07923686346610001
ACH-000304,0.10314435782999999
ACH-000307,-0.227440547368
ACH-000308,-0.229269384723
ACH-000310,-0.126600898048
ACH-000311,-0.0152512198473
ACH-000312,-0.114632947478
ACH-000315,-0.252166628037
ACH-000316,-0.060260815887199996
ACH-000317,0.104355183137
ACH-000318,-0.0169589577162
ACH-000319,-0.0367915652924
ACH-000320,-0.0381648003324
ACH-000322,-0.237035936569
ACH-000323,-0.32482316856
ACH-000324,-0.15585072032800001
ACH-000329,-0.26473650406599997
ACH-000330,0.0379130005503
ACH-000331,-0.13132113563
ACH-000332,-0.197836050384
ACH-000334,-0.204122206769
ACH-000335,-0.296720216518
ACH-000336,-0.034551761139800005
ACH-000337,0.175927013658
ACH-000339,-0.044049075063899996
ACH-000341,0.117084393271
ACH-000348,-0.196725878843
ACH-000350,-0.13432366127599998
ACH-000352,-0.0899388349477
ACH-000356,-0.356450938836
ACH-000361,-0.163557602411
ACH-000362,-0.0582400780293
ACH-000363,-0.341705535674
ACH-000364,-0.161818751581
ACH-000365,-0.119589664809
ACH-000366,-0.15591572574999998
ACH-000368,0.0565969065615
ACH-000374,-0.07001159129960001
ACH-000375,-0.356518217061
ACH-000376,-0.305093742528
ACH-000381,-0.12672483806399998
ACH-000383,-0.132584577836
ACH-000387,-0.14830670594599998
ACH-000389,0.12303577971799999
ACH-000390,-0.21093391674000003
ACH-000393,0.0115886018325
ACH-000395,-0.195087914148
ACH-000397,-0.0872588375771
ACH-000401,-0.234351045709
ACH-000402,-0.153619677011
ACH-000403,-0.07160216593789999
ACH-000404,0.0561948546252
ACH-000406,-0.08382170664039999
ACH-000407,-0.26556533937
ACH-000408,-0.09372517162560001
ACH-000410,-0.333356357825
ACH-000411,-0.10042880576999999
ACH-000414,-0.0366025424746
ACH-000415,0.0843300038879
ACH-000416,-0.123709003882
ACH-000420,-0.0803656815307
ACH-000421,-0.17964174783300002
ACH-000424,-0.113207017469
ACH-000425,-0.156464209986
ACH-000426,-0.492600974129
ACH-000427,0.0518186012053
ACH-000433,-0.294840697104
ACH-000436,-0.47027825988099997
ACH-000444,-0.157417293175
ACH-000445,-0.123668300049
ACH-000448,-0.183034861057
ACH-000450,-0.43351538545100005
ACH-000452,0.023437835817800002
ACH-000454,-0.0349733469859
ACH-000458,-0.231983908976
ACH-000459,-0.213391445397
ACH-000460,-0.162243551294
ACH-000461,0.00784084654825
ACH-000463,-0.03130327118
ACH-000464,0.16324947773600001
ACH-000466,0.051427097951499995
ACH-000467,-0.20514056968299998
ACH-000468,0.16205469756100002
ACH-000469,-0.0072546970976
ACH-000470,-0.18235865357099998
ACH-000471,-0.135712045572
ACH-000472,-0.0640636666031
ACH-000473,-0.15837783158
ACH-000475,-0.0884624095647
ACH-000476,-0.17756553778099998
ACH-000477,0.10992959477299999
ACH-000480,-0.0490379559997
ACH-000481,-0.0014203483037100002
ACH-000483,-0.0636573402071
ACH-000484,-0.28197184859
ACH-000485,-0.020921386234099996
ACH-000486,-0.00804107869948
ACH-000487,-0.07631196722780001
ACH-000488,-0.020309817893299997
ACH-000490,-0.09031671715220001
ACH-000491,0.190705740898
ACH-000495,-0.245052770036
ACH-000496,-0.0635744663522
ACH-000499,0.0707486413525
ACH-000500,-0.920117611953
ACH-000502,-0.0573654780315
ACH-000503,-0.21120921756299998
ACH-000505,-0.024631801079899998
ACH-000507,-0.0558141452003
ACH-000510,-0.278569749474
ACH-000511,-0.120723162631
ACH-000512,-0.078955297998
ACH-000516,-0.029784774843200003
ACH-000517,-0.21647801988200002
ACH-000518,0.003855819568
ACH-000520,0.0658185380713
ACH-000521,-0.07623957915469999
ACH-000522,-0.279154796046
ACH-000524,-0.0175056816205
ACH-000527,-0.0796970178782
ACH-000528,-0.0252553966015
ACH-000537,0.08500386539169999
ACH-000541,-0.168884667329
ACH-000542,-0.19245950992
ACH-000544,-0.158794391614
ACH-000545,-0.207529514124
ACH-000547,-0.575981976919
ACH-000548,-0.129332754878
ACH-000549,-0.17809361841899998
ACH-000550,-0.21622174088100002
ACH-000552,0.122086176475
ACH-000556,-0.15087202201
ACH-000557,-0.11672899402999999
ACH-000570,-0.0851271788754
ACH-000571,-0.260548085036
ACH-000573,-0.180433468534
ACH-000576,-0.13677028300799998
ACH-000580,0.210025797869
ACH-000584,0.0144353365332
ACH-000585,-0.101564541861
ACH-000588,-0.08771966118519998
ACH-000589,-0.113407562783
ACH-000591,0.214428852161
ACH-000593,0.14475156109200002
ACH-000600,0.0998306333694
ACH-000601,-0.0620882181461
ACH-000604,-0.131090410775
ACH-000605,-0.168445058986
ACH-000606,-0.061520896944199994
ACH-000608,-0.0227953099043
ACH-000614,-0.17168049311900002
ACH-000616,-0.189178145079
ACH-000618,0.000682130717729
ACH-000619,-0.28082091921
ACH-000620,-0.0976557598697
ACH-000621,-0.0283427197023
ACH-000622,-0.0296510501177
ACH-000623,-0.0651043836146
ACH-000624,-0.0901049191398
ACH-000627,-0.016853244696
ACH-000630,-0.12837248113500002
ACH-000632,-0.0796282106563
ACH-000633,-0.221973688499
ACH-000637,0.10095519459100001
ACH-000638,-0.055961871350400004
ACH-000646,0.0795317758218
ACH-000647,-0.295087628137
ACH-000648,0.11349996488900001
ACH-000649,0.0320106774545
ACH-000651,-0.229881196275
ACH-000652,-0.0271532297438
ACH-000653,-0.189436606806
ACH-000657,-0.0914770823408
ACH-000658,-0.272755384229
ACH-000661,-0.0377883060365
ACH-000662,-0.5875303089
ACH-000663,0.0872557167082
ACH-000665,-0.139662447711
ACH-000671,-0.0621610454996
ACH-000673,-0.145931453149
ACH-000676,-0.123686168178
ACH-000677,0.0105926615632
ACH-000681,0.0122975059872
ACH-000682,-0.046917138903099995
ACH-000683,-0.115296110528
ACH-000684,0.0101349976029
ACH-000688,-0.149318127351
ACH-000693,-0.164449155823
ACH-000694,-0.00397568832996
ACH-000695,0.48812239816200004
ACH-000696,-0.132405581667
ACH-000697,-0.29583283367400004
ACH-000699,-0.0849615090781
ACH-000701,-0.1666417592
ACH-000706,-0.0009827060560930001
ACH-000711,-0.0873050675058
ACH-000713,-0.151414386999
ACH-000714,-0.11775361404200001
ACH-000718,-0.193358027023
ACH-000720,-0.117109055757
ACH-000721,-0.0873936619382
ACH-000724,-0.562270845088
ACH-000725,0.00411160921023
ACH-000732,-0.22311694867899998
ACH-000734,-0.18239989509799998
ACH-000735,-0.207407214038
ACH-000736,-0.17705121299899998
ACH-000738,-0.0584029178257
ACH-000746,-0.208384055808
ACH-000747,-0.112118073767
ACH-000748,-0.145424147996
ACH-000753,-0.0122680537381
ACH-000756,-0.038024482368000004
ACH-000757,-0.26550871102400003
ACH-000758,-0.0528258786969
ACH-000760,-0.0822223556977
ACH-000763,-0.232456723607
ACH-000764,-0.18898235610800002
ACH-000765,-0.05017676055369999
ACH-000766,-0.09987986760119999
ACH-000767,-0.21114865605099997
ACH-000768,-0.17429852611299998
ACH-000769,-0.184263984279
ACH-000770,-0.109149702644
ACH-000771,-0.0992224586676
ACH-000773,-0.16496330565099998
ACH-000776,0.0700359340627
ACH-000777,-0.36678632965700003
ACH-000778,-0.12030198124399999
ACH-000781,-0.19037824008999998
ACH-000782,-0.13472117653100002
ACH-000783,0.07016330797789999
ACH-000784,-0.0347672242469
ACH-000785,-0.246911757734
ACH-000787,-0.198745319542
ACH-000788,-0.152649084857
ACH-000791,-0.23223810304499998
ACH-000792,-0.120285990019
ACH-000794,-0.125953084731
ACH-000796,-0.335735771718
ACH-000799,-0.115871779009
ACH-000800,-0.290773677597
ACH-000802,-0.105827769903
ACH-000804,0.149911621894
ACH-000805,-0.06403620596080001
ACH-000809,-0.043952196500000006
ACH-000810,-0.194273647168
ACH-000811,-0.00841568446671
ACH-000817,-0.486291055276
ACH-000819,-0.147357851744
ACH-000820,-0.399497623574
ACH-000821,-0.132991339579
ACH-000822,-0.13671051297
ACH-000823,-0.239117727634
ACH-000824,-0.14186997238399998
ACH-000827,-0.18019737783700002
ACH-000829,0.11018074142
ACH-000831,-0.15556150611
