,ISCA1 (81689)
ACH-000004,-0.19760993829300003
ACH-000007,-0.414172075436
ACH-000009,-0.737487156481
ACH-000011,-0.0373141025176
ACH-000012,-0.49248432150300003
ACH-000013,-0.47168777219400004
ACH-000014,-0.433664235255
ACH-000015,-0.230973782445
ACH-000017,-0.129589114322
ACH-000018,-0.297574192619
ACH-000019,-0.41946438065999997
ACH-000021,-0.0977578869649
ACH-000022,0.19492486830400002
ACH-000025,-0.331841090719
ACH-000028,-0.31383968665999995
ACH-000030,-0.20460899981400002
ACH-000035,-0.28534263259
ACH-000036,-0.0509129762966
ACH-000037,-0.20984733309
ACH-000039,-0.48789000072
ACH-000040,0.0386102885442
ACH-000041,-0.161314326357
ACH-000042,-0.273349705856
ACH-000045,-0.147145395455
ACH-000047,-0.319027658655
ACH-000052,0.176814276109
ACH-000053,-0.292663747114
ACH-000054,-0.5770627648960001
ACH-000055,-0.47651586882700003
ACH-000060,-0.262047832132
ACH-000067,-0.0861085051488
ACH-000070,-0.264886493674
ACH-000075,-0.113596827346
ACH-000078,-0.385872408787
ACH-000082,-0.20631655768399998
ACH-000085,-0.507739103579
ACH-000086,-0.542760915728
ACH-000087,-0.127616424654
ACH-000092,-0.144253315943
ACH-000095,-0.00940270862816
ACH-000097,-0.130788066913
ACH-000098,-0.158037084971
ACH-000099,-0.144677288428
ACH-000108,-0.33693967728299995
ACH-000113,0.096011460083
ACH-000115,-0.107008433264
ACH-000116,-0.293350416602
ACH-000118,-0.522769603666
ACH-000120,-0.192547969031
ACH-000123,-0.294825569122
ACH-000127,-0.25430765792599996
ACH-000128,-0.0913222693354
ACH-000132,-0.18932153180199998
ACH-000133,-0.10987510031600001
ACH-000137,-0.011718228370100002
ACH-000138,-0.48164851370899997
ACH-000142,-0.09254905597419999
ACH-000143,-0.19981042598
ACH-000146,-0.346274974483
ACH-000148,-0.379495631933
ACH-000150,-0.128942297149
ACH-000152,-0.12277790980100001
ACH-000153,-0.500944350469
ACH-000159,-0.23527099958099998
ACH-000160,-0.377038561413
ACH-000163,-0.161345177244
ACH-000167,0.288242345158
ACH-000168,0.19094774623799998
ACH-000169,-0.137232446852
ACH-000178,-0.049964919058099994
ACH-000182,-0.745916074166
ACH-000183,-0.039847129488599996
ACH-000188,-0.161535973872
ACH-000189,-0.142567807554
ACH-000190,-0.364072554362
ACH-000198,-0.25964128261999997
ACH-000204,-0.387711578359
ACH-000206,-0.32331956110300003
ACH-000207,-0.237623287322
ACH-000211,0.00510950843003
ACH-000215,-0.14894668231
ACH-000221,-0.28348309451299997
ACH-000222,-0.195363922203
ACH-000223,-0.35033258009199997
ACH-000226,-0.562166108581
ACH-000227,-0.5085410746060001
ACH-000228,-0.315768949524
ACH-000231,0.11830829795600001
ACH-000232,-0.23269197971
ACH-000233,-0.185533400216
ACH-000234,-0.22827315075
ACH-000235,-0.428055881875
ACH-000237,0.027003253686099998
ACH-000238,-0.197339498887
ACH-000243,-0.225883480823
ACH-000244,0.271973776414
ACH-000246,-0.19972159491900002
ACH-000248,-0.207937803343
ACH-000250,-0.05442153542119999
ACH-000251,-0.574297146856
ACH-000253,-0.213682390374
ACH-000255,-0.420592584652
ACH-000256,-0.196245299612
ACH-000257,0.00400396086361
ACH-000258,-0.285638056995
ACH-000259,-0.642253539143
ACH-000260,0.08572320985089998
ACH-000261,-0.10613859516
ACH-000262,-0.204236813506
ACH-000263,0.249388227219
ACH-000264,-0.131678281357
ACH-000265,-0.273664600323
ACH-000266,-0.162951224907
ACH-000272,0.00319485961318
ACH-000273,-0.09405848934969999
ACH-000274,-0.157180322061
ACH-000277,-0.08268180670910001
ACH-000278,-0.247693541928
ACH-000279,-0.0536052009514
ACH-000280,-0.244713599465
ACH-000281,-0.32165548375799996
ACH-000288,-0.105123521932
ACH-000291,-0.366487655543
ACH-000293,-0.250547097842
ACH-000294,-0.47333494414399996
ACH-000295,-0.103501610444
ACH-000296,-0.286958596549
ACH-000302,-0.0901769544263
ACH-000304,-0.627920477951
ACH-000307,-0.0708618256574
ACH-000308,-0.172188859721
ACH-000310,-0.489887641106
ACH-000311,-0.33157053520999996
ACH-000312,-0.442569545213
ACH-000315,-0.00271425371614
ACH-000316,-0.395537561469
ACH-000317,-0.261436777438
ACH-000318,-0.135113585428
ACH-000319,0.028153036951900003
ACH-000320,-0.896567206846
ACH-000322,-0.493222068901
ACH-000323,-0.353935394788
ACH-000324,-0.158976325586
ACH-000329,-0.44272862059600004
ACH-000330,-0.38278296131300005
ACH-000331,-0.426748691289
ACH-000332,-0.11987387575099999
ACH-000334,-0.041197909497300005
ACH-000335,-0.26437243891199996
ACH-000336,-0.18307975389400002
ACH-000337,-0.22738888964200002
ACH-000339,-0.364051204885
ACH-000341,-0.38932095736199995
ACH-000348,-0.209380719553
ACH-000350,-0.24904057135899998
ACH-000352,-0.122305183817
ACH-000356,-0.37864574148900004
ACH-000361,-0.290498429728
ACH-000362,-0.311777384316
ACH-000363,-0.18564195330400002
ACH-000364,-0.285434151205
ACH-000365,-0.153187534214
ACH-000366,0.000496913554176
ACH-000368,-0.0427361488486
ACH-000374,-0.226132241565
ACH-000375,-0.231495308187
ACH-000376,-0.274551393915
ACH-000381,-0.21893569323800002
ACH-000383,-0.36275904824199995
ACH-000387,-0.282241344589
ACH-000389,0.0814465401115
ACH-000390,-0.0997243558079
ACH-000393,-0.239965284832
ACH-000395,-0.397766271074
ACH-000397,-0.00350206098521
ACH-000401,-0.07117553338489999
ACH-000402,0.06990932537530001
ACH-000403,-0.537555279904
ACH-000404,-0.432747284285
ACH-000406,-0.400646140053
ACH-000407,-0.35295230288199997
ACH-000408,-0.0147507756015
ACH-000410,-0.19073080012899998
ACH-000411,-0.125606881026
ACH-000414,-0.458303033684
ACH-000415,-0.17967240190900002
ACH-000416,-0.19735725016
ACH-000420,-0.160700162136
ACH-000421,-0.104517753967
ACH-000424,-0.109951229966
ACH-000425,-0.139548108827
ACH-000426,-0.239076086193
ACH-000427,-0.0998059835935
ACH-000433,-0.45535088790399997
ACH-000436,-0.254843682004
ACH-000444,-0.46051962090099996
ACH-000445,-0.215528951862
ACH-000448,-0.0975630697555
ACH-000450,-0.391076667955
ACH-000452,-0.08905279306029999
ACH-000454,-0.280122511131
ACH-000458,0.0179496309284
ACH-000459,-0.163987465272
ACH-000460,-0.233150573807
ACH-000461,-0.67297416668
ACH-000463,0.0225091978743
ACH-000464,-0.198032204139
ACH-000466,-0.32576580652
ACH-000467,-0.353896395944
ACH-000468,-0.112338071342
ACH-000469,-0.24734427352
ACH-000470,-0.151714404926
ACH-000471,0.358677316408
ACH-000472,-0.12279580376900001
ACH-000473,-0.118239895684
ACH-000475,-0.35325725396200003
ACH-000476,-0.345178461326
ACH-000477,-0.679476571973
ACH-000480,-0.0943675212703
ACH-000481,-0.33640910588600004
ACH-000483,-0.30259576825
ACH-000484,0.0670674353897
ACH-000485,-0.11703370235999999
ACH-000486,-0.14707094431
ACH-000487,-0.487192321808
ACH-000488,-0.275022895077
ACH-000490,-0.09000637513219999
ACH-000491,-0.18531390841499998
ACH-000495,0.0020566138865499997
ACH-000496,-0.026469785948200004
ACH-000499,-0.239243756651
ACH-000500,0.389994757169
ACH-000502,-0.279830706298
ACH-000503,-0.518503362688
ACH-000505,0.0656730140887
ACH-000507,-0.45482427181100005
ACH-000510,-0.18651585889299999
ACH-000511,0.116435033631
ACH-000512,-0.08407489193980001
ACH-000516,-0.235814013464
ACH-000517,-0.313788772683
