,AP3D1 (8943)
ACH-000004,-0.130128209431
ACH-000007,-0.0795534246897
ACH-000009,-0.17300488060199998
ACH-000011,0.129511100244
ACH-000012,0.0978335913481
ACH-000013,-0.183894250545
ACH-000014,0.0308116897377
ACH-000015,-0.227046466405
ACH-000017,-0.436938854683
ACH-000018,0.0870135841432
ACH-000019,-0.018502410211799998
ACH-000021,-0.015126111373100002
ACH-000022,-0.21840665065099998
ACH-000025,-0.0377372432504
ACH-000028,0.13999789359
ACH-000030,-0.0515533287345
ACH-000035,-0.300965290831
ACH-000036,-0.0023488704743499997
ACH-000037,-0.452367730348
ACH-000039,0.237345950299
ACH-000040,0.273691906187
ACH-000041,-0.041968533633199995
ACH-000042,-0.16873177021699998
ACH-000045,0.148332327757
ACH-000047,0.08730038356280001
ACH-000052,0.0219632394087
ACH-000053,0.0703415939563
ACH-000054,0.22417805584199998
ACH-000055,0.0367128410583
ACH-000060,-0.026190361646
ACH-000067,0.0187247229084
ACH-000070,0.09364101438110001
ACH-000075,-0.10825102461
ACH-000078,0.077115756083
ACH-000082,-0.0674935082296
ACH-000085,-0.021486512274400002
ACH-000086,-0.199466843104
ACH-000087,0.0980414064369
ACH-000092,-0.0670333301332
ACH-000095,-0.120554962773
ACH-000097,0.08766572933049999
ACH-000098,-0.0529511967588
ACH-000099,-0.0010404738491
ACH-000108,-0.07966269358910001
ACH-000113,-0.0595462006585
ACH-000115,-0.065135656284
ACH-000116,-0.0979929142144
ACH-000118,-0.0281929722994
ACH-000120,-0.08570929682289999
ACH-000123,-0.171202097371
ACH-000127,-0.163900335416
ACH-000128,-0.08520630681399999
ACH-000132,0.133634172399
ACH-000133,0.107164635022
ACH-000137,0.0263464815286
ACH-000138,-0.104905182346
ACH-000142,-0.135052129143
ACH-000143,0.027246931680700002
ACH-000146,-0.077705698399
ACH-000148,-0.08033680150160001
ACH-000150,0.00134360258202
ACH-000152,-0.167876425143
ACH-000153,0.185621999229
ACH-000159,-0.112798307808
ACH-000160,0.0650319139942
ACH-000163,-0.285001758213
ACH-000167,-0.12977305073200002
ACH-000168,0.360014896274
ACH-000169,-0.188632796605
ACH-000178,-0.0455080688186
ACH-000182,-0.0604191732876
ACH-000183,-0.32900645032299997
ACH-000188,0.00706836743164
ACH-000189,0.110959238533
ACH-000190,-0.061076624025800004
ACH-000198,-0.0817711490037
ACH-000204,-0.34097334585199995
ACH-000206,-0.08631933547790001
ACH-000207,0.364209309287
ACH-000211,-0.0369698825675
ACH-000215,0.08112671684560001
