,EME2 (197342)
ACH-000004,0.233487574946
ACH-000007,0.0184108682678
ACH-000009,0.0378248780746
ACH-000011,-0.004789803562539999
ACH-000012,-0.127975947007
ACH-000013,-0.100702268934
ACH-000014,-0.277161411088
ACH-000015,-0.107844903564
ACH-000017,-0.138788936677
ACH-000018,0.08345853772689998
ACH-000019,-0.594773351729
ACH-000021,-0.0395705642595
ACH-000022,-0.0090792034526
ACH-000025,0.031177697821499997
ACH-000028,-0.111160223864
ACH-000030,-0.0408825840869
ACH-000035,-0.100232515562
ACH-000036,-0.262254604479
ACH-000037,-0.33997041677100004
ACH-000039,-0.33945695201399995
ACH-000040,0.07288463030839999
ACH-000041,-0.10409449873400001
ACH-000042,-0.0783137725607
ACH-000045,0.0702101993394
ACH-000047,-0.228072901416
ACH-000052,0.0794234908855
ACH-000053,-0.0657009613584
ACH-000054,-0.134222334524
ACH-000055,-0.212955865596
ACH-000060,-0.193289855191
ACH-000067,-0.296933983775
ACH-000070,-0.0313225223769
ACH-000075,-0.12241037522399999
ACH-000078,-0.158628685051
ACH-000082,-0.21008441375300002
ACH-000085,-0.548670096629
ACH-000086,0.10398331198100001
ACH-000087,0.0780070840173
ACH-000092,-0.0149737259494
ACH-000095,-0.305965674012
ACH-000097,-0.106998399353
ACH-000098,-0.15131325131200002
ACH-000099,-0.20381784679
ACH-000108,-0.0761965180556
ACH-000113,-0.21948265020399998
ACH-000115,-0.11467091353900001
ACH-000116,-0.160486494974
ACH-000118,-0.031688590654199995
ACH-000120,0.042152282183999995
ACH-000123,-0.167540294314
ACH-000127,-0.13650357873299998
ACH-000128,-0.155791485974
ACH-000132,-0.034730924914599996
ACH-000133,-0.069027950784
ACH-000137,0.0006731173052590001
ACH-000138,-0.0808152857102
ACH-000142,-0.26303192312
ACH-000143,-0.167513484694
ACH-000146,-0.21817448808000003
ACH-000148,-0.043405397732100004
ACH-000150,-0.10781912882000001
ACH-000152,-0.066219695987
ACH-000153,-0.178514648068
ACH-000159,-0.153135779021
ACH-000160,0.11424297271
ACH-000163,-0.07740472712469999
ACH-000167,-0.166066430832
ACH-000168,-0.144037551574
ACH-000169,-0.112577472049
ACH-000178,-0.136278893079
ACH-000182,0.0889681979896
ACH-000183,-0.09254029684210001
ACH-000188,-0.008256436261539999
ACH-000189,0.160122299056
ACH-000190,0.08006255727230001
ACH-000198,0.028883915008
ACH-000204,-0.0197084501934
ACH-000206,-0.056150305837500004
ACH-000207,0.0323809801598
ACH-000211,-0.239342982489
ACH-000215,-0.10073221819599999
ACH-000221,-0.022090721866900004
ACH-000222,0.0657155136263
ACH-000223,-0.191469778024
ACH-000226,-0.120108760345
ACH-000227,-0.245219594095
ACH-000228,0.19550508701699998
ACH-000231,-0.023826806722
ACH-000232,-0.0935848218117
ACH-000233,-0.15265207197699998
ACH-000234,-0.454267939937
ACH-000235,0.0482697239936
ACH-000237,-0.0293582161851
ACH-000238,0.112543224813
ACH-000243,-0.0705595989579
ACH-000244,0.0023715909946799996
ACH-000246,-0.22058420175000001
ACH-000248,-0.0286527839839
ACH-000250,-0.198924750587
ACH-000251,0.123295004495
ACH-000253,-0.0881104927698
ACH-000255,0.0639231349842
ACH-000256,-0.0766069523082
ACH-000257,-0.0942138709506
ACH-000258,-0.20010411677099998
ACH-000259,0.0192887342167
ACH-000260,-0.313023066041
ACH-000261,-0.106674182312
ACH-000262,-0.28055391330699997
ACH-000263,0.167072498534
ACH-000264,-0.090312812614
ACH-000265,0.018303250459
ACH-000266,-0.108580897277
ACH-000272,-0.000252081589483
ACH-000273,-0.120075299287
ACH-000274,-0.0745159931593
ACH-000277,-0.0270955941959
ACH-000278,-0.014404930870399998
ACH-000279,0.0547905917572
ACH-000280,-0.11894326955600001
ACH-000281,0.0564717376622
