,MCL1 (4170)
ACH-000004,-0.413791172271
ACH-000007,-0.249297779841
ACH-000009,-0.401814197391
ACH-000011,-0.530721503281
ACH-000012,-0.40363224281300003
ACH-000013,-0.27772791584600004
ACH-000014,-1.2255925057500001
ACH-000015,-1.13945171332
ACH-000017,-0.545612422091
ACH-000018,-0.16963717585000002
ACH-000019,-1.03214537543
ACH-000021,-0.577453345517
ACH-000022,-0.407503142406
ACH-000025,-0.41084988976899994
ACH-000028,-0.8355604138060001
ACH-000030,-0.721094228865
ACH-000035,-0.6576318476799999
ACH-000036,-0.5675612514689999
ACH-000037,-0.505784740607
ACH-000039,-1.7005586975100002
ACH-000040,-0.227818533081
ACH-000041,-1.0372499445
ACH-000042,-0.5507117541759999
ACH-000045,-1.1332904073899999
ACH-000047,-0.446772738349
ACH-000052,-0.751217418504
ACH-000053,-1.01187830029
ACH-000054,-0.7077062478899999
ACH-000055,-1.00367612475
ACH-000060,-0.588744004868
ACH-000067,-0.579516640586
ACH-000070,-1.10317272649
ACH-000075,-0.345525314744
ACH-000078,-0.510660251274
ACH-000082,-0.311008075402
ACH-000085,-0.616236918589
ACH-000086,-0.41565272487300003
ACH-000087,-0.9383492429029999
ACH-000092,-0.821530237475
ACH-000095,-0.709165997048
ACH-000097,-0.358178369737
ACH-000098,-0.549947773372
ACH-000099,-0.20441093543400002
ACH-000108,-0.325639740924
ACH-000113,-1.14776957596
ACH-000115,-2.09753227622
ACH-000116,-0.559546253087
ACH-000118,-0.43361888129799997
ACH-000120,-1.0234336799700001
ACH-000123,-1.03841230974
ACH-000127,-0.308354059347
ACH-000128,-0.39358482768799996
ACH-000132,-0.486592987197
ACH-000133,-0.974355351091
ACH-000137,-0.8370205267380001
ACH-000138,-0.37435824011
ACH-000142,-0.568265547658
ACH-000143,-0.48730838888300004
ACH-000146,-1.56405102976
ACH-000148,-0.830190912858
ACH-000150,-0.553334134279
ACH-000152,-0.868367208964
ACH-000153,-0.27867479081
ACH-000159,-0.296724339601
ACH-000160,-0.589903059591
ACH-000163,-0.486857332878
ACH-000167,-0.255640447833
ACH-000168,-0.8267073895899999
ACH-000169,-0.364113030982
ACH-000178,-0.337584045182
ACH-000182,-0.32308858246100003
ACH-000183,-1.08605480452
ACH-000188,-0.904195143001
ACH-000189,-0.545146000687
ACH-000190,-0.23075388454
ACH-000198,-1.17773165979
ACH-000204,-0.9244369568899999
