,AJUBA (84962)
ACH-000004,-0.21979469916299998
ACH-000007,0.0969372827083
ACH-000009,-0.307254765337
ACH-000011,-0.102542723028
ACH-000012,-0.39330960570699997
ACH-000013,-0.113261135406
ACH-000014,-0.26366100562
ACH-000015,0.0526960947107
ACH-000017,-0.11774807640599999
ACH-000018,0.0203202316926
ACH-000019,-0.133889472963
ACH-000021,-0.26719028497200004
ACH-000022,-0.122359966644
ACH-000025,0.167987641451
ACH-000028,-0.221418725942
ACH-000030,-0.07022536021879999
ACH-000035,-0.104586125429
ACH-000036,-0.259713704735
ACH-000037,-0.284206051944
ACH-000039,-0.011449641902100002
ACH-000040,0.021154294907400003
ACH-000041,-0.170715302169
ACH-000042,-0.0612581556774
ACH-000045,-0.19811463401
ACH-000047,-0.15687506930700001
ACH-000052,-0.16732286890200002
ACH-000053,-0.0774129538111
ACH-000054,-0.237033501119
ACH-000055,-0.626120161975
ACH-000060,-0.00375273136969
ACH-000067,0.161093535108
ACH-000070,0.0107974417384
ACH-000075,-0.218537159301
ACH-000078,-0.303641493601
ACH-000082,0.227537601436
ACH-000085,0.211379853576
ACH-000086,-0.0792982507667
ACH-000087,-0.175195542221
ACH-000092,-0.173300644165
ACH-000095,-0.142361432623
ACH-000097,-0.179786181816
ACH-000098,0.00511975148729
ACH-000099,-0.198471945096
ACH-000108,0.0166026422405
ACH-000113,-0.106946889696
ACH-000115,-0.270856364076
ACH-000116,-0.19185990250399998
ACH-000118,-0.007079134239909999
ACH-000120,-0.33625645258299997
ACH-000123,-0.267568859471
ACH-000127,0.10806267915899999
ACH-000128,-0.361881128795
ACH-000132,-0.0012986073546800002
ACH-000133,-0.177336414654
ACH-000137,0.0650459087141
ACH-000138,-0.09429267352330001
ACH-000142,0.16191153831
ACH-000143,-0.203747175297
ACH-000146,-0.31266462774099996
ACH-000148,-0.235615000305
ACH-000150,0.14939943488
ACH-000152,-0.13071742157400001
ACH-000153,-0.292832050922
ACH-000159,-0.411116793313
ACH-000160,0.0630338218677
ACH-000163,-0.205129251593
ACH-000167,0.514304272776
ACH-000168,-0.33415949591899996
ACH-000169,-0.101533430067
ACH-000178,0.20205458492800002
ACH-000182,-0.061855253806300005
ACH-000183,-0.225559259054
ACH-000188,0.34580792496
ACH-000189,-0.358172792901
ACH-000190,0.0388845598205
ACH-000198,-0.040799549380300004
ACH-000204,-0.273795712381
ACH-000206,-0.122140899826
ACH-000207,0.0390833767271
