,KISS1R (84634)
ACH-000004,-0.0753233701492
ACH-000007,-0.146548537894
ACH-000009,0.046308127800900004
ACH-000011,0.133733614847
ACH-000012,-0.102231153803
ACH-000013,-0.17177211191
ACH-000014,-0.184043543193
ACH-000015,0.0194903882141
ACH-000017,-0.24023983902499998
ACH-000018,-0.272883558086
ACH-000019,-0.08285395343810001
ACH-000021,-0.11608099773700001
ACH-000022,-0.31822305703299997
ACH-000025,-0.246643008798
ACH-000028,-0.11034740531199999
ACH-000030,-0.236890442201
ACH-000035,-0.21475545481199998
ACH-000036,-0.139041558675
ACH-000037,-0.08891202443219999
ACH-000039,-0.177293265724
ACH-000040,-0.07895328964930001
ACH-000041,-0.036955412128800005
ACH-000042,-0.110391535881
ACH-000045,-0.176410444444
ACH-000047,-0.0860562754999
ACH-000052,-0.128026014355
ACH-000053,-0.189759798251
ACH-000054,-0.304920001239
ACH-000055,-0.146027502409
ACH-000060,-0.138444757749
ACH-000067,-0.159284902265
ACH-000070,-0.0836658665423
ACH-000075,0.0512707884401
ACH-000078,-0.203121324534
ACH-000082,-0.08021497851639998
ACH-000085,-0.161755691679
ACH-000086,-0.148258298697
ACH-000087,-0.06200765683019999
ACH-000092,-0.105888697458
ACH-000095,-0.20740787694899998
ACH-000097,-0.08904171334239999
ACH-000098,-0.16303473758
ACH-000099,-0.297235624866
ACH-000108,-0.041844290049999996
ACH-000113,0.0531310198115
ACH-000115,-0.23531456839
ACH-000116,-0.248179903326
ACH-000118,0.020773328073599998
ACH-000120,0.0457671168949
ACH-000123,-0.0405863341967
ACH-000127,-0.21795023176800002
ACH-000128,-0.030896674274
ACH-000132,-0.0683583519212
ACH-000133,-0.0112481960886
ACH-000137,-0.0954757135013
ACH-000138,-0.175195939041
ACH-000142,-0.134131755171
ACH-000143,-0.0385449910414
ACH-000146,-0.101066851354
ACH-000148,-0.09660722689860002
ACH-000150,-0.178847812096
ACH-000152,0.0348639472044
ACH-000153,-0.23176060649900002
ACH-000159,-0.20726461561299997
ACH-000160,-0.18817744333500003
ACH-000163,0.0724108100537
ACH-000167,-0.19237006012699998
ACH-000168,-0.30489922780699996
ACH-000169,-0.199719407825
ACH-000178,-0.204400905038
ACH-000182,-0.0036420620518400003
ACH-000183,0.054423921103099994
ACH-000188,-0.13595333990800001
ACH-000189,-0.15094998989
ACH-000190,-0.12395311093900001
ACH-000198,-0.168321374009
ACH-000204,-0.19961480827300002
ACH-000206,-0.196677463115
ACH-000207,0.0423297660025
ACH-000211,-0.14052804314300002
ACH-000215,-0.0408346641571
ACH-000221,-0.166118104629
ACH-000222,-0.102234557031
ACH-000223,-0.011478384195600001
ACH-000226,0.0774466594155
ACH-000227,-0.048349137583599995
ACH-000228,-0.0704082243773
ACH-000231,-0.06903979392810002
ACH-000232,-0.033808527485700006
ACH-000233,-0.32654766526
ACH-000234,-0.349771534085
ACH-000235,-0.163595562021
ACH-000237,-0.193010567676
ACH-000238,-0.0357603826145
