,SBDS (51119)
ACH-000004,-1.78516490875
ACH-000007,-1.67068905609
ACH-000009,-1.74746518527
ACH-000011,-1.8571602487999999
ACH-000012,-1.4202799037399998
ACH-000013,-1.8993129569999998
ACH-000014,-1.6759913234900001
ACH-000015,-1.54687294917
ACH-000017,-1.66500430185
ACH-000018,-1.6432710484
ACH-000019,-1.9188095558400002
ACH-000021,-1.4606141503
ACH-000022,-1.6434763387
ACH-000025,-1.4790471006900001
ACH-000028,-1.4144176564
ACH-000030,-1.6597436203100002
ACH-000035,-1.7348963155200001
ACH-000036,-1.4335858628600002
ACH-000037,-1.49468542549
ACH-000039,-1.66337229745
ACH-000040,-1.6531425505700001
ACH-000041,-1.0975101432799999
ACH-000042,-1.63120700118
ACH-000045,-1.77656126961
ACH-000047,-1.46556317248
ACH-000052,-1.3658500328
ACH-000053,-1.25723815756
ACH-000054,-1.65164349877
ACH-000055,-2.07000741063
ACH-000060,-1.6925464656
ACH-000067,-1.52418305859
ACH-000070,-2.04104869936
ACH-000075,-1.71448932278
ACH-000078,-1.4932836565099998
ACH-000082,-1.88046794708
ACH-000085,-1.9339581995099997
ACH-000086,-1.51559507624
ACH-000087,-1.5646202600499999
ACH-000092,-1.62710171762
ACH-000095,-1.7097545843700002
ACH-000097,-1.7164747480899998
ACH-000098,-1.37448370949
ACH-000099,-1.64526679239
ACH-000108,-1.8661068764099997
ACH-000113,-1.7529036438699999
ACH-000115,-1.04628545631
ACH-000116,-1.95122256993
ACH-000118,-1.52496674336
ACH-000120,-1.6576238649200001
ACH-000123,-1.63502284891
ACH-000127,-1.63606550104
ACH-000128,-1.68315457611
ACH-000132,-1.59485471373
ACH-000133,-1.7913009645099998
ACH-000137,-1.6068075575100003
ACH-000138,-1.5405343188799998
ACH-000142,-1.4635734420200002
ACH-000143,-1.52480498408
ACH-000146,-1.2396815974700002
ACH-000148,-1.8362130026900003
ACH-000150,-1.6015799615700002
ACH-000152,-1.59198838143
ACH-000153,-1.8977309622999998
ACH-000159,-1.8435753145500002
ACH-000160,-1.88752289819
ACH-000163,-1.7776456609599998
ACH-000167,-1.8905940038599998
ACH-000168,-1.58828277107
ACH-000169,-1.38130792301
ACH-000178,-1.6607494453600002
ACH-000182,-1.69012284377
ACH-000183,-1.6342455991
ACH-000188,-1.68140163843
ACH-000189,-1.9738707220599998
ACH-000190,-1.5866105230399998
ACH-000198,-1.81673606696
ACH-000204,-1.5192243970200001
ACH-000206,-1.69295130468
ACH-000207,-1.97275988884
ACH-000211,-1.4174661551199998
ACH-000215,-1.43593685929
ACH-000221,-1.59776113385
ACH-000222,-1.8047799365900001
ACH-000223,-1.65356735226
ACH-000226,-1.5458497624
ACH-000227,-1.2276583946700002
ACH-000228,-1.78158520068
ACH-000231,-1.52294623229
ACH-000232,-1.68145321164
ACH-000233,-1.6243335148500002
ACH-000234,-1.79406035437
ACH-000235,-1.6185992931200002
ACH-000237,-1.77550258562
ACH-000238,-1.5007136188799999
ACH-000243,-1.39785445745
ACH-000244,-1.73196622575
ACH-000246,-1.59028806503
ACH-000248,-1.4124192179700001
ACH-000250,-1.7298075273299998
ACH-000251,-1.74707567809
ACH-000253,-1.69695936985
ACH-000255,-1.5797770861200002
ACH-000256,-1.69120285443
ACH-000257,-1.59814552308
ACH-000258,-1.25327734819
ACH-000259,-1.42761080786
ACH-000260,-1.44941841269
ACH-000261,-1.6110456430000002
ACH-000262,-1.93984680567
ACH-000263,-1.5330673106600001
ACH-000264,-1.7188897873599998
ACH-000265,-1.56837167158
ACH-000266,-1.6139233041699999
ACH-000272,-1.55854216875
ACH-000273,-1.62016802382
ACH-000274,-1.1383971305
ACH-000277,-2.2662992537299997
ACH-000278,-1.2562548341
ACH-000279,-0.986826033055
ACH-000280,-1.5505977131
ACH-000281,-1.4994724947799998
ACH-000288,-1.6483252981
ACH-000291,-1.8787280463999998
ACH-000293,-1.9843892784400001
ACH-000294,-1.54653216554
ACH-000295,-1.7840135614700001
ACH-000296,-1.54379541321
ACH-000302,-1.84507789275
ACH-000304,-1.64623636467
ACH-000307,-1.68277287206
ACH-000308,-1.7897498238499998
ACH-000310,-1.33697370558
ACH-000311,-1.58054597384
ACH-000312,-1.5768636113499999
ACH-000315,-1.6145226732799998
ACH-000316,-1.74462451733
ACH-000317,-1.67609310511
ACH-000318,-1.82837567445
ACH-000319,-1.4990841308200002
ACH-000320,-1.59395235651
ACH-000322,-1.57661210682
ACH-000323,-1.3446537570200001
ACH-000324,-1.8764019114700001
ACH-000329,-1.88826187602
ACH-000330,-1.57797554505
ACH-000331,-1.2703830839299999
ACH-000332,-1.6373642926299998
ACH-000334,-2.2327009914500002
ACH-000335,-1.8350157110599998
ACH-000336,-1.8283155872099999
ACH-000337,-1.71234690576
ACH-000339,-1.6446639610799998
ACH-000341,-1.9437700848900001
ACH-000348,-1.88777145137
ACH-000350,-1.74563519393
ACH-000352,-1.6767336115399998
ACH-000356,-1.0909862506
ACH-000361,-1.84037859167
ACH-000362,-2.13738153859
ACH-000363,-1.92465642032
ACH-000364,-1.3473959494
ACH-000365,-1.67318581079
ACH-000366,-1.8107358551
ACH-000368,-2.0048693284
ACH-000374,-1.8296435855900002
ACH-000375,-1.7353110944799999
ACH-000376,-1.5442735724599999
ACH-000381,-1.6209825445500001
ACH-000383,-1.8211000029700002
ACH-000387,-1.5866196271000002
ACH-000389,-1.5590571926899999
ACH-000390,-1.7395573906900001
ACH-000393,-1.8556850135
ACH-000395,-2.04323394948
ACH-000397,-1.5461526232499998
ACH-000401,-1.71016895322
ACH-000402,-1.5990003162
ACH-000403,-2.05845654479
ACH-000404,-1.3091938731200001
ACH-000406,-1.46487425303
ACH-000407,-1.63676127528
ACH-000408,-1.64281806657
ACH-000410,-1.28826881787
ACH-000411,-1.55063215313
ACH-000414,-2.21290977642
ACH-000415,-1.6247837593099999
ACH-000416,-1.54671537912
ACH-000420,-1.40858062113
ACH-000421,-1.5061791924799999
ACH-000424,-1.53058857313
ACH-000425,-1.44211148097
ACH-000426,-2.14830567875
ACH-000427,-1.7693438425799999
ACH-000433,-1.6238697390799999
ACH-000436,-2.1005951941900003
ACH-000444,-1.6162838713799998
ACH-000445,-1.04948165833
ACH-000448,-1.7855721926599997
ACH-000450,-2.12020889896
ACH-000452,-1.7667966761200002
ACH-000454,-1.74361467655
ACH-000458,-1.82036737497
ACH-000459,-1.2900465196100002
ACH-000460,-1.57013367944
ACH-000461,-1.94254372125
ACH-000463,-1.68961669294
ACH-000464,-1.57159690608
ACH-000466,-2.0327040736099997
ACH-000467,-1.4307158312700001
ACH-000468,-1.6044788211
ACH-000469,-1.64612003723
ACH-000470,-1.86673245211
ACH-000471,-1.5177544372
ACH-000472,-1.7431755904900001
ACH-000473,-1.57496158498
ACH-000475,-1.68788284141
ACH-000476,-1.6529995461000002
ACH-000477,-1.79336385033
ACH-000480,-1.49420554704
ACH-000481,-1.73687767683
ACH-000483,-1.9056436648400004
ACH-000484,-2.2203897275599997
ACH-000485,-1.7097107429799998
ACH-000486,-1.7437311068599999
ACH-000487,-1.2491108252399998
ACH-000488,-1.7011209218599999
ACH-000490,-1.5930041263999999
ACH-000491,-1.73657525352
ACH-000495,-1.51561339106
ACH-000496,-1.30292951607
ACH-000499,-1.46731468731
ACH-000500,-1.3065224834
ACH-000502,-1.7075065179299997
ACH-000503,-1.7636053139400003
ACH-000505,-1.7056835765399998
ACH-000507,-1.64900292193
ACH-000510,-1.6287562610600002
ACH-000511,-1.7382428380000001
ACH-000512,-1.4857250657899999
ACH-000516,-1.40341234679
ACH-000517,-1.70181652838
ACH-000518,-1.9449600059799999
ACH-000520,-1.5772320626499998
ACH-000521,-1.69702636016
ACH-000522,-1.6209003268900002
ACH-000524,-1.8556725999500001
ACH-000527,-1.7972742559400001
ACH-000528,-1.77243570905
ACH-000537,-1.9354368246900002
ACH-000541,-1.25814400476
ACH-000542,-1.64835803246
ACH-000544,-1.32139930401
ACH-000545,-1.3583193678799999
ACH-000547,-1.70934540682
ACH-000548,-1.5772251380899998
ACH-000549,-1.6760595360400001
ACH-000550,-2.04587447389
ACH-000552,-1.40152262463
ACH-000556,-1.75730010005
ACH-000557,-2.2921622304900002
ACH-000570,-1.6123228729299999
ACH-000571,-2.5250886389700002
ACH-000573,-1.66548768169
ACH-000576,-1.9496623753599998
ACH-000580,-1.79222984646
ACH-000584,-1.15655034878
ACH-000585,-1.26641006746
ACH-000588,-1.8554992567200002
ACH-000589,-1.36434742579
ACH-000591,-1.61099629261
ACH-000593,-1.8660117037400001
ACH-000600,-1.8969382856900001
ACH-000601,-1.5331728365900001
ACH-000604,-1.47931394123
ACH-000605,-1.8457012721000001
ACH-000606,-1.68151496485
ACH-000608,-1.1233514058299998
ACH-000614,-2.01085380735
ACH-000616,-1.4109702153
ACH-000618,-1.60246566625
ACH-000619,-1.16930989202
ACH-000620,-1.9083297251400002
ACH-000621,-1.82252411197
ACH-000622,-1.66565261086
ACH-000623,-1.5450179304
ACH-000624,-1.57121370255
ACH-000627,-1.8084417663699999
ACH-000630,-1.6932359544
ACH-000632,-1.1534604646700002
ACH-000633,-1.7826091054900002
ACH-000637,-1.9326416253099998
ACH-000638,-1.5470081196599998
ACH-000646,-1.6858193281
ACH-000647,-1.51731371748
ACH-000648,-1.5423593024899998
ACH-000649,-1.46545686692
ACH-000651,-1.43199561769
ACH-000652,-1.4952129856099998
ACH-000653,-1.7994915792200001
ACH-000657,-1.68860807711
ACH-000658,-1.0185422418999999
ACH-000661,-1.94942263182
ACH-000662,-1.61692819546
ACH-000663,-1.8641714192299998
ACH-000665,-1.64095953086
ACH-000671,-1.44964435782
ACH-000673,-1.4403409601
ACH-000676,-1.6048996355899998
ACH-000677,-1.88695710401
ACH-000681,-1.5488788576899999
ACH-000682,-1.4387162243599998
ACH-000683,-1.0830968528899998
ACH-000684,-1.65855028852
ACH-000688,-1.31217312443
ACH-000693,-1.51832649691
ACH-000694,-1.53916286842
ACH-000695,-1.7321806661400003
ACH-000696,-1.5835117543500001
ACH-000697,-1.6360493657100001
ACH-000699,-1.6329238558899999
ACH-000701,-1.6771353603499999
ACH-000706,-1.61625528949
ACH-000711,-1.6933036485799997
ACH-000713,-0.861385215366
ACH-000714,-1.90442694004
ACH-000718,-1.8984881862099998
ACH-000720,-1.63511049723
ACH-000721,-1.6825071959600002
ACH-000724,-1.91517537963
ACH-000725,-1.18181822705
ACH-000732,-1.48806454945
ACH-000734,-1.7255246612400001
ACH-000735,-1.6631364646899998
ACH-000736,-1.8760423729599998
ACH-000738,-1.89121384092
ACH-000746,-1.61782312071
ACH-000747,-1.3767605509
ACH-000748,-1.5461762661899998
ACH-000753,-1.5421459971399998
ACH-000756,-1.4961107754700003
ACH-000757,-0.9870349709799999
ACH-000758,-1.7179350045100001
ACH-000760,-1.41984651987
ACH-000763,-1.86024525122
ACH-000764,-1.32877642134
ACH-000765,-1.5542236420500002
ACH-000766,-1.7936314811400003
ACH-000767,-1.55320676815
ACH-000768,-1.7390077627400002
ACH-000769,-1.5327267331
ACH-000770,-1.8605404574700002
ACH-000771,-1.6477786167
ACH-000773,-1.63387355364
ACH-000776,-1.78218085153
ACH-000777,-1.50305087315
ACH-000778,-2.6335909770900003
ACH-000781,-1.2563968314899998
ACH-000782,-1.6846946627200001
ACH-000783,-1.8215771779099998
ACH-000784,-1.36185176322
ACH-000785,-1.40616870676
ACH-000787,-1.5173164848700003
ACH-000788,-1.174364721
ACH-000791,-1.58618661141
ACH-000792,-1.5489997534399997
ACH-000794,-1.3402445059399999
ACH-000796,-1.3473340768200002
ACH-000799,-1.71224762635
ACH-000800,-2.13823960921
ACH-000802,-1.77585079431
ACH-000804,-1.7890698223900001
ACH-000805,-1.78683652717
ACH-000809,-1.42790692967
ACH-000810,-1.4722525670700002
ACH-000811,-1.8995706481499999
ACH-000817,-1.53279533731
ACH-000819,-1.51644619823
ACH-000820,-1.4712741477200002
ACH-000821,-2.27403265503
ACH-000822,-2.07840209572
ACH-000823,-1.50942001379
ACH-000824,-1.80573497512
ACH-000827,-1.6084205255500001
ACH-000829,-1.9611293960599998
ACH-000831,-1.63795474997
ACH-000832,-1.4708743384099998
ACH-000833,-1.41533737209
ACH-000834,-1.7668865848700002
ACH-000835,-1.7020263210799997
ACH-000836,-1.7841494412999999
ACH-000837,-1.51901369055
ACH-000838,-1.93608834357
ACH-000839,-1.63922452648
ACH-000840,-1.9191123890900001
ACH-000841,-1.8407589931000001
ACH-000843,-1.6982685179799997
ACH-000846,-1.8508833992400002
ACH-000847,-1.43484504848
ACH-000848,-1.4110793778600002
ACH-000849,-1.75550268402
