,CHI3L2 (1117)
ACH-000004,-0.23065106388700002
ACH-000007,-0.033000809781299996
ACH-000009,-0.0885588975842
ACH-000011,-0.0491056720524
ACH-000012,-0.23761445738899997
ACH-000013,-0.0803100296307
ACH-000014,-0.167443332252
ACH-000015,-0.07247739693300001
ACH-000017,-0.122401324621
ACH-000018,0.173509653988
ACH-000019,-0.00866483904342
ACH-000021,-0.130823943966
ACH-000022,-0.0839660904238
ACH-000025,-0.319763372557
ACH-000028,-0.42562813704400004
ACH-000030,-0.101560313021
ACH-000035,-0.176041785674
ACH-000036,-0.145127246487
ACH-000037,-0.10611052176899999
ACH-000039,0.0373716925245
ACH-000040,-0.153281556539
ACH-000041,-0.0289187535434
ACH-000042,-0.0862270310252
ACH-000045,-0.0974180223099
ACH-000047,-0.020144472165
ACH-000052,-0.37201792441
ACH-000053,-0.018817029134099997
ACH-000054,-0.263570578295
ACH-000055,-0.246409391917
ACH-000060,-0.12298471056299999
ACH-000067,-0.0677351625577
ACH-000070,-0.0222582725189
ACH-000075,-0.0462332779606
ACH-000078,-0.0685979462924
ACH-000082,-0.140940673692
ACH-000085,-0.414618580625
ACH-000086,-0.240098344661
ACH-000087,0.14907127455299998
ACH-000092,-0.40163617775399996
ACH-000095,-0.0467900453282
ACH-000097,-0.150313709228
ACH-000098,-0.188525654225
ACH-000099,-0.113918994483
ACH-000108,0.057750459176900006
ACH-000113,-0.20475149012200003
ACH-000115,-0.06696589164769999
ACH-000116,-0.264963809073
ACH-000118,-0.173914350118
ACH-000120,-0.022930144729599998
ACH-000123,-0.188139338013
ACH-000127,-0.165905324417
ACH-000128,-0.04142255345280001
ACH-000132,-0.23763184296599998
ACH-000133,-0.111469038392
ACH-000137,-0.21346669894200002
ACH-000138,0.0383670678378
ACH-000142,0.029722289555099996
ACH-000143,-0.0563557072076
ACH-000146,-0.050210028068699994
ACH-000148,-0.137350391992
ACH-000150,0.0643909714831
ACH-000152,-0.30588057255
ACH-000153,-0.258348158781
ACH-000159,-0.0946517823232
ACH-000160,-0.130884260601
ACH-000163,-0.0190101673009
ACH-000167,-0.443989515237
ACH-000168,-0.151072055056
ACH-000169,-0.0865031386652
ACH-000178,-0.00976410672109
ACH-000182,-0.248436015427
ACH-000183,-0.201791188144
ACH-000188,-0.264982146454
ACH-000189,-0.11132481832
ACH-000190,-0.43289830029200005
ACH-000198,-0.177908285755
ACH-000204,-0.34541167437799997
ACH-000206,-0.315177300633
ACH-000207,0.00409664210579
ACH-000211,-0.100789046995
ACH-000215,0.07040977790360001
ACH-000221,-0.271955856075
ACH-000222,0.0882510670806
ACH-000223,-0.143278736572
ACH-000226,-0.140643118371
ACH-000227,-0.185392191609
ACH-000228,-0.222242211403
ACH-000231,-0.09105981327469999
ACH-000232,-0.0406763843034
ACH-000233,0.007634316597890001
ACH-000234,-0.0595611760223
ACH-000235,-0.08634347083280002
ACH-000237,-0.0846853139666
ACH-000238,-0.0361935731341
ACH-000243,-0.0931162490836
ACH-000244,0.0800527257483
ACH-000246,-0.07544632922569999
ACH-000248,-0.220419815602
ACH-000250,-0.20476158903499997
ACH-000251,-0.327816123235
ACH-000253,-0.023226780877200003
ACH-000255,-0.228411514454
ACH-000256,-0.301986959661
ACH-000257,0.0370528649403
ACH-000258,-0.0576917487026
ACH-000259,-0.026112553955700002
ACH-000260,0.00413036667189
ACH-000261,-0.147933851409
ACH-000262,0.209273164269
ACH-000263,-0.15780078744200002
ACH-000264,-0.122367505286
ACH-000265,-0.225554294313
ACH-000266,-0.0831319564591
ACH-000272,-0.306495661639
ACH-000273,-0.0206988991332
ACH-000274,-0.135409484149
ACH-000277,-0.167690044108
ACH-000278,-0.268512943542
ACH-000279,0.0299004974703
ACH-000280,-0.166662988903
ACH-000281,-0.09164660787550001
ACH-000288,-0.130487765751
ACH-000291,-0.147373855397
ACH-000293,0.061667997712599995
ACH-000294,-0.228369268097
ACH-000295,-0.031546053251900005
ACH-000296,-0.208435882607
ACH-000302,-0.172230552503
ACH-000304,-0.0691659506935
ACH-000307,-0.000458367148992
ACH-000308,-0.05559463253909999
ACH-000310,0.0366053319049
ACH-000311,-0.30155191066799997
ACH-000312,-0.261230642117
ACH-000315,-0.0910061608836
ACH-000316,0.126905409166
ACH-000317,-0.164326592547
ACH-000318,-0.209460035137
ACH-000319,0.0474812327185
ACH-000320,-0.054461470319
ACH-000322,-0.176523322937
ACH-000323,-0.07033369982649999
ACH-000324,-0.206660219437
ACH-000329,-0.0914621907514
ACH-000330,-0.195390283783
ACH-000331,-0.129522952284
ACH-000332,-0.0894267306391
ACH-000334,-0.215676107459
ACH-000335,0.08576707924589999
ACH-000336,0.17402930202199998
ACH-000337,-0.127606397676
ACH-000339,-0.0762981421812
ACH-000341,-0.159433919519
ACH-000348,-0.0851829845214
ACH-000350,0.15885670819599998
ACH-000352,-0.18873136751699998
ACH-000356,-0.148376591203
ACH-000361,-0.16587312351
ACH-000362,-0.168829649628
ACH-000363,-0.117520927098
ACH-000364,0.0312154815631
ACH-000365,-0.07486464434880001
ACH-000366,0.0618551308851
ACH-000368,-0.237654766451
ACH-000374,-0.172218392829
ACH-000375,-0.130765161053
ACH-000376,-0.205585392163
ACH-000381,-0.20711682022999997
ACH-000383,-0.241995197249
ACH-000387,-0.165102424184
ACH-000389,-0.031162901622900002
ACH-000390,-0.0836245365669
ACH-000393,-0.21300784381700003
ACH-000395,-0.357598385787
ACH-000397,-0.24374908279399998
ACH-000401,-0.261209985855
ACH-000402,0.0387947302698
ACH-000403,-0.049371720917400004
ACH-000404,0.196479699759
ACH-000406,-0.12614226499000003
ACH-000407,-0.08055061176910001
ACH-000408,0.006698960966499999
ACH-000410,-0.120956861806
ACH-000411,-0.05318922705490001
ACH-000414,-0.25028153478
ACH-000415,-0.27506289965799996
ACH-000416,-0.131038833787
ACH-000420,-0.00413765982492
ACH-000421,-0.09641716202610001
ACH-000424,-0.17058997851
ACH-000425,-0.21673395099800002
ACH-000426,-0.037460237066000004
ACH-000427,-0.20658900352899998
ACH-000433,-0.0588532033842
ACH-000436,-0.263647872541
ACH-000444,-0.130355832047
ACH-000445,-0.246375859552
ACH-000448,-0.0185766071944
ACH-000450,-0.45554472632
ACH-000452,-0.0837363301731
ACH-000454,-0.155335837941
ACH-000458,-0.09701782918739998
ACH-000459,-0.6844936805830001
ACH-000460,-0.039023674017
ACH-000461,-0.272493406008
ACH-000463,-0.0681346654528
ACH-000464,-0.36397762143299994
ACH-000466,-0.265482687976
ACH-000467,-0.10667347967900001
ACH-000468,-0.0809309140069
ACH-000469,-0.060206585387199994
ACH-000470,-0.15952607999
ACH-000471,-0.158189310862
ACH-000472,-0.06679863377169999
ACH-000473,0.094200185272
ACH-000475,-0.187354695143
ACH-000476,-0.154588698471
ACH-000477,-0.245095399761
ACH-000480,-0.222827758399
ACH-000481,-0.0193980053334
ACH-000483,-0.119649950637
ACH-000484,0.025140933865200003
ACH-000485,-0.120704907905
ACH-000486,-0.16305338466
ACH-000487,-0.24682906130399998
ACH-000488,-0.0428801871593
ACH-000490,-0.07827996509560001
ACH-000491,-0.131020264936
ACH-000495,0.10097218230499999
ACH-000496,-0.29426108511599997
ACH-000499,0.108198096883
ACH-000500,-0.165504729688
ACH-000502,-0.0615095661417
ACH-000503,-0.105579307432
ACH-000505,-0.0482931494939
ACH-000507,-0.10611517741599999
ACH-000510,-0.13685108691
ACH-000511,-0.0625950308227
ACH-000512,-0.401883174449
ACH-000516,-0.22505150269299998
ACH-000517,-0.056403034220599994
ACH-000518,-0.0642292576543
ACH-000520,-0.0918391039869
ACH-000521,0.0040589889056100005
ACH-000522,-0.240853817855
ACH-000524,-0.0460304193712
ACH-000527,-0.10955651388599999
ACH-000528,-0.100157288138
ACH-000537,-0.128860666112
ACH-000541,-0.446866321959
ACH-000542,-0.0776406869039
ACH-000544,-0.22955781901099997
ACH-000545,-0.06529992693469999
ACH-000547,-0.0099408904803
ACH-000548,-0.17050824254900002
ACH-000549,0.00359004773596
ACH-000550,0.190716306725
ACH-000552,-0.10367816396
ACH-000556,-0.168482319186
ACH-000557,-0.0414332994927
ACH-000570,0.14080476964299998
ACH-000571,-0.191818475914
ACH-000573,-0.11244156072999999
ACH-000576,-0.0507426887483
ACH-000580,-0.287388236267
ACH-000584,-0.185244696682
ACH-000585,-0.0768198166683
ACH-000588,-0.199364590664
ACH-000589,-0.0838834247559
ACH-000591,-0.041919342424699996
ACH-000593,-0.11376968513800001
ACH-000600,0.147613046862
ACH-000601,-0.10638392364600001
