,HRAS (3265)
ACH-000004,-0.0268960795548
ACH-000007,-0.500235878652
ACH-000009,-0.256702912585
ACH-000011,-0.153094749024
ACH-000012,-0.362214159818
ACH-000013,-0.231990030805
ACH-000014,-0.142385016286
ACH-000015,-0.20646377231899998
ACH-000017,-0.497813789367
ACH-000018,-1.3396278927
ACH-000019,-0.287703363381
ACH-000021,-0.18916953450100002
ACH-000022,-0.441635991243
ACH-000025,-0.35201926863300004
ACH-000028,-0.36940004916100005
ACH-000030,-0.376167829925
ACH-000035,-0.416632598445
ACH-000036,-0.695702889907
ACH-000037,-0.519664272769
ACH-000039,-0.0767003276635
ACH-000040,-0.396842374362
ACH-000041,-0.44338719815899996
ACH-000042,-0.11224941547700001
ACH-000045,-0.104888359191
ACH-000047,-0.544705357176
ACH-000052,-0.451371782472
ACH-000053,-0.22227731719799998
ACH-000054,-0.43793012939099996
ACH-000055,-0.15208705535
ACH-000060,-0.216551494963
ACH-000067,-0.432147705682
ACH-000070,-0.399636008202
ACH-000075,-0.349515025121
ACH-000078,-0.28064281618000003
ACH-000082,-0.218341676622
ACH-000085,-0.572044567031
ACH-000086,-0.37106575227300004
ACH-000087,-0.21342064467
ACH-000092,-0.25790175774999996
ACH-000095,-0.352607004279
ACH-000097,-0.26587199765700004
ACH-000098,-0.297400819676
ACH-000099,-0.242630823973
ACH-000108,-0.291481796754
ACH-000113,-0.31758068683699997
ACH-000115,-0.24817303204500002
ACH-000116,-0.34168124024700003
ACH-000118,-0.348341916316
ACH-000120,-0.270019391612
ACH-000123,-0.290363745798
ACH-000127,-1.4374916172999999
ACH-000128,-0.058225526593199996
ACH-000132,-0.318512727718
ACH-000133,-0.31133143684500003
ACH-000137,0.0654240287249
ACH-000138,-0.237734432334
ACH-000142,-0.47757200849299997
ACH-000143,-0.447195200758
ACH-000146,-0.198013878358
ACH-000148,-0.846260217171
ACH-000150,-0.41902511219899996
ACH-000152,-0.25383167936
ACH-000153,-0.228802660982
ACH-000159,-0.464948484217
ACH-000160,-0.24392391133699998
ACH-000163,-0.00794979517351
ACH-000167,-0.39637573400700005
ACH-000168,-0.455413389497
ACH-000169,-0.312890166899
ACH-000178,-0.441237639538
ACH-000182,-0.226894420584
ACH-000183,-0.21349465859000002
ACH-000188,-0.439900029352
ACH-000189,-0.120593743277
ACH-000190,-0.363926170465
ACH-000198,-0.269906547233
ACH-000204,-0.125317415658
ACH-000206,-0.109804345055
ACH-000207,-0.513704976722
ACH-000211,-0.297546582907
ACH-000215,-0.324556528799
ACH-000221,-0.102339995162
ACH-000222,-0.356639575343
ACH-000223,-0.270865301995
ACH-000226,-0.10436144701
ACH-000227,-0.5835836823170001
ACH-000228,-0.08853915798699999
ACH-000231,-0.41303053560599995
ACH-000232,-0.258070255749
ACH-000233,-0.37160577034000003
ACH-000234,-0.646841798583
ACH-000235,-0.184825962674
ACH-000237,-0.35035167883900004
ACH-000238,-0.43603128268200003
ACH-000243,-0.22304684579300002
ACH-000244,-0.3779661521
ACH-000246,-0.505793924377
ACH-000248,-0.28543255862100003
ACH-000250,-0.333817899766
ACH-000251,-0.234744842726
ACH-000253,-0.6347164681899999
ACH-000255,-0.375704142253
ACH-000256,-0.39859149370999997
ACH-000257,-0.743038870173
ACH-000258,-0.0941168890329
ACH-000259,-0.195572321862
ACH-000260,-0.36895296
ACH-000261,-0.398239311171
ACH-000262,-0.06952414653639999
ACH-000263,-0.175229590706
ACH-000264,-0.263254572814
ACH-000265,-0.148373549873
ACH-000266,-0.261278364404
ACH-000272,-0.266040775682
ACH-000273,-0.421395544819
ACH-000274,-0.351974137837
ACH-000277,-0.551888011687
ACH-000278,-0.39690114588500003
ACH-000279,-0.28526120055599996
ACH-000280,-0.327900799423
ACH-000281,-0.293442464192
ACH-000288,-0.374546131914
ACH-000291,-0.172352944066
ACH-000293,-0.207039009729
ACH-000294,-0.164613952762
ACH-000295,-0.518807051068
ACH-000296,-0.17986455903499998
ACH-000302,-0.285097107976
ACH-000304,-0.473470665729
ACH-000307,-0.227658545105
ACH-000308,-0.357988682386
ACH-000310,-0.331610798504
ACH-000311,-0.40966604912199994
ACH-000312,-0.0892484030332
ACH-000315,-0.268649069545
ACH-000316,-0.38767081766999995
ACH-000317,-0.29251433478
ACH-000318,-0.132297905395
ACH-000319,-0.49542705151
ACH-000320,-0.197732930267
ACH-000322,-0.19204161590100002
ACH-000323,-0.299289446136
ACH-000324,-0.330167525305
ACH-000329,-0.501012155425
ACH-000330,-0.223098242704
ACH-000331,-0.20383170309300003
ACH-000332,-0.326213858455
ACH-000334,-0.128341778519
ACH-000335,-0.19249685752300003
ACH-000336,-0.234385731485
ACH-000337,-0.41881401482299996
ACH-000339,-0.34733936423
ACH-000341,-0.0904312952916
ACH-000348,-0.22679182481600002
ACH-000350,-0.2191393811
ACH-000352,-0.311281041296
ACH-000356,-0.45741739767800005
ACH-000361,-0.294224034451
ACH-000362,-0.11641291630100001
ACH-000363,-0.298249449535
ACH-000364,-0.17315412259399998
ACH-000365,-0.220517005339
ACH-000366,-0.42387405873800005
ACH-000368,-0.10339843577400001
ACH-000374,-0.206885293539
ACH-000375,-0.51910112137
