,SMC2 (10592)
ACH-000004,-1.47226994215
ACH-000007,-1.3249883011299999
ACH-000009,-1.4178903247699999
ACH-000011,-1.33956452068
ACH-000012,-1.65290653497
ACH-000013,-1.6083927351299998
ACH-000014,-1.7072483254799997
ACH-000015,-1.5885499096
ACH-000017,-1.43604080799
ACH-000018,-1.41626344507
ACH-000019,-1.26391570611
ACH-000021,-1.5432846434799998
ACH-000022,-1.35741413706
ACH-000025,-1.2423053314
ACH-000028,-1.52488627565
ACH-000030,-1.4107495341799998
ACH-000035,-1.50230869307
ACH-000036,-1.3448973681999998
ACH-000037,-2.2414766826
ACH-000039,-1.57921713801
ACH-000040,-1.5739481878100001
ACH-000041,-1.50990781153
ACH-000042,-1.7495653385799999
ACH-000045,-1.53146058284
ACH-000047,-1.6071316612600002
ACH-000052,-1.33617698272
ACH-000053,-1.41954861787
ACH-000054,-1.5855146572
ACH-000055,-1.6247994775999999
ACH-000060,-1.250620817
ACH-000067,-1.4727848178299998
ACH-000070,-1.3380459877700002
ACH-000075,-1.39714967037
ACH-000078,-1.83901652632
ACH-000082,-1.4661512209
ACH-000085,-1.4124051085299998
ACH-000086,-1.44377114329
ACH-000087,-1.28501792927
ACH-000092,-1.6769036438
ACH-000095,-1.8378115459400002
ACH-000097,-1.5736685508500001
ACH-000098,-1.49493579783
ACH-000099,-1.63967695908
ACH-000108,-1.6261458253799999
ACH-000113,-1.71557675572
ACH-000115,-2.0900378473
ACH-000116,-1.10594957349
ACH-000118,-1.31799589539
ACH-000120,-1.30931696514
ACH-000123,-1.5673907844600001
ACH-000127,-1.51937668589
ACH-000128,-1.29542744963
ACH-000132,-1.57974013376
ACH-000133,-1.5259546332499998
ACH-000137,-1.3640229208399999
ACH-000138,-1.6347467821500001
ACH-000142,-1.17316835175
ACH-000143,-1.65401919196
ACH-000146,-1.8431020893099999
ACH-000148,-1.7311018406999998
ACH-000150,-1.5574866691299998
ACH-000152,-1.51838671971
ACH-000153,-1.34206476778
ACH-000159,-1.71290416278
ACH-000160,-1.03544408652
ACH-000163,-1.41453111564
ACH-000167,-1.23803092411
ACH-000168,-1.5811833367299999
ACH-000169,-1.2196995045399999
ACH-000178,-1.3440971868399998
ACH-000182,-1.7526909155000001
ACH-000183,-1.63744174632
ACH-000188,-1.15254683021
ACH-000189,-1.15413669214
ACH-000190,-1.1223946472600002
ACH-000198,-1.6710495878
ACH-000204,-1.6933675872
ACH-000206,-1.6103013720800001
ACH-000207,-1.5808967468200001
ACH-000211,-1.36179412415
ACH-000215,-1.46150173815
ACH-000221,-1.5829013232499998
ACH-000222,-1.60908889349
ACH-000223,-1.2935384657
ACH-000226,-1.39936571764
ACH-000227,-2.3005619833099997
ACH-000228,-1.36721559936
ACH-000231,-1.51976638913
ACH-000232,-1.4847632231799999
ACH-000233,-1.8016259015599998
ACH-000234,-1.9556432744699999
ACH-000235,-1.40294773439
ACH-000237,-1.47909683474
ACH-000238,-1.30337247751
ACH-000243,-1.34684714201
ACH-000244,-1.4452563729199999
ACH-000246,-1.65552201995
ACH-000248,-1.43579212635
ACH-000250,-1.36300392661
ACH-000251,-1.5481246588
ACH-000253,-1.72392516667
ACH-000255,-1.33084392162
ACH-000256,-1.47104729192
ACH-000257,-1.80322386066
ACH-000258,-1.98549562305
ACH-000259,-1.77375151274
ACH-000260,-1.46759813477
ACH-000261,-1.5782315916999998
ACH-000262,-1.3317658283299998
ACH-000263,-2.07002865226
ACH-000264,-1.33039523624
ACH-000265,-1.54809981951
ACH-000266,-1.8033458030400003
ACH-000272,-1.5857307622299999
ACH-000273,-1.720050478
ACH-000274,-1.80934260105
ACH-000277,-1.1799321358900001
ACH-000278,-1.32352886982
ACH-000279,-1.50413870778
ACH-000280,-1.60156532963
ACH-000281,-1.42622897065
ACH-000288,-1.39569815222
ACH-000291,-1.46412928637
ACH-000293,-1.7572626110799998
ACH-000294,-1.9588909486500001
ACH-000295,-1.5830681701700002
ACH-000296,-1.35741784712
ACH-000302,-1.5470805083399999
ACH-000304,-1.5851709070200002
ACH-000307,-1.23380938611
ACH-000308,-1.67357828371
ACH-000310,-2.05671034948
ACH-000311,-1.4663858709200002
ACH-000312,-1.50222885527
ACH-000315,-1.56180573908
ACH-000316,-1.48701276025
ACH-000317,-1.5311969327300001
ACH-000318,-1.2896187048799999
ACH-000319,-1.30777927671
ACH-000320,-1.9013641168400002
ACH-000322,-1.3679073819299998
ACH-000323,-1.7389780214700001
ACH-000324,-1.6666875246700001
ACH-000329,-1.9381147991
ACH-000330,-1.3551370628
ACH-000331,-1.31329605819
ACH-000332,-1.5351329123500002
ACH-000334,-1.3942224815600002
ACH-000335,-1.25040395456
ACH-000336,-1.82371983366
ACH-000337,-1.5609438252799999
ACH-000339,-1.65463703631
ACH-000341,-1.33624033661
ACH-000348,-1.4171704645200003
ACH-000350,-1.51058691564
ACH-000352,-1.23657792329
ACH-000356,-1.4747339470200003
