,TUBB (203068)
ACH-000004,-2.0688750012400003
ACH-000007,-0.834907347175
ACH-000009,-1.5344880133599998
ACH-000011,-1.58201304921
ACH-000012,-1.5790723714500001
ACH-000013,-0.857320360608
ACH-000014,-1.9547374943
ACH-000015,-1.85745213122
ACH-000017,-1.82321653558
ACH-000018,-1.3289023552099999
ACH-000019,-1.1447561277200002
ACH-000021,-1.65008808615
ACH-000022,-1.71887013741
ACH-000025,-1.6647457729799997
ACH-000028,-1.74390477845
ACH-000030,-1.77735750749
ACH-000035,-1.68814422949
ACH-000036,-1.696225371
ACH-000037,-2.43761477375
ACH-000039,-1.9944028860699998
ACH-000040,-1.7874357473500002
ACH-000041,-1.86185551069
ACH-000042,-1.33230303959
ACH-000045,-1.62727116387
ACH-000047,-1.8372852745400003
ACH-000052,-1.61742592385
ACH-000053,-1.54689418693
ACH-000054,-1.7069143489200003
ACH-000055,-1.5643617872
ACH-000060,-1.57443472618
ACH-000067,-1.73883193182
ACH-000070,-1.76074572104
ACH-000075,-1.52757823512
ACH-000078,-1.81174001102
ACH-000082,-1.6645938633500001
ACH-000085,-1.67579519159
ACH-000086,-1.53618793114
ACH-000087,-1.65204467375
ACH-000092,-1.60370821595
ACH-000095,-1.81898455744
ACH-000097,-1.2713288616
ACH-000098,-1.53420385481
ACH-000099,-1.4645325709600001
ACH-000108,-1.6960317562799998
ACH-000113,-1.66413206949
ACH-000115,-1.36498752197
ACH-000116,-1.53202295065
ACH-000118,-1.2357236011200001
ACH-000120,-1.37531709998
ACH-000123,-1.6645791300900001
ACH-000127,-1.61454406039
ACH-000128,-1.42551900868
ACH-000132,-1.5532975588299998
ACH-000133,-1.7837206819099998
ACH-000137,-1.8219470174799999
ACH-000138,-1.6761435667500002
ACH-000142,-1.72917894313
ACH-000143,-1.3497613712799998
ACH-000146,-1.55730362773
ACH-000148,-1.69620512143
ACH-000150,-1.7013497736399998
ACH-000152,-1.5752574646200002
ACH-000153,-1.16200528378
ACH-000159,-1.81284453215
ACH-000160,-1.7974396193400002
ACH-000163,-1.8182667656599998
ACH-000167,-2.1244547407799996
ACH-000168,-1.7753467341999998
ACH-000169,-1.6252395372400001
ACH-000178,-1.44239836037
ACH-000182,-1.1947312919
ACH-000183,-1.47888936175
ACH-000188,-1.7359821395099997
ACH-000189,-1.5106069888799998
ACH-000190,-1.4923791229899999
ACH-000198,-1.71019352125
ACH-000204,-1.9179837665400001
ACH-000206,-1.47546430934
ACH-000207,-2.2314236905900002
ACH-000211,-1.65833532007
ACH-000215,-1.82152982785
ACH-000221,-1.6638692339200003
ACH-000222,-1.5898414732799997
ACH-000223,-1.57601933324
ACH-000226,-1.4262947405500002
ACH-000227,-1.37412280547
ACH-000228,-1.93126684657
ACH-000231,-1.3141536390700002
ACH-000232,-1.7145161671
ACH-000233,-1.7252244167700002
ACH-000234,-2.15741131397
ACH-000235,-1.50898313785
ACH-000237,-1.82486173414
ACH-000238,-1.9233093838799997
ACH-000243,-1.4237698319799998
ACH-000244,-1.34675839463
ACH-000246,-1.5832656354199999
ACH-000248,-1.56379841106
ACH-000250,-1.72650858265
ACH-000251,-1.23899713725
ACH-000253,-0.930198962225
ACH-000255,-1.51812459214
ACH-000256,-1.8045305720700002
ACH-000257,-1.80757462216
ACH-000258,-0.583894182198
ACH-000259,-1.7497184466900002
ACH-000260,-1.5762680754799998
ACH-000261,-1.55994968038
ACH-000262,-1.86293849727
ACH-000263,-1.7514270985499998
ACH-000264,-1.50366426989
ACH-000265,-1.61525815748
ACH-000266,-1.66705084901
ACH-000272,-1.44671532655
ACH-000273,-1.74725359265
ACH-000274,-1.14748174997
ACH-000277,-1.10238364749
ACH-000278,-1.29241587301
ACH-000279,-2.04268950399
ACH-000280,-2.04869923614
ACH-000281,-1.8135864676900002
ACH-000288,-1.8849747758200002
ACH-000291,-1.22302005301
ACH-000293,-1.89840743874
ACH-000294,-1.9439114460299998
ACH-000295,-1.76113412464
ACH-000296,-1.7838654917299999
ACH-000302,-1.56572832181
ACH-000304,-1.32399655147
ACH-000307,-1.6152514912600002
ACH-000308,-1.32116265485
ACH-000310,-1.56103487123
ACH-000311,-1.59528840414
ACH-000312,-1.5207399198500002
ACH-000315,-1.21610276551
ACH-000316,-1.94857205182
ACH-000317,-1.51959248744
ACH-000318,-1.5904006178299999
ACH-000319,-1.544091708
