,MPPED1 (758)
ACH-000004,-0.015040745251499999
ACH-000007,-0.149548339618
ACH-000009,-0.238219444747
ACH-000011,-0.25534796575999996
ACH-000012,-0.187046509061
ACH-000013,-0.18344198406800002
ACH-000014,-0.0342964092224
ACH-000015,-0.10057776979699999
ACH-000017,-0.163139641817
ACH-000018,-0.0246977881825
ACH-000019,-0.45367033993600003
ACH-000021,-0.07305269479280001
ACH-000022,0.00110405182877
ACH-000025,-0.19999238716899997
ACH-000028,-0.009595073815950001
ACH-000030,-0.242494303516
ACH-000035,-0.016591756955799997
ACH-000036,-0.07698658301469999
ACH-000037,-0.14175576867
ACH-000039,-0.305126366356
ACH-000040,-0.125946072518
ACH-000041,-0.31797534699
ACH-000042,-0.328566626501
ACH-000045,-0.219062812914
ACH-000047,0.0612748090215
ACH-000052,-0.0581687657654
ACH-000053,-0.0979897111362
ACH-000054,-0.162517875424
ACH-000055,-0.163465498407
ACH-000060,-0.335576925277
ACH-000067,-0.118108347279
ACH-000070,-0.185063892809
ACH-000075,-0.258771681413
ACH-000078,-0.267384757268
ACH-000082,-0.103821678067
ACH-000085,-0.335282917328
ACH-000086,0.062905103734
ACH-000087,-0.5343978408560001
ACH-000092,-0.102805722202
ACH-000095,-0.09113525101919999
ACH-000097,-0.19695863982099998
ACH-000098,-0.177479622662
ACH-000099,-0.326344613476
ACH-000108,-0.091784966222
ACH-000113,-0.109933908255
ACH-000115,-0.296113150967
ACH-000116,-0.158758678407
ACH-000118,-0.182925704652
ACH-000120,-0.0941034968073
ACH-000123,-0.22299339391399997
ACH-000127,-0.159567669335
ACH-000128,-0.297535146574
ACH-000132,-0.0906984158421
ACH-000133,-0.148795606345
ACH-000137,-0.44814207498
ACH-000138,0.0604703400447
ACH-000142,-0.0759652898321
ACH-000143,-0.21839030493
ACH-000146,-0.25876362609700004
ACH-000148,-0.0937958721926
ACH-000150,0.0760116491672
ACH-000152,-0.248886386319
ACH-000153,0.04094440250669999
ACH-000159,0.019665509287099998
ACH-000160,-0.0140614618404
ACH-000163,-0.0676407919361
ACH-000167,-0.391551983649
ACH-000168,-0.36977925244099996
ACH-000169,-0.177103324759
ACH-000178,-0.197936955444
ACH-000182,-0.17538136185400002
ACH-000183,-0.283541680678
ACH-000188,0.0241058894979
ACH-000189,0.151442655395
ACH-000190,-0.07760140524680001
ACH-000198,-0.33606322344800005
ACH-000204,-0.369084699589
ACH-000206,-0.391888240149
ACH-000207,-0.0332364523103
ACH-000211,-0.153610302324
ACH-000215,-0.181118659766
ACH-000221,-0.166892277177
ACH-000222,-0.06445548652540001
ACH-000223,-0.16906019403900002
ACH-000226,0.0307591079272
ACH-000227,-0.432879105099
ACH-000228,-0.313486480625
ACH-000231,-0.24219256755600002
ACH-000232,-0.230860821822
ACH-000233,-0.290014491523
ACH-000234,-0.105113022677
ACH-000235,-0.0706096554457
ACH-000237,-0.38372727611699997
ACH-000238,-0.147349008567
ACH-000243,-0.12314971435699999
ACH-000244,-0.476178115098
ACH-000246,-0.164767942157
ACH-000248,-0.0337366232228
ACH-000250,-0.236380586548
ACH-000251,0.09973400270739999
ACH-000253,-0.139974504595
ACH-000255,-0.123573078137
ACH-000256,-0.275215866608
ACH-000257,-0.320194700297
ACH-000258,-0.393836958634
ACH-000259,-0.177738838111
ACH-000260,-0.201829830639
ACH-000261,-0.208965644687
ACH-000262,-0.035176310646099995
ACH-000263,0.131068861014
ACH-000264,-0.166758959642
ACH-000265,-0.198091026908
ACH-000266,-0.158548406002
ACH-000272,-0.0837792966043
ACH-000273,-0.278922166725
ACH-000274,-0.605478483114
ACH-000277,-0.029742114429599998
ACH-000278,-0.36504511897200004
ACH-000279,-0.14498842248500002
ACH-000280,-0.07818631330419999
ACH-000281,-0.132457439103
ACH-000288,0.00075510993348
ACH-000291,-0.15691435775999998
ACH-000293,0.144906112818
ACH-000294,-0.143767760191
ACH-000295,-0.134376721394
ACH-000296,-0.206333137837
ACH-000302,-0.103981974003
ACH-000304,-0.474324249133
ACH-000307,-0.149114286818
ACH-000308,-0.172785181549
ACH-000310,-0.583429570184
ACH-000311,-0.00840276496796
ACH-000312,-0.213390836882
ACH-000315,-0.253451987813
ACH-000316,-0.14843430251700002
ACH-000317,-0.12506001358
ACH-000318,-0.215603228156
ACH-000319,0.07656490387960001
ACH-000320,-0.27062894308200003
ACH-000322,-0.58405241269
ACH-000323,-0.182666091959
ACH-000324,-0.244731905838
ACH-000329,-0.12794067125800002
ACH-000330,-0.24004371290399998
ACH-000331,-0.224391972383
ACH-000332,-0.164651272117
ACH-000334,0.0057821075930999995
ACH-000335,-0.186344901153
ACH-000336,-0.028834254450400002
ACH-000337,0.014669607199
ACH-000339,-0.268978263025
ACH-000341,-0.535001357752
ACH-000348,-0.163551622938
ACH-000350,-0.303130058156
ACH-000352,-0.112091930021
ACH-000356,-0.108330270158
ACH-000361,-0.16125124559499998
ACH-000362,-0.147230449056
ACH-000363,-0.280055782541
ACH-000364,-0.107985950195
ACH-000365,-0.139769008513
ACH-000366,-0.224600904846
ACH-000368,-0.220167018603
ACH-000374,-0.157949690517
ACH-000375,-0.138199837397
ACH-000376,-0.13072465115
ACH-000381,-0.127494573325
ACH-000383,-0.154830228923
ACH-000387,-0.14087563749399998
ACH-000389,-0.348120920261
ACH-000390,-0.216661698713
ACH-000393,-0.0817515214263
ACH-000395,0.0365007170169
ACH-000397,0.00499989505026
ACH-000401,-0.195673802548
ACH-000402,0.11553038054000002
ACH-000403,-0.09777738456150001
ACH-000404,-0.128388277447
ACH-000406,-0.0597121273618
ACH-000407,-0.108482243765
