,C4A (720)
ACH-000004,-0.447601581889
ACH-000007,-0.38006209248899997
ACH-000009,-0.290445281281
ACH-000011,-0.13841452453400002
ACH-000012,-0.42829624138800004
ACH-000013,-0.34004085707099996
ACH-000014,-0.471121296514
ACH-000015,-0.331341706501
ACH-000017,-0.208104764366
ACH-000018,-0.32826902884500003
ACH-000019,-0.43856886094400005
ACH-000021,-0.303050919425
ACH-000022,-0.21410867776700002
ACH-000025,-0.275568355658
ACH-000028,-0.416288422697
ACH-000030,-0.303123100949
ACH-000035,-0.23561592599800002
ACH-000036,-0.174324667851
ACH-000037,-0.161206566118
ACH-000039,-0.377214082548
ACH-000040,-0.460642151545
ACH-000041,-0.25503001306
ACH-000042,-0.313700299814
ACH-000045,-0.361639604096
ACH-000047,-0.424553138482
ACH-000052,-0.496396234854
ACH-000053,-0.36541839575199997
ACH-000054,-0.359981704696
ACH-000055,-0.42178531655699997
ACH-000060,-0.31807550765799997
ACH-000067,-0.32540970113400003
ACH-000070,-0.358351899699
ACH-000075,-0.44561570995800004
ACH-000078,-0.434191935659
ACH-000082,-0.271821381842
ACH-000085,-0.47807241246699994
ACH-000086,-0.214991462355
ACH-000087,-0.278985628727
ACH-000092,-0.276498949491
ACH-000095,-0.249815527499
ACH-000097,-0.246035728137
ACH-000098,-0.279011832367
ACH-000099,-0.33800351049800004
ACH-000108,-0.258649206023
ACH-000113,-0.378246608293
ACH-000115,-0.215079239308
ACH-000116,-0.270644800648
ACH-000118,-0.30900965123
ACH-000120,-0.311732530818
ACH-000123,-0.386195996702
ACH-000127,-0.548397347021
ACH-000128,-0.295799883243
ACH-000132,-0.304449199872
ACH-000133,-0.463162648059
ACH-000137,-0.313047606677
ACH-000138,-0.308149094252
ACH-000142,-0.41510588167199997
ACH-000143,-0.26531283373799996
ACH-000146,-0.39429714988799996
ACH-000148,-0.0837883725875
ACH-000150,-0.231097477267
ACH-000152,-0.298361338214
ACH-000153,-0.498337114337
ACH-000159,-0.30224795364999996
ACH-000160,-0.518579958999
ACH-000163,-0.301316557717
ACH-000167,-0.495138348546
ACH-000168,-0.287152800108
ACH-000169,-0.32605985743500004
ACH-000178,-0.277033659253
ACH-000182,-0.333275709511
