,SSSCA1 (10534)
ACH-000004,-0.30704873635
ACH-000007,-0.06770010089369999
ACH-000009,-0.313607235471
ACH-000011,-0.119380343281
ACH-000012,-0.44003877104500005
ACH-000013,-0.29854943114
ACH-000014,-0.237749854198
ACH-000015,-0.17031373423300003
ACH-000017,-0.322368028187
ACH-000018,-0.27966963276900003
ACH-000019,-0.194618799402
ACH-000021,-0.289190093086
ACH-000022,-0.288205907747
ACH-000025,-0.317550569366
ACH-000028,-0.18785991282900003
ACH-000030,-0.33822135993600005
ACH-000035,-0.368992662168
ACH-000036,-0.803090701494
ACH-000037,-0.243174577016
ACH-000039,-0.30233772777199996
ACH-000040,-0.38483367044600003
ACH-000041,0.0328489171788
ACH-000042,-0.308117173927
ACH-000045,-0.257533332848
ACH-000047,-0.142252091112
ACH-000052,-0.17766935108399998
ACH-000053,-0.268060269932
ACH-000054,-0.133913256386
ACH-000055,-0.200238304066
ACH-000060,-0.311769196751
ACH-000067,-0.27488408054900004
ACH-000070,-0.38316061941600005
ACH-000075,-0.884235873987
ACH-000078,-0.137671782198
ACH-000082,-0.24970996323699998
ACH-000085,-0.326006823029
ACH-000086,-0.5164344496459999
ACH-000087,-0.18365338174100002
ACH-000092,-0.260433924893
ACH-000095,-0.28110851168400003
ACH-000097,-0.058301658656199996
ACH-000098,-0.306043978595
ACH-000099,-0.207418208097
ACH-000108,-0.332631496171
ACH-000113,-0.346718738323
ACH-000115,-0.5884028817170001
ACH-000116,-0.262979004771
ACH-000118,-0.49320737671400006
ACH-000120,-0.40718574035099997
ACH-000123,-0.272144728913
ACH-000127,-0.237428895048
ACH-000128,-0.487973393074
ACH-000132,-0.343591684509
ACH-000133,-0.323767083853
ACH-000137,-0.499255861989
ACH-000138,-0.38129967472599996
ACH-000142,-0.39332035392700004
ACH-000143,-0.43998576388099997
ACH-000146,-0.24944811628199998
ACH-000148,-0.350542170434
ACH-000150,-0.48574761887199996
ACH-000152,-0.249070859583
