,FRMPD1 (22844)
ACH-000004,-0.239997886338
ACH-000007,-0.06724994832690001
ACH-000009,-0.288627089385
ACH-000011,-0.107545261491
ACH-000012,0.0326495796308
ACH-000013,-0.0938527346093
ACH-000014,-0.111548153804
ACH-000015,-0.24827719494699999
ACH-000017,-0.17564642455200002
ACH-000018,-0.267615747881
ACH-000019,0.30853523866099997
ACH-000021,-0.336285933341
ACH-000022,-0.18837779694
ACH-000025,-0.120271930778
ACH-000028,-0.11559377665500001
ACH-000030,-0.148721422912
ACH-000035,-0.04259809162309999
ACH-000036,-0.0554069238523
ACH-000037,0.10437173999800001
ACH-000039,-0.00231829494744
ACH-000040,-0.160132622856
ACH-000041,-0.150348893953
ACH-000042,-0.16940821405900003
ACH-000045,0.00941218694594
ACH-000047,0.0603243827359
ACH-000052,-0.218871414538
ACH-000053,-0.11260441756799999
ACH-000054,-0.0515618612294
ACH-000055,-0.26774490274
ACH-000060,0.0482804225741
ACH-000067,-0.062367670875500006
ACH-000070,-0.105622743982
ACH-000075,-0.000372863371188
ACH-000078,-0.175011525671
ACH-000082,-0.257388393383
ACH-000085,-0.10642586337400001
ACH-000086,-0.0929173475254
ACH-000087,-0.09629183679719999
ACH-000092,-0.29618268272799997
ACH-000095,-0.009490435311700001
ACH-000097,-0.07106036605539999
ACH-000098,-0.128527871261
ACH-000099,-0.00184104068374
ACH-000108,-0.0857450733023
ACH-000113,-0.0475138154241
ACH-000115,0.09723065506510001
ACH-000116,-0.00709517181965
ACH-000118,-0.172931093304
ACH-000120,-0.0229118722931
ACH-000123,-0.05348007401819999
ACH-000127,-0.08132094111
ACH-000128,-0.10086864252399999
ACH-000132,-0.165242960306
ACH-000133,-0.00240510577888
ACH-000137,-0.18899816234499997
ACH-000138,-0.218750571698
ACH-000142,0.147111851953
ACH-000143,-0.08100427132799999
ACH-000146,-0.127804142828
ACH-000148,-0.136830825756
ACH-000150,-0.266645365218
ACH-000152,-0.0390824889921
ACH-000153,0.073997326071
ACH-000159,-0.11093083865
ACH-000160,-0.194883132451
ACH-000163,-0.305249262468
ACH-000167,-0.29053034638
ACH-000168,-0.148444932806
ACH-000169,-0.160005662956
ACH-000178,-0.141157579015
ACH-000182,-0.150244294677
ACH-000183,-0.0841605716481
ACH-000188,-0.118961622342
ACH-000189,-0.237719966048
ACH-000190,-0.301255672875
ACH-000198,-0.0255076105478
ACH-000204,0.21992458844300003
ACH-000206,-0.10408380828199999
ACH-000207,-0.0964110900134
ACH-000211,0.037599622871800006
ACH-000215,-0.10641147059900001
ACH-000221,-0.22088054716999997
ACH-000222,-0.19833358677299998
ACH-000223,-0.028848191427700003
ACH-000226,-0.225106752951
ACH-000227,-0.17830636437800002
ACH-000228,-0.302765067878
ACH-000231,-0.111687477009
ACH-000232,-0.0469393565348
ACH-000233,-0.0721885118392
ACH-000234,-0.318636144641
ACH-000235,-0.134478052171
ACH-000237,-0.218987529143
ACH-000238,-0.0241676297851
ACH-000243,-0.161120549062
ACH-000244,-0.09789984717450001
ACH-000246,-0.136204608351
ACH-000248,0.23214389765700003
ACH-000250,-0.08270806982369999
ACH-000251,0.0692290533317
ACH-000253,0.0547559738612
ACH-000255,-0.186815659546
ACH-000256,-0.07409279306319999
ACH-000257,0.0367467693781
ACH-000258,-0.0833230046937
ACH-000259,-0.10094588549900001
ACH-000260,-0.0393383275172
ACH-000261,-0.16814405311099997
ACH-000262,0.053443950977800005
ACH-000263,-0.247291247202
ACH-000264,-0.127483432137
ACH-000265,-0.34694069771200003
ACH-000266,-0.108157740396
ACH-000272,-0.0858287309111
ACH-000273,-0.0330287614148
ACH-000274,-0.298567966127
ACH-000277,0.00920664802648
ACH-000278,-0.278963077166
ACH-000279,-0.09329161293390001
ACH-000280,-0.148413470431
ACH-000281,-0.0808430904197
ACH-000288,-0.0249595765659
ACH-000291,-0.25005358363200003
ACH-000293,-0.158208660954
ACH-000294,0.09686690282299999
ACH-000295,-0.058284578908000005
ACH-000296,-0.031902515485200005
ACH-000302,-0.0431827181111
ACH-000304,-0.0392297788466
ACH-000307,-0.113972319441
ACH-000308,-0.11587443523299999
ACH-000310,-0.150556300829
ACH-000311,-0.07416603438889999
ACH-000312,-0.053917038418399996
ACH-000315,-0.234327579372
ACH-000316,-0.248486496384
ACH-000317,-0.233780214092
ACH-000318,-0.09983151923080001
ACH-000319,0.0116043235702
ACH-000320,-0.288851280662
