,OTOS (150677)
ACH-000004,-0.09748206684360002
ACH-000007,-0.238855355209
ACH-000009,-0.216398691643
ACH-000011,-0.211848032681
ACH-000012,-0.0320395488105
ACH-000013,-0.16003420932600002
ACH-000014,-0.175122724416
ACH-000015,-0.16062699497000002
ACH-000017,-0.18020027123399998
ACH-000018,-0.33867171575000005
ACH-000019,-0.527566392211
ACH-000021,-0.138366376224
ACH-000022,-0.358151559288
ACH-000025,-0.12436087578400001
ACH-000028,-0.280195498091
ACH-000030,-0.116307918055
ACH-000035,-0.0811550968561
ACH-000036,-0.4251498067
ACH-000037,-0.378016779156
ACH-000039,-0.175330539238
ACH-000040,-0.34217802108400003
ACH-000041,-0.33374415835099996
ACH-000042,-0.347516116276
ACH-000045,-0.134811646809
ACH-000047,-0.252522146982
ACH-000052,-0.202491152466
ACH-000053,-0.24587411785100002
ACH-000054,-0.495453042696
ACH-000055,-0.0443601554103
ACH-000060,-0.314635355168
ACH-000067,-0.23564578292399999
ACH-000070,-0.30566418824
ACH-000075,-0.225441727703
ACH-000078,-0.31233648607
ACH-000082,-0.272938542232
ACH-000085,-0.5083093786439999
ACH-000086,-0.336620354582
ACH-000087,-0.267121285246
ACH-000092,-0.257399438306
ACH-000095,-0.384487879369
ACH-000097,-0.161854422831
ACH-000098,-0.344548078258
ACH-000099,-0.339787901016
ACH-000108,-0.242780284059
ACH-000113,-0.195571134314
ACH-000115,-0.0891000717988
ACH-000116,-0.22748425425500002
ACH-000118,-0.29579617021899995
ACH-000120,-0.279233894784
ACH-000123,-0.17864242407000003
ACH-000127,-0.240318918375
ACH-000128,-0.17275754445
ACH-000132,-0.2807555591
ACH-000133,-0.35847508231799996
ACH-000137,-0.326794218903
ACH-000138,-0.288166674715
ACH-000142,-0.248229539121
ACH-000143,-0.346561308872
ACH-000146,-0.127413796353
ACH-000148,-0.325466739126
ACH-000150,-0.33790258221999997
ACH-000152,-0.214557423433
ACH-000153,-0.0670757240137
ACH-000159,-0.0719554881734
ACH-000160,-0.390446297742
ACH-000163,-0.151059101638
ACH-000167,-0.6581124128970001
ACH-000168,-0.450980187624
ACH-000169,-0.17404974218199998
ACH-000178,-0.22404444198399998
ACH-000182,-0.228712428882
ACH-000183,-0.145325123241
ACH-000188,-0.33272460129299997
ACH-000189,-0.245152347516
ACH-000190,-0.0318832025685
ACH-000198,-0.39086261354999996
