,PHB (5245)
ACH-000004,-1.16405639664
ACH-000007,-1.2212430350599999
ACH-000009,-0.894760971725
ACH-000011,-1.18519471077
ACH-000012,-1.20984411024
ACH-000013,-1.4553127201499998
ACH-000014,-1.25310954032
ACH-000015,-1.1043092339899998
ACH-000017,-1.2853690957500001
ACH-000018,-1.3900426858000001
ACH-000019,-1.335321281
ACH-000021,-0.852789631381
ACH-000022,-1.4698238903799998
ACH-000025,-1.1776176892399999
ACH-000028,-1.13797753681
ACH-000030,-1.24674451333
ACH-000035,-1.2074493823299999
ACH-000036,-1.00203953804
ACH-000037,-1.89439527152
ACH-000039,-1.51833884706
ACH-000040,-1.37501960067
ACH-000041,-1.40590210232
ACH-000042,-1.17057354076
ACH-000045,-1.3111958561900001
ACH-000047,-1.12341930947
ACH-000052,-1.2023098177299998
ACH-000053,-1.15550057717
ACH-000054,-1.23689497143
ACH-000055,-1.41303603033
ACH-000060,-1.1584358341
ACH-000067,-1.0113943050799998
ACH-000070,-1.41340890201
ACH-000075,-1.10319732352
ACH-000078,-1.11585774169
ACH-000082,-1.47010187196
ACH-000085,-1.04556684179
ACH-000086,-1.17792390704
ACH-000087,-1.52187875575
ACH-000092,-1.20305700222
ACH-000095,-1.00072632464
ACH-000097,-1.07781636616
ACH-000098,-1.30560980871
ACH-000099,-1.079816425
ACH-000108,-1.22270834395
ACH-000113,-1.16691312874
ACH-000115,-1.7924023135599998
ACH-000116,-1.28968733025
ACH-000118,-1.0
ACH-000120,-0.870160741319
ACH-000123,-1.24201145998
ACH-000127,-1.25470080289
ACH-000128,-1.0533899860200002
ACH-000132,-1.19086600989
ACH-000133,-1.24404294407
ACH-000137,-1.2357076629000001
ACH-000138,-1.35188683657
ACH-000142,-1.2580779980299999
ACH-000143,-1.21890533044
ACH-000146,-1.08940877962
ACH-000148,-1.3734479575999998
ACH-000150,-1.2363464652399998
ACH-000152,-1.1618533559200002
ACH-000153,-1.14288317934
ACH-000159,-1.23881540424
ACH-000160,-1.25395574476
ACH-000163,-1.24499441531
ACH-000167,-1.3649324487399999
ACH-000168,-1.2118287720999998
ACH-000169,-1.22009934354
ACH-000178,-1.20036121178
ACH-000182,-1.1909843656999999
ACH-000183,-1.2138565426
ACH-000188,-1.17328576765
ACH-000189,-1.11722131033
ACH-000190,-0.8507471790440001
ACH-000198,-1.19261861579
ACH-000204,-1.10499511184
ACH-000206,-1.4906799436000002
ACH-000207,-1.0978198004700002
ACH-000211,-1.1061682483600002
ACH-000215,-1.2797014273
ACH-000221,-1.45315464956
ACH-000222,-1.50918049222
ACH-000223,-0.886814175501
ACH-000226,-1.30931223218
ACH-000227,-1.44060359139
ACH-000228,-1.20594259134
ACH-000231,-1.39876004539
ACH-000232,-1.2618197972299998
ACH-000233,-1.16125399192
ACH-000234,-1.4524688149899998
ACH-000235,-1.10572351866
ACH-000237,-1.03052974585
ACH-000238,-1.2118609061399999
ACH-000243,-1.28444133135
ACH-000244,-1.134270301
ACH-000246,-1.10093172437
ACH-000248,-1.22407620279
ACH-000250,-1.3238375280799999
ACH-000251,-1.29678282884
ACH-000253,-1.03875197172
ACH-000255,-1.20903944741
ACH-000256,-1.0549305387999999
ACH-000257,-1.5390526628499999
ACH-000258,-1.13544434745
ACH-000259,-1.0787699470299998
ACH-000260,-1.18242981564
ACH-000261,-1.29394673497
ACH-000262,-1.05621067433
ACH-000263,-0.9983947130320001
ACH-000264,-1.7204925161700002
ACH-000265,-1.3010239402600001
ACH-000266,-1.09922628888
ACH-000272,-1.3395124327299999
ACH-000273,-1.15130590972
ACH-000274,-1.72921743565
ACH-000277,-0.745781993218
ACH-000278,-1.2287254802299998
ACH-000279,-1.07873569445
ACH-000280,-1.30298890832
ACH-000281,-1.19712855979
ACH-000288,-1.20957060643
ACH-000291,-1.0313458848000001
ACH-000293,-1.45932930368
ACH-000294,-1.1540481365000002
ACH-000295,-1.4352463681799998
ACH-000296,-1.08491887205
ACH-000302,-1.2208893654200001
ACH-000304,-1.28509272888
ACH-000307,-0.9663722057140001
ACH-000308,-1.0263695109
ACH-000310,-0.986195089095
ACH-000311,-1.2467294550799999
ACH-000312,-1.2712912919
ACH-000315,-0.824972942545
ACH-000316,-1.64298099226
ACH-000317,-1.3121732674700002
ACH-000318,-1.2507646311299998
ACH-000319,-1.20533542714
