,CYSRT1 (375791)
ACH-000004,0.197959273997
ACH-000007,-0.09299799312550001
ACH-000009,-0.192852274852
ACH-000011,-0.14219871946499998
ACH-000012,-0.0520702126837
ACH-000013,-0.265567981297
ACH-000014,0.120439499416
ACH-000015,-0.109015647113
ACH-000017,-0.0239664641836
ACH-000018,-0.138300708932
ACH-000019,0.08099011108819999
ACH-000021,-0.12774966477900002
ACH-000022,-0.048267468729600006
ACH-000025,-0.004411726112470001
ACH-000028,-0.0707255669231
ACH-000030,-0.011069791487100002
ACH-000035,0.11508236285599999
ACH-000036,0.044758601425
ACH-000037,-0.214511168819
ACH-000039,-0.187870511527
ACH-000040,-0.205895450443
ACH-000041,0.0325907298115
ACH-000042,-0.0536461492759
ACH-000045,-0.0816782368834
ACH-000047,-0.16091270364600002
ACH-000052,-0.23207266074400001
ACH-000053,-0.106766638748
ACH-000054,-0.195077950744
ACH-000055,-0.0686987076564
ACH-000060,-0.0835279313403
ACH-000067,-0.0320014917452
ACH-000070,0.07783293129660002
ACH-000075,-0.264478824578
ACH-000078,-0.109867256782
ACH-000082,-0.131572750427
ACH-000085,-0.0340028605855
ACH-000086,-0.185814265803
ACH-000087,-0.151149670358
ACH-000092,0.0020016898191300004
ACH-000095,-0.0733906837538
ACH-000097,-0.0112344926174
ACH-000098,-0.06264968142749999
ACH-000099,-0.05543169086849999
ACH-000108,-0.246455872751
ACH-000113,-0.128248475593
ACH-000115,-0.40040935093900004
ACH-000116,-0.235870115245
ACH-000118,0.0628208296177
ACH-000120,-0.168124377337
ACH-000123,-0.0576287318209
ACH-000127,-0.181173163667
ACH-000128,-0.19080787135000002
ACH-000132,0.109301552227
ACH-000133,-0.00502720536463
ACH-000137,-0.342352690213
ACH-000138,-0.230245719588
ACH-000142,-0.0184393020147
ACH-000143,-0.00258940801223
ACH-000146,-0.0730670655634
ACH-000148,-0.11555286054000001
ACH-000150,0.09251768905310001
ACH-000152,-0.127745289981
ACH-000153,-0.0575424320732
ACH-000159,-0.090394874493
ACH-000160,0.09441909766960001
ACH-000163,-0.210865995904
ACH-000167,-0.25273608121999996
ACH-000168,-0.0890079215739
ACH-000169,-0.116723828125
ACH-000178,0.016640672845999998
ACH-000182,-0.150652592895
ACH-000183,-0.051277377767799996
ACH-000188,-0.12237310185
ACH-000189,-0.09026921192610002
ACH-000190,-0.13006800606399999
ACH-000198,-0.178539386637
ACH-000204,0.255860841919
ACH-000206,-0.366652134371
ACH-000207,-0.21758384286999996
ACH-000211,-0.051577297131199996
ACH-000215,-0.158071554513
ACH-000221,-0.05272730968619999
ACH-000222,0.101486825156
ACH-000223,-0.153181776833
ACH-000226,-0.209175114547
ACH-000227,0.0412949022662
ACH-000228,-0.217588894873
ACH-000231,-0.05657480587040001
ACH-000232,-0.103135740277
ACH-000233,-0.22163413018800002
ACH-000234,-0.164756401965
ACH-000235,-0.11479181808399999
