,ALDH3B2 (222)
ACH-000004,0.0397264060621
ACH-000007,-0.0022462046480900004
ACH-000009,-0.254002762419
ACH-000011,0.0031049749430600002
ACH-000012,-0.150420145778
ACH-000013,-0.10025453264900001
ACH-000014,0.012240329846900001
ACH-000015,0.0869542762522
ACH-000017,-0.06635039460730001
ACH-000018,-0.5274785808820001
ACH-000019,0.09131931193830001
ACH-000021,-0.165848985924
ACH-000022,-0.0265401697192
ACH-000025,0.0929961179874
ACH-000028,-0.171219506651
ACH-000030,-0.20210423796799998
ACH-000035,-0.0684206219678
ACH-000036,-0.23224093958500003
ACH-000037,-0.0939857114769
ACH-000039,-0.367070981921
ACH-000040,-0.0855259949075
ACH-000041,-0.267328534479
ACH-000042,-0.18109212918499998
ACH-000045,-0.264691331486
ACH-000047,-0.176784321893
ACH-000052,-0.09641310474469998
ACH-000053,-0.228505240176
ACH-000054,-0.0619364139303
ACH-000055,-0.289800145904
ACH-000060,-0.06981518722369999
ACH-000067,0.00712645034153
ACH-000070,-0.259813208155
ACH-000075,-0.08783326008639998
ACH-000078,-0.162697930538
ACH-000082,-0.45975636138000003
ACH-000085,-0.148431393017
ACH-000086,-0.41016902598099997
ACH-000087,-0.161512534222
ACH-000092,-0.132031473669
ACH-000095,-0.404650984066
ACH-000097,-0.367598363688
ACH-000098,-0.0344855079687
ACH-000099,-0.110381173632
ACH-000108,-0.123157129137
ACH-000113,-0.265940851032
ACH-000115,-0.364656999561
ACH-000116,-0.24606006425000002
ACH-000118,-0.257720949361
ACH-000120,-0.120979292045
ACH-000123,-0.17657225285300002
ACH-000127,-0.133449180528
ACH-000128,-0.188471559802
ACH-000132,-0.0259884832447
ACH-000133,-0.0394809486325
ACH-000137,-0.414275616272
ACH-000138,-0.31640085475
ACH-000142,-0.24791291935100002
ACH-000143,0.0575612623219
ACH-000146,-0.206637025049
ACH-000148,-0.176163807527
ACH-000150,0.04063951104769999
ACH-000152,-0.10688035669299999
ACH-000153,-0.35796710871299997
ACH-000159,-0.0204418358577
ACH-000160,-0.504080721686
ACH-000163,0.0353481345051
ACH-000167,0.0444422897009
ACH-000168,-0.18080647881499998
ACH-000169,-0.198756480499
ACH-000178,-0.13350005778899998
ACH-000182,0.08402923708589999
ACH-000183,-0.29059998931
ACH-000188,-0.327018425419
ACH-000189,-0.399432302169
ACH-000190,0.11449088154300001
ACH-000198,-0.37645664578000004
ACH-000204,0.0649370357614
ACH-000206,-0.435100157731
ACH-000207,-0.543365613364
ACH-000211,-0.004501620300189999
ACH-000215,-0.0283124597214
ACH-000221,-0.111696249808
ACH-000222,-0.163808054881
ACH-000223,-0.120489353525
ACH-000226,-0.11351345831599999
ACH-000227,-0.32356443101300003
ACH-000228,-0.170897366244
ACH-000231,-0.124707966703
ACH-000232,-0.165720234848
ACH-000233,-0.09434504949989998
ACH-000234,-0.224069654666
ACH-000235,-0.22853769724599998
ACH-000237,-0.0104386151156
ACH-000238,-0.11224710605799999
ACH-000243,-0.09419828426280001
ACH-000244,-0.177058831587
ACH-000246,-0.05851654975599999
ACH-000248,0.04880912171040001
ACH-000250,-0.15382113748600001
ACH-000251,-0.367768987902
ACH-000253,-0.049512136659000006
ACH-000255,-0.344956138478
ACH-000256,-0.38393398662100003
ACH-000257,-0.299382170284
ACH-000258,0.0386416189809
ACH-000259,-0.0923143534013
ACH-000260,-0.248281674122
ACH-000261,-0.071067336271
ACH-000262,-0.030692589892599997
ACH-000263,-0.19510977327
ACH-000264,-0.243356535865
ACH-000265,-0.10959258289799999
ACH-000266,-0.19866879217500003
ACH-000272,-0.15815368655
ACH-000273,-0.121532406029
ACH-000274,-0.059781202176800004
ACH-000277,-0.18844321462299998
ACH-000278,-0.38080965739600003
ACH-000279,-0.0385512756227
ACH-000280,-0.0962801680215
ACH-000281,-0.062169265534
ACH-000288,-0.118264847062
ACH-000291,-0.167721144893
ACH-000293,-0.376093437102
ACH-000294,-0.295163500288
ACH-000295,-0.0424917895399
ACH-000296,-0.261353374133
ACH-000302,-0.0827535758059
ACH-000304,-0.250933268031
ACH-000307,0.042663947033099996
ACH-000308,-0.0991815813855
ACH-000310,-0.04705601086780001
ACH-000311,-0.42473258340000003
ACH-000312,-0.273623971384
ACH-000315,-0.207273912654
ACH-000316,-0.308457155832
ACH-000317,-0.0740625839995
ACH-000318,-0.49652407321900005
ACH-000319,-0.162779090583
ACH-000320,-0.219070068103
ACH-000322,-0.251684305747
ACH-000323,-0.162157974733
ACH-000324,-0.13946473402
ACH-000329,0.0934180455014
ACH-000330,-0.204073583855
ACH-000331,-0.055742516087199996
