,RSG1 (79363)
ACH-000004,-0.38800093526999996
ACH-000007,-0.135432447678
ACH-000009,-0.378651920859
ACH-000011,-0.143135419046
ACH-000012,-0.155273784671
ACH-000013,-0.501506612102
ACH-000014,-0.256838788965
ACH-000015,-0.265919285927
ACH-000017,-0.226455410451
ACH-000018,-0.44396967529
ACH-000019,-0.269366448081
ACH-000021,-0.21364695448399998
ACH-000022,-0.271384509737
ACH-000025,-0.35759793173500004
ACH-000028,-0.0298180348686
ACH-000030,-0.187011022099
ACH-000035,-0.354737659943
ACH-000036,-0.0863199134457
ACH-000037,-0.300807309806
ACH-000039,-0.514598728898
ACH-000040,-0.295200161142
ACH-000041,-0.250881301023
ACH-000042,-0.276080620832
ACH-000045,-0.305470786765
ACH-000047,-0.35683277496699994
ACH-000052,-0.0924561226389
ACH-000053,-0.302937739182
ACH-000054,-0.405828792362
ACH-000055,-0.354770083343
ACH-000060,-0.387534847872
ACH-000067,-0.110958907141
ACH-000070,-0.30161799386300003
ACH-000075,-0.276422721104
ACH-000078,-0.111578416378
ACH-000082,0.0908342914856
ACH-000085,0.0135056516322
ACH-000086,-0.13621794813100002
ACH-000087,-0.119130875691
ACH-000092,-0.350560202253
ACH-000095,-0.238172133407
ACH-000097,-0.293813533567
ACH-000098,-0.214139195848
ACH-000099,-0.159015706117
ACH-000108,-0.165191280585
ACH-000113,-0.151832383444
ACH-000115,-0.161259377914
ACH-000116,-0.307760262493
ACH-000118,-0.144891124827
ACH-000120,0.1304450178
ACH-000123,-0.253951796805
ACH-000127,-0.17933532964499999
ACH-000128,-0.523735022467
ACH-000132,-0.15658718622
ACH-000133,-0.00829527930728
ACH-000137,-0.5128099561399999
ACH-000138,-0.39050525566100003
ACH-000142,-0.278608875676
ACH-000143,-0.200165045718
ACH-000146,-0.129643341715
ACH-000148,-0.163017498896
ACH-000150,-0.228191454843
ACH-000152,-0.40027551312299997
ACH-000153,-0.418356611541
ACH-000159,-0.35276676556599995
ACH-000160,-0.319424854137
ACH-000163,-0.17613709471
ACH-000167,-0.44754912079099995
ACH-000168,-0.34326294704599997
ACH-000169,-0.185475775122
ACH-000178,-0.24009596838599997
ACH-000182,-0.155285168872
ACH-000183,-0.21257503241300002
ACH-000188,-0.180892202104
ACH-000189,-0.23484976032299998
ACH-000190,-0.269277956258
ACH-000198,-0.320528287241
ACH-000204,-0.360571318944
ACH-000206,-0.36729949133100004
ACH-000207,-0.32679952812199997
ACH-000211,-0.176121758476
ACH-000215,-0.244416950806
ACH-000221,-0.35291663411799995
ACH-000222,-0.267591303213
ACH-000223,-0.177094849864
ACH-000226,-0.179816379913
ACH-000227,-0.104401415892
ACH-000228,-0.267374563953
ACH-000231,-0.174985194949
ACH-000232,-0.221882143485
ACH-000233,-0.23782949990200003
ACH-000234,-0.451931933161
ACH-000235,-0.19842306813299998
ACH-000237,-0.169911433104
ACH-000238,-0.40415304452399997
ACH-000243,-0.116831173834
ACH-000244,-0.320303104278
ACH-000246,-0.32562832841
ACH-000248,-0.408870887569
ACH-000250,-0.23089700055799997
ACH-000251,-0.0729588056123
ACH-000253,-0.271112056215
ACH-000255,-0.21504010313000002
ACH-000256,-0.39560257094400003
ACH-000257,-0.331562585287
ACH-000258,-0.308099709854
ACH-000259,-0.127468096785
ACH-000260,-0.226551035603
ACH-000261,-0.177191266789
ACH-000262,-0.23624880146899999
ACH-000263,-0.418862090044
ACH-000264,-0.22665275464499998
ACH-000265,-0.263478993652
ACH-000266,-0.235560848575
ACH-000272,-0.19032987842000001
ACH-000273,-0.156991790366
ACH-000274,-0.21208347407699998
ACH-000277,-0.262083121723
ACH-000278,-0.08164871640389999
ACH-000279,-0.57415060058
ACH-000280,-0.217398434695
ACH-000281,-0.41130049735
ACH-000288,-0.140188569613
ACH-000291,-0.290142906121
ACH-000293,-0.418925152024
ACH-000294,-0.0311252720432
ACH-000295,-0.470334577109
ACH-000296,-0.11500451996300001
ACH-000302,-0.337515029933
ACH-000304,-0.160169770643
ACH-000307,-0.188839474627
ACH-000308,-0.196973856473
ACH-000310,0.069187501183
ACH-000311,-0.115427138766
ACH-000312,-0.355382099525
ACH-000315,-0.349463902956
ACH-000316,-0.529318813154
ACH-000317,-0.5185746840150001
