,AMY2B (280)
ACH-000004,-0.0798894278917
ACH-000007,-0.33082383626
ACH-000009,-0.123867617939
ACH-000011,-0.138621960225
ACH-000012,-0.196770584618
ACH-000013,-0.109574649762
ACH-000014,-0.0116675028087
ACH-000015,-0.145277312987
ACH-000017,-0.043479160130699995
ACH-000018,-0.101120098157
ACH-000019,-0.331137389157
ACH-000021,-0.19116246801399997
ACH-000022,-0.07546761681269999
ACH-000025,-0.29717680384100004
ACH-000028,-0.0724432756483
ACH-000030,-0.20594327299100001
ACH-000035,-0.12795219704000002
ACH-000036,-0.10728495934599999
ACH-000037,-0.14189383637800002
ACH-000039,-0.08082363801680001
ACH-000040,-0.232853261187
ACH-000041,-0.128633681322
ACH-000042,-0.169382963417
ACH-000045,-0.215953367221
ACH-000047,-0.0884190034483
ACH-000052,-0.30261856193000003
ACH-000053,-0.149287965388
ACH-000054,-0.217292965904
ACH-000055,-0.100423041655
ACH-000060,-0.319658092354
ACH-000067,-0.249614459301
ACH-000070,-0.145336193422
ACH-000075,-0.37960419652800004
ACH-000078,-0.336185959833
ACH-000082,-0.240979272297
ACH-000085,-0.173133895337
ACH-000086,-0.310417960762
ACH-000087,-0.184410485829
ACH-000092,-0.256264779909
ACH-000095,-0.183192938985
ACH-000097,-0.124541281894
ACH-000098,-0.110538101018
ACH-000099,-0.25595932139899996
ACH-000108,-0.13014227577600002
ACH-000113,-0.113701346897
ACH-000115,-0.0309363687025
ACH-000116,-0.184439434087
ACH-000118,-0.09750638003460001
ACH-000120,-0.09279263602839999
ACH-000123,-0.159969143773
ACH-000127,-0.190156485469
ACH-000128,-0.10689801544
ACH-000132,-0.152668422291
ACH-000133,-0.144298576633
ACH-000137,-0.00873275478388
ACH-000138,-0.117725671198
ACH-000142,-0.12740718492
ACH-000143,-0.218675566897
ACH-000146,-0.228390947767
ACH-000148,-0.16151870131100002
ACH-000150,-0.104882155975
ACH-000152,-0.16263618101900001
ACH-000153,-0.166208023706
ACH-000159,-0.298085737995
ACH-000160,-0.27970416915699997
ACH-000163,-0.034644974158999996
ACH-000167,-0.360513658071
ACH-000168,-0.12296844750399999
ACH-000169,-0.19626250561900002
ACH-000178,-0.0379125930336
ACH-000182,-0.0973335236634
ACH-000183,-0.21151604566799997
ACH-000188,-0.451352261589
ACH-000189,-0.258709244173
ACH-000190,-0.15154711658
ACH-000198,-0.17558090899099998
ACH-000204,-0.187892038024
ACH-000206,-0.143255321404
ACH-000207,-0.320689852286
ACH-000211,-0.214223483395
ACH-000215,-0.19356525479699999
ACH-000221,-0.24384724821400003
ACH-000222,-0.19313848908700001
ACH-000223,-0.120582075411
ACH-000226,-0.101728704627
ACH-000227,-0.24533853148899998
ACH-000228,-0.15909347558700002
ACH-000231,-0.12827375178300002
ACH-000232,-0.10891756929600001
ACH-000233,-0.0927195115263
ACH-000234,-0.09237998042960001
ACH-000235,-0.138980637212
ACH-000237,-0.170233322124
ACH-000238,-0.29296789912099996
ACH-000243,-0.214642416405
ACH-000244,-0.12637133094900002
ACH-000246,-0.289441745119
ACH-000248,-0.259399776072
ACH-000250,-0.140105993407
ACH-000251,-0.123116422465
ACH-000253,-0.11810390131699999
ACH-000255,-0.15412021634
ACH-000256,-0.0753013165059
ACH-000257,-0.10071542520400001
ACH-000258,-0.310705022908
ACH-000259,-0.234475862601
ACH-000260,-0.216707059525
ACH-000261,-0.09200376626949999
ACH-000262,-0.182745649253
ACH-000263,-0.161538052531
ACH-000264,-0.144604237599
ACH-000265,-0.197754170192
ACH-000266,-0.070991989473
ACH-000272,-0.150628874788
ACH-000273,-0.209081384773
ACH-000274,-0.19802937676100002
ACH-000277,-0.218261445079
ACH-000278,-0.20838245347800002
ACH-000279,-0.043059397155099995
ACH-000280,-0.120467713416
ACH-000281,-0.183540715539
ACH-000288,-0.222573848123
ACH-000291,-0.103790163334
ACH-000293,-0.09426034818510001
ACH-000294,-0.26436987853
ACH-000295,-0.147236989338
ACH-000296,-0.42990530641999997
ACH-000302,-0.16336923563
ACH-000304,-0.0199439276068
ACH-000307,-0.298694839209
ACH-000308,-0.394376631482
ACH-000310,-0.26801953209
ACH-000311,-0.163497184739
ACH-000312,-0.15530416171599998
ACH-000315,-0.027812956510200004
ACH-000316,-0.09126980807700001
ACH-000317,-0.233855965526
ACH-000318,-0.261572381528
ACH-000319,-0.0456538024976
ACH-000320,-0.26868466953000003
ACH-000322,-0.18019174803
ACH-000323,-0.268184916363
ACH-000324,-0.26470787510899996
ACH-000329,-0.171383091017
ACH-000330,-0.07619899936169999
ACH-000331,-0.20728394872699998
ACH-000332,-0.204013432603
ACH-000334,-0.0481542873779
ACH-000335,-0.267142424738
ACH-000336,-0.225569608739
ACH-000337,-0.22228045562600002
ACH-000339,-0.24145056360300002
ACH-000341,-0.195735141953
ACH-000348,-0.191096239536
ACH-000350,-0.109423116897
ACH-000352,-0.25550029752799996
ACH-000356,-0.14854845098
ACH-000361,-0.27726501492600003
ACH-000362,-0.17429445342799998
ACH-000363,-0.144138361382
ACH-000364,-0.218884941568
ACH-000365,-0.0885180510903
ACH-000366,-0.104015239838
ACH-000368,-0.22072908402199998
ACH-000374,-0.0697432431275
ACH-000375,-0.159930125738
ACH-000376,-0.18313242016800002
ACH-000381,-0.24921748647599998
ACH-000383,-0.132611723281
ACH-000387,-0.154684791477
ACH-000389,-0.260827976052
ACH-000390,-0.190077371078
ACH-000393,-0.0988901625023
ACH-000395,-0.22580351582
ACH-000397,-0.21890879568399998
ACH-000401,-0.19865197258
ACH-000402,-0.319139072518
ACH-000403,-0.176955167923
ACH-000404,-0.262978026455
ACH-000406,-0.11517243410700001
ACH-000407,-0.139599156254
ACH-000408,-0.20150988741999998
ACH-000410,-0.13465960295499999
ACH-000411,-0.328847929236
ACH-000414,-0.061300845663599994
ACH-000415,-0.166975574961
ACH-000416,-0.155153511306
ACH-000420,-0.291184066591
ACH-000421,-0.10803371068399999
