,PIGS (94005)
ACH-000004,-0.300940548961
ACH-000007,-0.11520338184000001
ACH-000009,-0.348644160977
ACH-000011,-0.523814635417
ACH-000012,-0.44224936737099996
ACH-000013,-0.142952873665
ACH-000014,-0.196305307563
ACH-000015,-0.258771763771
ACH-000017,-0.641448698402
ACH-000018,-0.162926911535
ACH-000019,-0.485683592303
ACH-000021,-0.316566832282
ACH-000022,-0.43853131642899995
ACH-000025,-0.1476153802
ACH-000028,-0.34675932485100003
ACH-000030,-0.332658573934
ACH-000035,-0.618879312078
ACH-000036,-0.248663255011
ACH-000037,-0.199685546505
ACH-000039,-0.5797691855100001
ACH-000040,-0.518720219137
ACH-000041,-0.322146585209
ACH-000042,-0.373770593985
ACH-000045,-0.252502822841
ACH-000047,-0.468120308185
ACH-000052,-0.21067831959199998
ACH-000053,-0.569088491225
ACH-000054,-0.33507409362199997
ACH-000055,0.077330858659
ACH-000060,-0.588854854625
ACH-000067,-0.295304713826
ACH-000070,-0.284487227563
ACH-000075,0.0018190779966199997
ACH-000078,-0.383133432755
ACH-000082,-0.650503625996
ACH-000085,-0.592820057705
ACH-000086,-0.439420322284
ACH-000087,-0.335822624026
ACH-000092,-0.279891129675
ACH-000095,-0.294236784692
ACH-000097,-0.344915823854
ACH-000098,-0.43707835569700004
ACH-000099,-0.288125022971
ACH-000108,-0.408927452283
ACH-000113,-0.380932772993
ACH-000115,-0.476379613293
ACH-000116,-0.20762742413
ACH-000118,-0.575355791079
ACH-000120,-0.31450787763099997
ACH-000123,-0.386077257818
ACH-000127,-0.23767613466999996
ACH-000128,-0.28340985097300003
ACH-000132,-0.281789005855
ACH-000133,-0.182828720679
ACH-000137,-0.267404190357
ACH-000138,-0.501468962064
ACH-000142,-0.509776272053
ACH-000143,-0.19480619385
ACH-000146,-0.518912032664
ACH-000148,-0.40290908798
ACH-000150,-0.41546264462
ACH-000152,-0.317358287638
ACH-000153,-0.07617752665699999
ACH-000159,-0.105027886275
ACH-000160,-0.400193129348
ACH-000163,-0.254283985645
ACH-000167,-0.586025574251
ACH-000168,-0.42677583523199997
ACH-000169,-0.366169693001
ACH-000178,-0.29187780194699997
ACH-000182,-0.15755801222000002
ACH-000183,-0.581614322797
ACH-000188,-0.473212443429
ACH-000189,-0.312168980836
ACH-000190,-0.33824971849
ACH-000198,-0.19322076331799998
ACH-000204,-0.24722148448000003
ACH-000206,-0.0235082860219
ACH-000207,-0.479635207591
ACH-000211,-0.353099747066
ACH-000215,-0.255334308554
ACH-000221,-0.445503453956
ACH-000222,-0.5915122185320001
ACH-000223,-0.477711351997
ACH-000226,-0.426444157432
ACH-000227,-0.36550557769299996
ACH-000228,-0.350448731217
ACH-000231,-0.212079571621
ACH-000232,-0.380412593541
ACH-000233,-0.276406727328
ACH-000234,-0.733229125237
ACH-000235,-0.420887854347
ACH-000237,-0.22593554038000002
ACH-000238,-0.43861366718999995
ACH-000243,-0.436332753689
ACH-000244,-0.464992926461
ACH-000246,-0.27281575689599996
ACH-000248,-0.7073966572570001
ACH-000250,-0.28066868591099997
ACH-000251,-0.155513003112
ACH-000253,-0.311663301513
ACH-000255,-0.465827554093
ACH-000256,-0.335075964465
ACH-000257,-0.0184694523637
ACH-000258,-0.218793648807
ACH-000259,-0.430808102429
ACH-000260,-0.160560009031
ACH-000261,-0.429075498098
ACH-000262,-0.305389299892
ACH-000263,-0.123431908607
ACH-000264,-0.251632793494
ACH-000265,-0.601281146154
ACH-000266,-0.42402509563199997
ACH-000272,-0.50821387473
ACH-000273,-0.42134139100699997
ACH-000274,-0.441618780162
ACH-000277,-0.529539951338
ACH-000278,-0.378312537009
ACH-000279,-0.20699550315200002
ACH-000280,-0.556972947571
ACH-000281,-0.21392498462600001
ACH-000288,-0.565768496471
ACH-000291,-0.443391925298
ACH-000293,-0.275092222643
ACH-000294,-0.440640791785
ACH-000295,-0.338092987689
ACH-000296,-0.6009395472160001
ACH-000302,-0.465211390063
ACH-000304,-0.08210109827439999
ACH-000307,-0.39230727559399997
ACH-000308,-0.410033954735
ACH-000310,-0.262993714296
ACH-000311,-0.754210663161
ACH-000312,-0.44462212333499995
ACH-000315,-0.115744892272
ACH-000316,-0.6844347682269999
ACH-000317,-0.424319529367
ACH-000318,-0.294000215063
ACH-000319,-0.27737053497499997
ACH-000320,-0.486494831681
ACH-000322,-0.538346348449
ACH-000323,-0.329330230161
ACH-000324,-0.45180895451700004
ACH-000329,-0.270654976248
ACH-000330,-0.54495879112
ACH-000331,-0.540384754131
ACH-000332,-0.281979065747
ACH-000334,-0.22408581424899998
ACH-000335,-0.202218900521
ACH-000336,-0.22501109739300001
ACH-000337,-0.519553467162
ACH-000339,-0.653198655386
ACH-000341,-0.34938690751100004
ACH-000348,-0.384581729206
ACH-000350,-0.457568538477
ACH-000352,-0.290430540442
ACH-000356,-0.611807743507
ACH-000361,-0.480159370815
ACH-000362,-0.12402315248
ACH-000363,-0.293611494227
ACH-000364,-0.528154531907
ACH-000365,-0.319902151103
ACH-000366,-0.276463563229
ACH-000368,-0.060814809284199994
ACH-000374,-0.499985569849
ACH-000375,-0.648797114784
ACH-000376,-0.156340920865
ACH-000381,-0.464318567476
ACH-000383,-0.465499414954
ACH-000387,-0.23850444272100002
ACH-000389,-0.46294378893999993
ACH-000390,-0.440583694973
ACH-000393,-0.299426767036
ACH-000395,-0.27353768298500003
ACH-000397,-0.322985697469
ACH-000401,-0.153097796585
ACH-000402,-0.440308776072
