,PITRM1 (10531)
ACH-000004,-0.588005158147
ACH-000007,-0.45418110775799997
ACH-000009,-0.806041186981
ACH-000011,0.12204041211899999
ACH-000012,-0.567615205317
ACH-000013,-0.611078586165
ACH-000014,-0.773524402215
ACH-000015,-0.279961239148
ACH-000017,-0.136955728108
ACH-000018,-0.690958703063
ACH-000019,-0.270559012212
ACH-000021,-0.450203181196
ACH-000022,-0.290249647567
ACH-000025,-0.653002329709
ACH-000028,-0.412453792451
ACH-000030,-0.0898242922573
ACH-000035,-0.575514580884
ACH-000036,-0.25410537216999995
ACH-000037,-0.26158174708099996
ACH-000039,-0.280990218178
ACH-000040,-0.7240186726440001
ACH-000041,-0.197848725863
ACH-000042,-0.286130316159
ACH-000045,-0.309281488561
ACH-000047,-0.4191074167
ACH-000052,-0.425170806358
ACH-000053,-0.470737099312
ACH-000054,-0.007200132480099999
ACH-000055,-0.209004018264
ACH-000060,-0.31797742618700003
ACH-000067,-0.22129824604000004
ACH-000070,-0.00410983349006
ACH-000075,-0.411494695701
ACH-000078,-0.0694367504031
ACH-000082,-0.175195625292
ACH-000085,-0.618557662387
ACH-000086,-0.66160057263
ACH-000087,-0.862693847879
ACH-000092,-0.143470481342
ACH-000095,-0.0453856208952
ACH-000097,-0.127158442162
ACH-000098,-0.249515628205
ACH-000099,0.0580368843791
ACH-000108,-0.19932993389000003
ACH-000113,-0.527179016347
ACH-000115,-0.143697576056
ACH-000116,-0.419164902354
ACH-000118,-0.345875480118
ACH-000120,-0.00748030187492
ACH-000123,-0.166711400683
ACH-000127,-1.06304327668
ACH-000128,-0.47605436517800004
ACH-000132,-0.156139469443
ACH-000133,-0.576874598225
ACH-000137,-0.0772576189125
ACH-000138,-0.633303280528
ACH-000142,-0.7504862814200001
ACH-000143,-0.21095132702199998
ACH-000146,-0.147234624308
ACH-000148,-0.44804895295100006
ACH-000150,-0.540558884756
ACH-000152,-0.17396111913400003
ACH-000153,-0.22554720486699997
ACH-000159,-0.106867066565
ACH-000160,-0.188959887071
ACH-000163,-0.650210106773
ACH-000167,-0.315842227676
ACH-000168,-0.646342617611
ACH-000169,-0.468589700506
