,FYCO1 (79443)
ACH-000004,0.0376123443434
ACH-000007,0.0246612460047
ACH-000009,0.032132171368299996
ACH-000011,-0.0524401465651
ACH-000012,-0.011217547655899999
ACH-000013,0.0258197895106
ACH-000014,-0.0200575963596
ACH-000015,-0.15554806103399998
ACH-000017,-0.0379604858589
ACH-000018,0.0642992077866
ACH-000019,0.0636630322709
ACH-000021,-0.012515280294700002
ACH-000022,0.0342711793814
ACH-000025,-0.0440211539956
ACH-000028,0.154219942425
ACH-000030,0.041071122553
ACH-000035,-0.0045454600160800005
ACH-000036,-0.053402731030099994
ACH-000037,0.00883782233558
ACH-000039,0.09546336290480001
ACH-000040,-0.0866883607907
ACH-000041,-0.26450666478100004
ACH-000042,-0.10580105974199999
ACH-000045,-0.12391683562000001
ACH-000047,-0.0665175843345
ACH-000052,0.021582682074700002
ACH-000053,0.0411872251588
ACH-000054,-0.0936082644156
ACH-000055,-0.119074957576
ACH-000060,-0.0446308994694
ACH-000067,0.0025002020025900002
ACH-000070,-0.241475741804
ACH-000075,0.0178854326365
ACH-000078,0.055182835413100005
ACH-000082,0.18759588457899998
ACH-000085,0.0107651014013
ACH-000086,0.09232299845660001
ACH-000087,0.047990434234
ACH-000092,0.0903585023446
ACH-000095,0.0825093024674
ACH-000097,0.032455965801
ACH-000098,-0.194150234738
ACH-000099,-0.0166708030696
ACH-000108,-0.060426086199699997
ACH-000113,-0.0835318987347
ACH-000115,-0.0257237570769
ACH-000116,-0.0967991069802
ACH-000118,-0.0177968085277
ACH-000120,-0.108475371459
ACH-000123,-0.00243218268531
ACH-000127,0.00989422696416
ACH-000128,0.0467040622947
ACH-000132,0.217819392925
ACH-000133,0.0423424429576
ACH-000137,0.0008285126117470001
ACH-000138,0.0107125923074
ACH-000142,-0.13377816435
ACH-000143,0.024035186502400004
ACH-000146,0.0642401730043
ACH-000148,0.06324852589669999
ACH-000150,-0.1488289167
ACH-000152,0.0314722708024
ACH-000153,-0.0465765399381
ACH-000159,0.00889497597356
ACH-000160,-0.111696204789
ACH-000163,-0.220312341175
ACH-000167,-0.18595125319000003
ACH-000168,-0.298721427985
ACH-000169,-0.0517820191575
ACH-000178,0.0309201338717
ACH-000182,0.072188881754
ACH-000183,-0.0023928569638200004
ACH-000188,0.0682800486909
ACH-000189,0.0390090179835
ACH-000190,-0.019410610178599998
ACH-000198,-0.149786249288
ACH-000204,-0.269965647592
ACH-000206,0.20410226553199998
ACH-000207,0.0335901084259
ACH-000211,-0.014997076512100001
ACH-000215,-0.005233133023020001
ACH-000221,-0.0647304110943
ACH-000222,-0.0717312769739
ACH-000223,0.0837658003051
ACH-000226,0.0754560800154
ACH-000227,0.20460802511700002
ACH-000228,-0.0859401050426
ACH-000231,-0.13712602102399998
ACH-000232,0.0655848171825
ACH-000233,-0.0028073138568899996
ACH-000234,-0.352715033461
ACH-000235,-0.0148847494032
ACH-000237,-0.005033885003249999
ACH-000238,-0.103335661095
ACH-000243,-0.016519533168899998
ACH-000244,0.0243387893474
ACH-000246,-0.09590136499089999
ACH-000248,0.0351970165875
ACH-000250,-0.0442668434709
ACH-000251,-0.12720191182499999
ACH-000253,-0.0460322033957
ACH-000255,-0.07255141437789998
ACH-000256,0.053455079232
ACH-000257,0.119510907486
ACH-000258,-0.055145196100500005
ACH-000259,-0.0933452384088
ACH-000260,0.127001126954
ACH-000261,0.004337536403279999
ACH-000262,-0.06987080127060001
ACH-000263,0.12954012660999997
ACH-000264,-0.146935195415
