,HNRNPK (3190)
ACH-000004,-1.6706655680000002
ACH-000007,-1.52242528174
ACH-000009,-1.78842367947
ACH-000011,-1.6470307525799999
ACH-000012,-1.75146905683
ACH-000013,-1.7677149388099997
ACH-000014,-1.90248998781
ACH-000015,-1.7558794429400002
ACH-000017,-2.13337078423
ACH-000018,-1.41820883181
ACH-000019,-1.7397764597099998
ACH-000021,-1.61702918164
ACH-000022,-2.0243868610900004
ACH-000025,-1.58358807223
ACH-000028,-1.7260663195599997
ACH-000030,-1.66532041786
ACH-000035,-1.45710782368
ACH-000036,-1.73154122752
ACH-000037,-2.58025920888
ACH-000039,-1.883836575
ACH-000040,-1.7898317372499999
ACH-000041,-1.83525508836
ACH-000042,-1.60965967616
ACH-000045,-1.83777021604
ACH-000047,-1.96168858129
ACH-000052,-1.51072769588
ACH-000053,-1.56137632859
ACH-000054,-1.8399003373099998
ACH-000055,-1.5503548824700002
ACH-000060,-1.7197349486200002
ACH-000067,-1.7062040190399999
ACH-000070,-2.06720784407
ACH-000075,-1.53946938796
ACH-000078,-1.70775459097
ACH-000082,-2.1248638020299997
ACH-000085,-1.6482819482100002
ACH-000086,-1.60469004926
ACH-000087,-1.47741811651
ACH-000092,-1.83744797933
ACH-000095,-1.92589584933
ACH-000097,-2.00065885561
ACH-000098,-1.5326538303
ACH-000099,-1.6957755186
ACH-000108,-1.6113475640600001
ACH-000113,-2.08943026152
ACH-000115,-2.27585381245
ACH-000116,-1.6935288657799998
ACH-000118,-1.6783894945299997
ACH-000120,-1.71726090961
ACH-000123,-1.6908157920700002
ACH-000127,-1.94501144058
ACH-000128,-1.50608657792
ACH-000132,-1.83415249378
ACH-000133,-1.6082292756099998
ACH-000137,-1.78965072982
ACH-000138,-1.73427146565
ACH-000142,-1.55287965414
ACH-000143,-1.5066666234200001
ACH-000146,-2.25188113629
ACH-000148,-1.6816550369999999
ACH-000150,-1.6929858366400001
ACH-000152,-1.49405853053
ACH-000153,-1.9109300160099998
ACH-000159,-1.9838013850099998
ACH-000160,-1.4840989289700002
ACH-000163,-1.6790934632499999
ACH-000167,-1.2026467148200002
ACH-000168,-1.5773785647299998
ACH-000169,-1.8531336496200002
ACH-000178,-1.6148757054799998
