,USE1 (55850)
ACH-000004,-0.402685428055
ACH-000007,-0.813389053811
ACH-000009,-0.682995173212
ACH-000011,-0.0306957360398
ACH-000012,-0.612524707142
ACH-000013,-0.783466261016
ACH-000014,-0.41089291244099996
ACH-000015,-0.841729855225
ACH-000017,-0.7084763334729999
ACH-000018,-0.378581776097
ACH-000019,-0.827728306724
ACH-000021,-0.5904023578809999
ACH-000022,-0.512564479954
ACH-000025,-0.665033692727
ACH-000028,-0.404430561752
ACH-000030,-0.630170152818
ACH-000035,-0.7221189021240001
ACH-000036,-0.541118191417
ACH-000037,-0.154115522975
ACH-000039,-0.645800019084
ACH-000040,-0.37979779705399996
ACH-000041,-0.45039419528200003
ACH-000042,-0.36977939608099997
ACH-000045,-0.35786798681599996
ACH-000047,-0.285137720601
ACH-000052,-0.533193400972
ACH-000053,-0.428624893602
ACH-000054,-0.401030818248
ACH-000055,-0.342069169049
ACH-000060,-0.306269396844
ACH-000067,-0.46722800545599996
ACH-000070,-0.5352782575199999
ACH-000075,-0.349118662249
ACH-000078,-0.354024453942
ACH-000082,-0.291410349071
ACH-000085,-0.893734542026
ACH-000086,-0.29036411846
ACH-000087,-0.45331193582199997
ACH-000092,-0.156579457289
ACH-000095,-0.337077965201
ACH-000097,-0.434403195145
ACH-000098,-0.893788299656
ACH-000099,-0.551846549424
ACH-000108,-0.263427654835
ACH-000113,-0.446311752778
ACH-000115,-0.47678349865599995
ACH-000116,-0.581672326102
ACH-000118,-0.498265152936
ACH-000120,-0.603681808918
ACH-000123,-0.349869651391
ACH-000127,-0.44116674996699995
ACH-000128,-0.513603943944
ACH-000132,-0.784177384844
ACH-000133,-0.45590826526199996
ACH-000137,-0.630136613005
ACH-000138,-0.627540721249
ACH-000142,-0.43433937965499997
ACH-000143,-0.6532467787640001
ACH-000146,-0.383995944075
ACH-000148,-0.353354529094
ACH-000150,-0.41638360642800004
ACH-000152,-0.560621410304
ACH-000153,-0.831795210284
ACH-000159,-0.685556834227
ACH-000160,-0.603969949373
ACH-000163,-0.233559096454
ACH-000167,-0.450589158055
ACH-000168,-0.492955308586
ACH-000169,-0.618565761765
ACH-000178,-0.7285406060699999
ACH-000182,-0.34764145339100005
ACH-000183,-0.239698668486
ACH-000188,-0.543205431008
ACH-000189,-0.34821027976499996
ACH-000190,-0.783949352623
ACH-000198,-0.421710640463
ACH-000204,-0.539178794401
ACH-000206,-0.70195930036
ACH-000207,-0.483141076126
ACH-000211,-0.486451628543
ACH-000215,-0.551413811312
ACH-000221,-0.955782027355
ACH-000222,-0.283573882905
ACH-000223,-0.5405053084570001
ACH-000226,-0.470656508279
ACH-000227,-1.2657762435700002
ACH-000228,-0.53355356802
ACH-000231,-0.36341549802699996
ACH-000232,-0.438298737523
ACH-000233,-0.815832284799
ACH-000234,-0.340781599903
ACH-000235,-0.411097172648
ACH-000237,-0.21084028843400002
ACH-000238,-0.28206933404199996
ACH-000243,-0.35626064001
ACH-000244,-0.637129461637
ACH-000246,-0.33454480115400004
ACH-000248,-0.673032971027
ACH-000250,-0.599350076241
ACH-000251,-0.761307819194
ACH-000253,-0.677542089715
ACH-000255,-0.596286712771
ACH-000256,-0.218735081919
ACH-000257,-0.617747205515
ACH-000258,-0.118603936924
ACH-000259,-0.49775519960000003
ACH-000260,-0.362391087856
ACH-000261,-0.646918458513
ACH-000262,-0.44547880331699996
ACH-000263,-0.255750402649
ACH-000264,-0.24369298636
ACH-000265,-0.370487669004
ACH-000266,-0.608704188207
ACH-000272,-0.53326662482
ACH-000273,-0.579951373697
ACH-000274,-0.39079357381700003
ACH-000277,-0.0278858977
ACH-000278,-0.34256605260799994
ACH-000279,-0.22698377218600002
ACH-000280,-0.662627193463
ACH-000281,-0.445703057414
ACH-000288,-0.487143290083
ACH-000291,-0.689408973751
ACH-000293,-0.346204510471
ACH-000294,-0.8412007881820001
ACH-000295,-0.515036097063
ACH-000296,-0.586946803752
ACH-000302,-0.624053785837
ACH-000304,-0.372483997596
ACH-000307,-0.821486764804
ACH-000308,-0.41814258017300004
ACH-000310,-0.402619245058
ACH-000311,-0.6954291768449999
ACH-000312,-0.461505056365
ACH-000315,-0.370872950805
ACH-000316,-0.43099602588299996
ACH-000317,-0.0881203581933
ACH-000318,-0.48499270290799995
ACH-000319,-0.78561830522
ACH-000320,-0.34429393346500003
ACH-000322,-0.30045232252099996
ACH-000323,-0.254717684544
ACH-000324,-0.494332339314
ACH-000329,-0.431968140505
ACH-000330,-0.8939643347830001
ACH-000331,-0.569337075278
ACH-000332,-0.724078645197
ACH-000334,-0.184113322538
ACH-000335,-0.552811337034
ACH-000336,-0.22573768140500003
ACH-000337,-0.935401382377
ACH-000339,-0.573715016366
ACH-000341,-0.225210671171
ACH-000348,-0.458209634811
ACH-000350,-0.233236940708
ACH-000352,-0.448999713214
ACH-000356,-0.933523692435
ACH-000361,-0.5115298014899999
ACH-000362,-0.296184237901
ACH-000363,-0.769829555944
ACH-000364,-0.808964585899
ACH-000365,-0.48969961974
ACH-000366,-0.9755220496700001
ACH-000368,-0.695324102458
ACH-000374,-0.354022793742
ACH-000375,-0.544512055746
ACH-000376,-0.422656831502
ACH-000381,-0.181341132246
ACH-000383,-0.37405579683300005
ACH-000387,-0.167944044732
