,PCBP2 (5094)
ACH-000004,-1.8405701131099999
ACH-000007,-1.4665392279499998
ACH-000009,-1.48192349034
ACH-000011,-1.14355827245
ACH-000012,-1.42046242692
ACH-000013,-1.45319990228
ACH-000014,-1.06993158092
ACH-000015,-1.4695330065099999
ACH-000017,-1.3157037071
ACH-000018,-1.4765230258700002
ACH-000019,-1.51433491683
ACH-000021,-1.25190125456
ACH-000022,-1.5670753421399999
ACH-000025,-1.4184181469100001
ACH-000028,-1.43700175917
ACH-000030,-1.6231299341999998
ACH-000035,-1.4118136759200002
ACH-000036,-1.30266290114
ACH-000037,-1.4945747290399998
ACH-000039,-1.7439403798900002
ACH-000040,-1.6890474579299999
ACH-000041,-0.838430873895
ACH-000042,-1.39269485961
ACH-000045,-1.34492102326
ACH-000047,-1.4895448117399999
ACH-000052,-1.5895555675600002
ACH-000053,-1.2808144169
ACH-000054,-1.41822198652
ACH-000055,-1.33583264441
ACH-000060,-1.22818408845
ACH-000067,-1.75517515387
ACH-000070,-1.25588976433
ACH-000075,-1.14048512934
ACH-000078,-1.30464208145
ACH-000082,-1.7414907831200002
ACH-000085,-1.69325139345
ACH-000086,-1.2968448185700001
ACH-000087,-1.23587583263
ACH-000092,-1.6589868490900002
ACH-000095,-0.9757635035269999
ACH-000097,-1.9196310811900001
ACH-000098,-1.3938974137600002
ACH-000099,-1.2888190407200002
ACH-000108,-1.46269266933
ACH-000113,-1.34076114598
ACH-000115,-1.52177741869
ACH-000116,-1.5370516986899998
ACH-000118,-1.19069634854
ACH-000120,-1.65794624329
ACH-000123,-1.3469631362999999
ACH-000127,-1.67325382875
ACH-000128,-1.14012883628
ACH-000132,-0.640873250601
ACH-000133,-1.54888395368
ACH-000137,-1.3735163736899998
ACH-000138,-1.54037815433
ACH-000142,-1.60891866522
ACH-000143,-1.6464101626899998
ACH-000146,-1.56668147044
ACH-000148,-1.4449563630200002
ACH-000150,-1.60687263731
ACH-000152,-1.7670776184299999
ACH-000153,-1.9269933014700003
ACH-000159,-1.27064736889
ACH-000160,-1.9608904029900003
ACH-000163,-1.3100787434399999
ACH-000167,-1.5378059988
