,DTYMK (1841)
ACH-000004,-1.72525859472
ACH-000007,-1.37684375352
ACH-000009,-1.4896433406999998
ACH-000011,-1.74727034473
ACH-000012,-1.56834438309
ACH-000013,-0.523037081898
ACH-000014,-1.8289406987599999
ACH-000015,-1.5878160295800001
ACH-000017,-1.94268858563
ACH-000018,-1.6339717519999999
ACH-000019,-1.6113130256200001
ACH-000021,-1.6530097887600002
ACH-000022,-2.1172031114200003
ACH-000025,-1.5420420320700001
ACH-000028,-1.56293287526
ACH-000030,-1.59200892064
ACH-000035,-1.15557007705
ACH-000036,-1.85972611333
ACH-000037,-0.843419084512
ACH-000039,-1.8333555853799999
ACH-000040,-1.05356081266
ACH-000041,-1.76278476228
ACH-000042,-1.8169646469
ACH-000045,-1.60418000498
ACH-000047,-1.76337965009
ACH-000052,-1.2713982770799999
ACH-000053,-1.7790902373500002
ACH-000054,-1.6699450696399998
ACH-000055,-1.1553896323700001
ACH-000060,-1.4693747021399999
ACH-000067,-1.37025387507
ACH-000070,-1.8797155322299999
ACH-000075,-0.8010734873980001
ACH-000078,-1.5505262924899998
ACH-000082,-0.807654505487
ACH-000085,-1.39387606764
ACH-000086,-0.477935355634
ACH-000087,-1.5260394238
ACH-000092,-1.75484917085
ACH-000095,-1.8326669586500002
ACH-000097,-1.72964028667
ACH-000098,-0.540369942321
ACH-000099,-1.58745518595
ACH-000108,-1.61679870962
ACH-000113,-1.5240200357799998
ACH-000115,-2.46880313011
ACH-000116,-1.18968166367
ACH-000118,-1.32413605548
ACH-000120,-1.29214322643
ACH-000123,-1.50237033875
ACH-000127,-1.7961823513
ACH-000128,-1.67715566824
ACH-000132,-0.950077708784
ACH-000133,-1.59474231526
ACH-000137,-1.36227266907
ACH-000138,-1.7792769568200002
ACH-000142,-1.74979728465
ACH-000143,-1.40784618038
ACH-000146,-2.26898969552
ACH-000148,-0.6954699265180001
ACH-000150,-0.9602801768000001
ACH-000152,-1.9253709697799999
ACH-000153,-0.5179804348879999
ACH-000159,-1.75396179907
ACH-000160,-1.27677855924
ACH-000163,-0.7009548859870001
ACH-000167,-1.6223883762
ACH-000168,-1.84374816657
ACH-000169,-1.6426152518700001
ACH-000178,-1.71148115815
ACH-000182,-1.63282238667
ACH-000183,-1.7082762170899999
ACH-000188,-1.59218506644
ACH-000189,-1.67989523257
ACH-000190,-1.13914819597
ACH-000198,-1.7268840991699999
ACH-000204,-1.2937219534
ACH-000206,-1.77426479005
ACH-000207,-2.1186370127900003
ACH-000211,-1.32875685439
ACH-000215,-1.3726288323
ACH-000221,-1.13708387407
ACH-000222,-1.54598247026
ACH-000223,-2.2314188842400005
ACH-000226,-1.57753824689
ACH-000227,-1.8259334230200002
ACH-000228,-1.48436286272
ACH-000231,-1.76986309977
ACH-000232,-1.5144902892899998
ACH-000233,-1.79133807485
ACH-000234,-2.1667136715599997
ACH-000235,-1.8759250617400003
ACH-000237,-0.9248531336939999
ACH-000238,-1.32162947345
ACH-000243,-1.52530261027
ACH-000244,-0.938385334887
ACH-000246,-1.25828035577
ACH-000248,-1.66119842888
ACH-000250,-1.7824755965
ACH-000251,-1.6957590675100003
ACH-000253,-1.67495393812
ACH-000255,-0.7710411996619999
ACH-000256,-1.40331381149
ACH-000257,-2.02289686725
ACH-000258,-1.52322865256
ACH-000259,-1.7726444723199999
ACH-000260,-1.53308337214
ACH-000261,-1.57745502424
ACH-000262,-1.4447280925100001
ACH-000263,-1.9773606660900003
ACH-000264,-1.18450435609
ACH-000265,-1.41978748787
ACH-000266,-1.8665969114900003
ACH-000272,-1.90331335955
ACH-000273,-1.6199591606000001
ACH-000274,-1.7758464647999999
ACH-000277,-1.7225952066699999
ACH-000278,-1.5216558661300001
ACH-000279,-1.84776796058
ACH-000280,-1.4376375988799999
ACH-000281,-1.55689332885
ACH-000288,-1.82561254746
ACH-000291,-0.794590234447
ACH-000293,-1.5014921696599999
ACH-000294,-1.76686940908
ACH-000295,-1.60813527021
