,TNFRSF10A (8797)
ACH-000004,0.0299196118958
ACH-000007,-0.06931019796
ACH-000009,0.125814084433
ACH-000011,0.176248929017
ACH-000012,-0.0397919836058
ACH-000013,0.205087504619
ACH-000014,0.122649490768
ACH-000015,0.113193062693
ACH-000017,0.153609662066
ACH-000018,0.26957359367199996
ACH-000019,0.178004530291
ACH-000021,0.113982765548
ACH-000022,0.07461377454969999
ACH-000025,0.16417910683700002
ACH-000028,0.0388867111108
ACH-000030,0.08133373332539999
ACH-000035,0.055227361180199996
ACH-000036,0.147169341516
ACH-000037,0.0514560236876
ACH-000039,0.07807533546869999
ACH-000040,0.057448086393300006
ACH-000041,0.0323644664782
ACH-000042,0.0640559994666
ACH-000045,-0.0365940650023
ACH-000047,0.0302965806473
ACH-000052,0.120705217281
ACH-000053,0.135118216786
ACH-000054,0.147745837951
ACH-000055,0.156351804362
ACH-000060,0.0859852073986
ACH-000067,0.175978567972
ACH-000070,0.048195620566099995
ACH-000075,0.156357977005
ACH-000078,0.042343051790399995
ACH-000082,0.013524718061
ACH-000085,0.133472590108
ACH-000086,0.121147066784
ACH-000087,0.247044881355
ACH-000092,0.139077595863
ACH-000095,0.113845221621
ACH-000097,0.0410546589719
ACH-000098,0.20143174654399998
ACH-000099,0.0764796550275
ACH-000108,0.06828258409919999
ACH-000113,0.08988438023970001
ACH-000115,0.063633062265
ACH-000116,0.177273663904
ACH-000118,0.10954923264000001
ACH-000120,-0.12033235685
ACH-000123,0.12688523319199999
ACH-000127,0.12544853036800002
ACH-000128,0.197331131948
ACH-000132,0.050408102760399996
ACH-000133,0.11863748800200001
ACH-000137,0.242086472905
ACH-000138,0.135415336383
ACH-000142,0.387749096487
ACH-000143,0.144392330161
ACH-000146,0.0657704231372
ACH-000148,0.136894816979
ACH-000150,0.07476526045239999
ACH-000152,0.203553750416
ACH-000153,-0.051291304114
ACH-000159,0.017935056823
ACH-000160,-0.0694504229836
ACH-000163,0.138222740371
ACH-000167,0.134865725976
ACH-000168,-0.202933182304
ACH-000169,0.165973123835
ACH-000178,0.175423388277
ACH-000182,0.101436184196
ACH-000183,0.144461288836
ACH-000188,0.116952021971
ACH-000189,0.293207373919
ACH-000190,0.0998302117659
ACH-000198,0.0418694249139
ACH-000204,0.337870758868
ACH-000206,-0.08379707736160001
ACH-000207,0.209618632375
ACH-000211,0.0843949007288
ACH-000215,0.0761368181737
