,AIMP1 (9255)
ACH-000004,-0.10714454981
ACH-000007,-0.122739185565
ACH-000009,-0.220086887567
ACH-000011,0.175205825856
ACH-000012,-0.172411351414
ACH-000013,-0.015081971044000001
ACH-000014,-0.20459895011
ACH-000015,-0.135503225995
ACH-000017,-0.224825828303
ACH-000018,-0.182214499502
ACH-000019,-0.08702104349999999
ACH-000021,-0.06297289796330001
ACH-000022,-0.08063873238439999
ACH-000025,-0.155436083079
ACH-000028,-0.0717156002418
ACH-000030,-0.0496067316917
ACH-000035,-0.111104166992
ACH-000036,-0.0582174646015
ACH-000037,-0.118621010091
ACH-000039,0.036767577847
ACH-000040,-0.0726568750555
ACH-000041,-0.399574799292
ACH-000042,-0.13247035402000001
ACH-000045,0.11076339358300001
ACH-000047,-0.15595405626599998
ACH-000052,-0.0739813020191
ACH-000053,0.029760501858200002
ACH-000054,-0.329875873972
ACH-000055,0.0144302542205
ACH-000060,-0.161864669792
ACH-000067,-0.33814048647399997
ACH-000070,-0.134540249232
ACH-000075,-0.0253787709982
ACH-000078,-0.08279947660680001
ACH-000082,-0.259275100656
ACH-000085,0.118838221678
ACH-000086,-0.0645366423415
ACH-000087,-0.18368106316
ACH-000092,-0.174029218315
ACH-000095,-0.22343079358000004
ACH-000097,-0.127745523728
ACH-000098,-0.08713216202
ACH-000099,-0.152805310981
ACH-000108,-0.0714841233958
ACH-000113,-0.013373463995000001
ACH-000115,-0.192444207022
ACH-000116,-0.0840509741853
ACH-000118,-0.07467200501730001
ACH-000120,-0.22665595535
ACH-000123,-0.05546733509480001
ACH-000127,-0.149454557447
ACH-000128,-0.031518737139400003
ACH-000132,-0.18607453747000002
ACH-000133,-0.18449031603500002
ACH-000137,-0.0241394725748
ACH-000138,0.0933686576182
ACH-000142,-0.0010414271774600002
ACH-000143,-0.23933578607900002
ACH-000146,-0.07639551621339999
ACH-000148,-0.0409852209932
ACH-000150,-0.111730030705
ACH-000152,-0.07193284356980001
ACH-000153,0.0779771709729
ACH-000159,-0.249227659691
ACH-000160,0.194362882925
ACH-000163,-0.257222694884
ACH-000167,-0.142756929996
ACH-000168,-0.0268601620133
ACH-000169,-0.0978365855158
ACH-000178,0.0713694685562
ACH-000182,0.0042679489682
ACH-000183,-0.0936596638439
ACH-000188,-0.0697541401592
ACH-000189,0.45582411993999994
ACH-000190,-0.20090439186200001
ACH-000198,-0.0384500711843
ACH-000204,-0.200839859899
ACH-000206,-0.046174443830199995
ACH-000207,-0.0272349922907
ACH-000211,-0.294636126267
ACH-000215,-0.0852966016427
ACH-000221,-0.232732919293
ACH-000222,-0.13537514102499998
ACH-000223,-0.022129941023499997
ACH-000226,-0.246721071891
ACH-000227,-0.0782531930937
ACH-000228,0.00362881552913
ACH-000231,-0.155226899065
ACH-000232,0.0132237192001
