,GATAD1 (57798)
ACH-000004,-0.33294458272599997
ACH-000007,-0.323770968419
ACH-000009,-0.06348991366790001
ACH-000011,-0.169939194819
ACH-000012,-0.381633171251
ACH-000013,-0.19005524072799998
ACH-000014,-0.31757891345
ACH-000015,-0.00331809918202
ACH-000017,0.0060791729312599995
ACH-000018,-0.388081873399
ACH-000019,-0.50103184515
ACH-000021,-0.48230923343800003
ACH-000022,-0.19604833746599998
ACH-000025,-0.238128753417
ACH-000028,-0.45091131718099997
ACH-000030,-0.0529979278072
ACH-000035,-0.280506373651
ACH-000036,-0.305361990143
ACH-000037,-0.335282793204
ACH-000039,-0.239012414736
ACH-000040,-0.272962664981
ACH-000041,-0.190694440579
ACH-000042,-0.39924157773
ACH-000045,-0.532601407135
ACH-000047,-0.356463257317
ACH-000052,-0.337554083618
ACH-000053,-0.344696742231
ACH-000054,-0.262972101615
ACH-000055,-0.36139528681599997
ACH-000060,-0.257784561374
ACH-000067,-0.209641501536
ACH-000070,-0.416719678903
ACH-000075,-0.306930133453
ACH-000078,-0.390191142881
ACH-000082,-0.329303685319
ACH-000085,-0.293082388287
ACH-000086,-0.251041299803
ACH-000087,-0.22549222083700002
ACH-000092,-0.125386739558
ACH-000095,-0.21803338509700002
ACH-000097,-0.226581541665
ACH-000098,-0.0693386075754
ACH-000099,-0.459883347757
ACH-000108,-0.324564229353
ACH-000113,-0.34908397137599995
ACH-000115,-0.31660011724
ACH-000116,-0.109885816381
ACH-000118,-0.408252172561
ACH-000120,-0.19624677114999997
ACH-000123,-0.260335661434
ACH-000127,-0.409274722119
ACH-000128,-0.16892658620499998
ACH-000132,-0.202198013785
ACH-000133,-0.377439648329
ACH-000137,-0.169492321457
ACH-000138,-0.162676599521
ACH-000142,-0.34247720625699996
ACH-000143,0.00352889951566
ACH-000146,-0.18400201124200002
ACH-000148,-0.32931176466699996
ACH-000150,-0.0738354255475
ACH-000152,-0.38725529126599995
ACH-000153,-0.578934097896
ACH-000159,-0.294337712809
ACH-000160,-0.18466921673300002
ACH-000163,-0.196641285497
ACH-000167,0.12906904324000001
ACH-000168,-0.46011369594499996
ACH-000169,-0.35660317376100004
ACH-000178,-0.577141073977
ACH-000182,-0.28224679485
ACH-000183,-0.277972282632
ACH-000188,-0.160233800694
ACH-000189,-0.13617080907600002
ACH-000190,0.07546592586249999
ACH-000198,-0.352851929533
ACH-000204,-0.45767997901999996
ACH-000206,-0.248205585799
ACH-000207,-0.301495400059
ACH-000211,-0.450708812217
ACH-000215,-0.1559566187
ACH-000221,-0.220977638379
ACH-000222,-0.49530541976000003
ACH-000223,-0.207534635254
ACH-000226,-0.442683077697
ACH-000227,-0.29857177053899997
ACH-000228,-0.205607642643
ACH-000231,-0.170965269868
ACH-000232,-0.281006590038
ACH-000233,-0.176158317564
ACH-000234,-0.111390235031
ACH-000235,-0.30956371430199997
ACH-000237,-0.479720726162
ACH-000238,-0.49079246842
ACH-000243,-0.266512036597
ACH-000244,-0.137993800637
ACH-000246,-0.156005295363
ACH-000248,-0.312952959377
ACH-000250,-0.343500053118
ACH-000251,-0.229190981672
ACH-000253,-0.41171680732199994
ACH-000255,-0.24345993210900002
ACH-000256,-0.210962304708
ACH-000257,-0.30091002940699996
ACH-000258,-0.286470042541
ACH-000259,-0.130351600201
ACH-000260,-0.36358646867600003
ACH-000261,-0.235610327403
ACH-000262,0.283982528979
ACH-000263,-0.0119711473994
ACH-000264,-0.332144558815
ACH-000265,-0.0845108338216
ACH-000266,-0.476684448051
ACH-000272,-0.220832351534
ACH-000273,0.099214251172
ACH-000274,-0.509373230523
ACH-000277,-0.0854788014962
ACH-000278,-0.223580240585
ACH-000279,-0.22123062080400002
ACH-000280,-0.018120958057099998
ACH-000281,-0.37331422667499997
ACH-000288,-0.0716058218205
ACH-000291,-0.009102964148610001
ACH-000293,-0.35818186643399996
ACH-000294,-0.22814519991999999
ACH-000295,-0.117841350054
ACH-000296,-0.38317317084200003
ACH-000302,-0.282025684135
ACH-000304,-0.439070601395
