,DNM2 (1785)
ACH-000004,-1.52617831378
ACH-000007,-1.1438972631
ACH-000009,-0.999389393942
ACH-000011,-0.508624081649
ACH-000012,-1.38104060882
ACH-000013,-0.7702082215899999
ACH-000014,-1.5602843023299997
ACH-000015,-1.0984542538700002
ACH-000017,-1.5958197676700001
ACH-000018,-1.365423698
ACH-000019,-1.43433634016
ACH-000021,-1.40438551009
ACH-000022,-1.21561432269
ACH-000025,-1.13245506762
ACH-000028,-0.9353933266869999
ACH-000030,-1.3758720935
ACH-000035,-1.3523127610799999
ACH-000036,-1.1945781368100001
ACH-000037,-1.02124015536
ACH-000039,-1.5164451503799998
ACH-000040,-1.2098034788299998
ACH-000041,-1.35489161793
ACH-000042,-0.6941913411339999
ACH-000045,-1.34847754283
ACH-000047,-0.828947012281
ACH-000052,-0.942662218754
ACH-000053,-1.6460419790799998
ACH-000054,-1.16287668702
ACH-000055,-1.1181540425299998
ACH-000060,-0.7407910395239999
ACH-000067,-0.831132660466
ACH-000070,-1.16910159874
ACH-000075,-0.711763493656
ACH-000078,-0.534637293857
ACH-000082,-0.856028116584
ACH-000085,-1.3471695593700002
ACH-000086,-1.032447666
ACH-000087,-1.1782534733499999
ACH-000092,-0.9923721399299998
ACH-000095,-0.831929849033
ACH-000097,-1.40751698019
ACH-000098,-1.20376672484
ACH-000099,-0.414039534274
ACH-000108,-1.09055378708
ACH-000113,-1.4595735577000002
ACH-000115,-2.29939289361
ACH-000116,-1.39502502709
ACH-000118,-0.9748210339650001
ACH-000120,-0.510690978555
ACH-000123,-1.1023520619299998
ACH-000127,-1.3600764194600001
ACH-000128,-0.519966154272
ACH-000132,-1.1303371953599999
ACH-000133,-1.32338296049
ACH-000137,-0.8991967056119999
ACH-000138,-1.4547083934099998
ACH-000142,-1.4953298195299998
ACH-000143,-0.766475615628
ACH-000146,-2.0945464388499997
ACH-000148,-0.84565473872
ACH-000150,-1.3449713856999999
ACH-000152,-1.39734151341
ACH-000153,-0.820694945913
ACH-000159,-0.9086218211310001
ACH-000160,-1.29868283381
ACH-000163,-0.217751946847
ACH-000167,-1.75031097575
ACH-000168,-2.2051188259
ACH-000169,-0.8811427599439999
ACH-000178,-1.39046462122
ACH-000182,-0.429654027695
ACH-000183,-1.27020056126
ACH-000188,-1.64094287987
ACH-000189,-1.5808642586200001
ACH-000190,-1.4024721700100002
ACH-000198,-1.1794806671100002
ACH-000204,-1.21230440878
ACH-000206,-1.6803703318
ACH-000207,-1.44757168071
ACH-000211,-0.9587114914899999
ACH-000215,-1.53372788724
ACH-000221,-1.31080772611
ACH-000222,-0.918663750175
ACH-000223,-1.29777108595
ACH-000226,-1.32287260638
ACH-000227,-0.677700922818
ACH-000228,-1.13090281198
ACH-000231,-1.1685532302200001
ACH-000232,-1.45211302968
ACH-000233,-1.76349608311
ACH-000234,-1.04343871736
ACH-000235,-1.53305784229
ACH-000237,-1.4479597611200001
ACH-000238,-1.21071471802
ACH-000243,-1.08527156418
ACH-000244,-1.4892077245500002
ACH-000246,-0.396026884413
ACH-000248,-1.54195979985
ACH-000250,-1.4798936287
ACH-000251,-0.7553043855920001
ACH-000253,-1.5671261421200002
ACH-000255,-1.0412993370299999
ACH-000256,-1.3443363329499998
ACH-000257,-0.700590600329
ACH-000258,-0.373922543451
ACH-000259,-0.532893014936
ACH-000260,-0.930994435528
ACH-000261,-0.8572536368539999
ACH-000262,-0.9951524120190001
ACH-000263,-2.0368197116699998
ACH-000264,-1.3244753382799999
ACH-000265,-0.993400424048
ACH-000266,-1.2614454086700002
ACH-000272,-0.710659033848
ACH-000273,-1.45539743689
ACH-000274,-1.6655309472100002
ACH-000277,-1.5007883211500002
ACH-000278,-1.3859442695500002
ACH-000279,-1.32230646701
ACH-000280,-1.5104070009000001
ACH-000281,-1.1873292112
ACH-000288,-1.5347649278400002
