,PIEZO1 (9780)
ACH-000004,-0.441127659266
ACH-000007,-0.08361065429600001
ACH-000009,0.012599936449100001
ACH-000011,-0.291941316774
ACH-000012,-0.146254023069
ACH-000013,-0.10816482317500001
ACH-000014,-0.29439692186099997
ACH-000015,-0.125854712151
ACH-000017,-0.006180383261339999
ACH-000018,-0.293176257277
ACH-000019,0.137201378541
ACH-000021,-0.06249807004369999
ACH-000022,0.027977960439299995
ACH-000025,-0.367556310687
ACH-000028,0.0543225293002
ACH-000030,-0.142609953939
ACH-000035,-0.0519092685628
ACH-000036,-0.29402404496199996
ACH-000037,-0.38322437744099996
ACH-000039,-0.33812508484399995
ACH-000040,-0.16582646350400002
ACH-000041,0.221769022304
ACH-000042,-0.26092169557399997
ACH-000045,-0.198032020338
ACH-000047,-0.186820334941
ACH-000052,-0.446223688908
ACH-000053,-0.0651989998378
ACH-000054,-0.00882046085416
ACH-000055,-0.382730311163
ACH-000060,-0.13489887044999999
ACH-000067,-0.308230024474
ACH-000070,-0.0444865534918
ACH-000075,-0.23696952475400002
ACH-000078,-0.169938800414
ACH-000082,-0.290070712756
ACH-000085,-0.00888134730425
ACH-000086,-0.311856518939
ACH-000087,-0.0343614182031
ACH-000092,-0.18470503054
ACH-000095,-0.207305742906
ACH-000097,-0.107125636905
ACH-000098,-0.166545134341
ACH-000099,-0.209715111985
ACH-000108,-0.41330714895099996
ACH-000113,-0.309872058417
ACH-000115,-0.0493929880782
ACH-000116,-0.21067041036200002
ACH-000118,-0.156111681161
ACH-000120,-0.329536482997
ACH-000123,-0.0552242180714
ACH-000127,-0.366039440313
ACH-000128,-0.388277919174
ACH-000132,-3.22214483939e-05
ACH-000133,-0.27301951163000004
ACH-000137,-0.328354322584
ACH-000138,-0.437943029837
ACH-000142,-0.258461395413
ACH-000143,-0.0342667816903
ACH-000146,-0.06418631027
ACH-000148,-0.183430735924
ACH-000150,-0.13473937624399998
ACH-000152,-0.21916406025899998
ACH-000153,-0.0672362140386
ACH-000159,-0.340789331523
ACH-000160,0.0787682084528
ACH-000163,-0.11173071165699999
ACH-000167,-0.000993608372433
ACH-000168,-0.31907163982700004
ACH-000169,-0.193425820916
ACH-000178,-0.302560054133
ACH-000182,-0.04467730350880001
ACH-000183,0.09376274310080002
ACH-000188,-0.23205881408000004
ACH-000189,-0.349633179643
ACH-000190,-0.161089871421
ACH-000198,-0.110015468893
ACH-000204,0.148492317791
ACH-000206,-0.34222869604999995
ACH-000207,-0.414455876081
ACH-000211,-0.20271531708
ACH-000215,-0.328799812646
ACH-000221,-0.506194438637
ACH-000222,-0.348319445097
ACH-000223,-0.184604648283
ACH-000226,-0.0244162908173
ACH-000227,-0.297300749729
ACH-000228,-0.261868571118
ACH-000231,-0.203248179452
ACH-000232,-0.236094156269
ACH-000233,-0.167028477372
ACH-000234,-0.180082060953
