,CEBPE (1053)
ACH-000004,-0.223341544261
ACH-000007,-0.49372079751500003
ACH-000009,-0.263960843917
ACH-000011,-0.335192240909
ACH-000012,-0.35853222740999996
ACH-000013,-0.19507483114
ACH-000014,-0.32103782290399996
ACH-000015,-0.254135543227
ACH-000017,-0.557919576923
ACH-000018,-0.340927470307
ACH-000019,-0.193859500185
ACH-000021,-0.395084094149
ACH-000022,-0.313921161753
ACH-000025,-0.37482717021300005
ACH-000028,-0.280883909016
ACH-000030,-0.34575026250299995
ACH-000035,-0.16349665069299998
ACH-000036,-0.23495263153
ACH-000037,-0.144238707753
ACH-000039,-0.187049284804
ACH-000040,-0.35022639706299996
ACH-000041,-0.267114079226
ACH-000042,-0.136972577262
ACH-000045,-0.277768663411
ACH-000047,-0.33817303344099997
ACH-000052,-0.278887373803
ACH-000053,-0.242802174865
ACH-000054,-0.286728629121
ACH-000055,-0.037843613456800006
ACH-000060,-0.254385742584
ACH-000067,-0.376380912056
ACH-000070,-0.13459674292999999
ACH-000075,-0.38898463306500003
ACH-000078,-0.16247346200999999
ACH-000082,-0.166641146708
ACH-000085,-0.251218914797
ACH-000086,-0.18159067694400002
ACH-000087,-0.335029334608
ACH-000092,-0.28696400958900004
ACH-000095,-0.396953582919
ACH-000097,-0.289514538151
ACH-000098,-0.308344517593
ACH-000099,-0.395582927689
ACH-000108,-0.239116755841
ACH-000113,-0.474187706236
ACH-000115,-0.3183265098
ACH-000116,-0.265151004052
ACH-000118,-0.477633806448
ACH-000120,-0.288682376799
ACH-000123,-0.362542271759
ACH-000127,-0.31195612485999996
ACH-000128,-0.24262066606999996
ACH-000132,-0.0882417448818
ACH-000133,-0.314381163497
ACH-000137,-0.285517986477
ACH-000138,-0.12397228553400001
ACH-000142,-0.107804709734
ACH-000143,-0.145028153188
ACH-000146,-0.256917839165
ACH-000148,-0.234364738025
ACH-000150,0.021340483511200003
ACH-000152,-0.353441307963
ACH-000153,-0.36112421774000003
ACH-000159,-0.31500393598000004
ACH-000160,-0.671902333101
ACH-000163,-0.309858280266
ACH-000167,-0.20716243766399997
ACH-000168,-1.20417321006
ACH-000169,-0.182466724641
ACH-000178,-0.328002883887
ACH-000182,-0.342837229032
ACH-000183,-0.275284655692
ACH-000188,-0.175181601769
ACH-000189,-0.451427229473
ACH-000190,-0.19519692924100002
ACH-000198,-0.225112712557
ACH-000204,-0.44023785613899996
ACH-000206,0.00265027416532
ACH-000207,-0.302531568193
ACH-000211,-0.402265553012
ACH-000215,-0.282629570741
ACH-000221,-0.29686651097399996
ACH-000222,-0.23820483632699999
ACH-000223,0.00523177057415
ACH-000226,-0.332235057835
ACH-000227,0.040588595743499996
ACH-000228,-0.355323157941
ACH-000231,-0.22181779318599998
ACH-000232,-0.229033703363
ACH-000233,-0.18758902858399998
ACH-000234,-0.222428265526
ACH-000235,-0.274711175286
ACH-000237,0.00534969485491
ACH-000238,-0.157186253123
ACH-000243,-0.50154230723
ACH-000244,0.143298980727
ACH-000246,-0.39867735821999994
ACH-000248,-0.5400921364060001
ACH-000250,-0.409831774118
ACH-000251,-0.11520093399800001
ACH-000253,-0.249685748705
ACH-000255,-0.24988483669
ACH-000256,-0.163851497242
ACH-000257,-0.471944688251
ACH-000258,-0.178538362685
ACH-000259,-0.284740813094
ACH-000260,-0.330413201717
ACH-000261,-0.317732506774
ACH-000262,-0.462044288741
ACH-000263,-1.22249881999
ACH-000264,-0.279672951507
ACH-000265,-0.246751395832
ACH-000266,-0.276099201324
ACH-000272,-0.282911192503
ACH-000273,-0.20352608065000002
ACH-000274,-0.0504012691864
ACH-000277,-0.224980684826
ACH-000278,-0.336238418336
ACH-000279,-0.29680722841999996
ACH-000280,-0.278983605195
ACH-000281,-0.266131230326
ACH-000288,-0.326794637946
ACH-000291,-0.186355171629
ACH-000293,-0.15193758411900002
ACH-000294,-0.8199582370209999
ACH-000295,-0.463180819712
ACH-000296,-0.280223744576
ACH-000302,-0.18537049076200002
ACH-000304,-0.362120670345
ACH-000307,-0.32693697034499997
ACH-000308,-0.250221678469
ACH-000310,-0.12325904207999999
ACH-000311,-0.290248199938
ACH-000312,-0.35572098299599997
ACH-000315,-0.20774979910500002
ACH-000316,-0.140562779617
ACH-000317,-0.36915278901500004
ACH-000318,-0.436276708301
ACH-000319,-0.111466495015
ACH-000320,-0.310069406617
ACH-000322,-0.170637875528
ACH-000323,-0.316078637795
ACH-000324,-0.319726068126
ACH-000329,-0.0628120468245
ACH-000330,-0.421258960045
ACH-000331,-0.122560475267
ACH-000332,-0.209719439445
ACH-000334,-0.412705069242
ACH-000335,-0.21132759773899998
ACH-000336,-0.220899879443
ACH-000337,-0.407074586293
ACH-000339,-0.33430224826
ACH-000341,-0.338824040176
ACH-000348,-0.340081491337
ACH-000350,-0.44052368305
ACH-000352,-0.259585419735
ACH-000356,-0.47554343399
ACH-000361,-0.239006947123
ACH-000362,-0.274699594426
ACH-000363,-0.305190046384
ACH-000364,-0.175508777645
ACH-000365,-0.18575840587200002
ACH-000366,-0.294310337972
ACH-000368,-0.333407046446
ACH-000374,-0.027359634749599997
ACH-000375,-0.429305919894
ACH-000376,-0.315272508986
ACH-000381,-0.166749816034
ACH-000383,-0.23686090672
ACH-000387,-0.271755127456
ACH-000389,-0.219961865749
ACH-000390,-0.439239321016
ACH-000393,-0.579369207253
ACH-000395,-0.172633535147
ACH-000397,-0.295394109357
ACH-000401,-0.314372949947
ACH-000402,-0.34469978976300003
ACH-000403,-0.252792774464
ACH-000404,-0.302961952574
ACH-000406,-0.326870488274
ACH-000407,-0.35061045424500004
ACH-000408,-0.226358619938
ACH-000410,-0.297964481634
ACH-000411,-0.22754182376999996
ACH-000414,-0.302155881483
ACH-000415,-0.179093022247
ACH-000416,-0.16382637738
ACH-000420,-0.167360023035
ACH-000421,-0.188961871712
ACH-000424,-0.238200228501
