,ATP6V0C (527)
ACH-000004,-1.83445605504
ACH-000007,-1.940999775
ACH-000009,-1.6675440561500001
ACH-000011,-1.63514180141
ACH-000012,-1.76247172164
ACH-000013,-1.5374105630000001
ACH-000014,-2.10799166855
ACH-000015,-1.8020236563799998
ACH-000017,-2.04296796378
ACH-000018,-1.67911425789
ACH-000019,-1.8349250738
ACH-000021,-1.67321159443
ACH-000022,-1.65706569625
ACH-000025,-1.9108693541
ACH-000028,-1.7408552981599998
ACH-000030,-1.8001229081299999
ACH-000035,-1.60742313604
ACH-000036,-1.64074490199
ACH-000037,-1.79427457902
ACH-000039,-1.95606141032
ACH-000040,-1.72146765675
ACH-000041,-1.5811211638299998
ACH-000042,-1.41536190283
ACH-000045,-1.9566259713299998
ACH-000047,-1.83637813176
ACH-000052,-1.7898901652599999
ACH-000053,-1.82061513397
ACH-000054,-1.96735136088
ACH-000055,-1.9172875995599996
ACH-000060,-1.5228537539899998
ACH-000067,-1.59228721374
ACH-000070,-2.15733940586
ACH-000075,-1.9618659169400001
ACH-000078,-1.90045756937
ACH-000082,-1.78779151749
ACH-000085,-1.5039936177200002
ACH-000086,-1.54355559085
ACH-000087,-1.5997119612000001
ACH-000092,-1.61772998064
ACH-000095,-2.11860679715
ACH-000097,-1.7936923411599999
ACH-000098,-1.8731765018200002
ACH-000099,-1.6341473294
ACH-000108,-1.7328199677400002
ACH-000113,-1.9507916551700002
ACH-000115,-2.0124343065
ACH-000116,-1.6997564074200002
ACH-000118,-1.5563363192299997
ACH-000120,-1.6178742556
ACH-000123,-1.8090724675799998
ACH-000127,-1.96319783439
ACH-000128,-1.69557465734
ACH-000132,-1.77665022529
ACH-000133,-2.04147988638
ACH-000137,-1.32768059377
ACH-000138,-1.7085857789200003
ACH-000142,-1.78095141137
ACH-000143,-1.88805282882
ACH-000146,-2.3969222337900002
ACH-000148,-1.85652735618
ACH-000150,-1.7641267479700002
ACH-000152,-1.48632477917
ACH-000153,-1.7308854841900003
ACH-000159,-1.75479193556
ACH-000160,-1.50461756634
ACH-000163,-1.57203416805
ACH-000167,-2.58734375902
ACH-000168,-1.66003069023
ACH-000169,-1.8176099685900002
ACH-000178,-1.82574854438
ACH-000182,-1.8218647050499999
ACH-000183,-1.78527806448
ACH-000188,-1.6988626875400001
ACH-000189,-1.8232195351599998
ACH-000190,-1.81808876643
ACH-000198,-1.88783723879
ACH-000204,-1.9958379050200001
ACH-000206,-1.91893898844
ACH-000207,-1.9000476498199999
ACH-000211,-1.83935280944
ACH-000215,-1.8583083095400004
ACH-000221,-1.7093674981
ACH-000222,-2.07504303748
ACH-000223,-1.8108663940599998
ACH-000226,-1.6893978941999999
ACH-000227,-1.55429312485
ACH-000228,-1.55152742482
ACH-000231,-1.73323492712
ACH-000232,-1.91508357689
ACH-000233,-1.7424145778
ACH-000234,-1.52491758674
ACH-000235,-1.7458775865
ACH-000237,-1.7387632157099997
ACH-000238,-1.57265283151
ACH-000243,-1.6450014931
ACH-000244,-1.59292970683
ACH-000246,-1.7285425013599998
ACH-000248,-1.65497511287
ACH-000250,-1.7409991191999998
ACH-000251,-1.5391460749599999
ACH-000253,-1.7145366986200001
ACH-000255,-1.55963671847
ACH-000256,-1.7797651398599996
ACH-000257,-1.92054121165
ACH-000258,-1.8573478486900001
ACH-000259,-1.8422874168799999
ACH-000260,-1.6769477129799997
ACH-000261,-1.96742903207
ACH-000262,-1.72922059367
ACH-000263,-2.7086410445399998
ACH-000264,-1.91595292607
ACH-000265,-1.7432926567900002
ACH-000266,-1.73103074188
ACH-000272,-1.63655381625
ACH-000273,-1.8492809433500002
ACH-000274,-1.70031112762
ACH-000277,-1.8786097018099999
ACH-000278,-1.87597636037
ACH-000279,-1.9775574784799999
ACH-000280,-1.8279127117400003
ACH-000281,-1.70211751493
ACH-000288,-1.96383636568
ACH-000291,-1.6285972267500002
ACH-000293,-2.13297973564
ACH-000294,-1.7714252476900003
ACH-000295,-1.7991833804599997
ACH-000296,-1.66373168981
ACH-000302,-1.94932393051
ACH-000304,-2.28729357472
ACH-000307,-1.78103267724
ACH-000308,-1.8802256582099999
ACH-000310,-1.79696208253
ACH-000311,-1.81820830898
ACH-000312,-1.77327847653
ACH-000315,-1.5987750357
ACH-000316,-1.4920858009
ACH-000317,-1.60283464456
ACH-000318,-1.7744734889400002
ACH-000319,-1.8723772926599997
ACH-000320,-1.8824285588900003
ACH-000322,-1.8808927046700001
ACH-000323,-0.8195408560430001
ACH-000324,-1.7454839998500002
ACH-000329,-1.8867121063299999
ACH-000330,-1.93664571911
ACH-000331,-1.5057855601499999
ACH-000332,-1.67614247824
ACH-000334,-2.06017531802
ACH-000335,-1.7578361817700001
ACH-000336,-2.07870841054
ACH-000337,-1.65267663495
ACH-000339,-1.88417820741
ACH-000341,-1.7056104819100002
ACH-000348,-2.2472521520599997
ACH-000350,-2.03106358968
ACH-000352,-1.60415441565
ACH-000356,-1.76078551885
ACH-000361,-1.7376445214200003
ACH-000362,-1.8943152217500001
ACH-000363,-2.02008532051
ACH-000364,-1.6988784579499998
ACH-000365,-1.83307880803
ACH-000366,-1.65933046681
ACH-000368,-1.9701156011200003
ACH-000374,-1.71459233514
ACH-000375,-1.84656566317
ACH-000376,-1.56015122514
ACH-000381,-2.0506906575
ACH-000383,-2.26094111401
ACH-000387,-1.8330180097400002
ACH-000389,-1.8435609289300001
ACH-000390,-1.9821846707599997
ACH-000393,-1.9914173194599998
ACH-000395,-1.83420860848
ACH-000397,-1.95338476125
ACH-000401,-1.8622304760799997
ACH-000402,-1.8513956597299999
ACH-000403,-2.1704835246700003
ACH-000404,-2.29062391045
ACH-000406,-1.9757207994400001
ACH-000407,-1.89229951655
ACH-000408,-1.8551291326900001
ACH-000410,-1.8485169739900003
ACH-000411,-1.7487139916699999
ACH-000414,-1.9146334031299999
ACH-000415,-1.9268174307700001
ACH-000416,-1.59637220484
ACH-000420,-1.50650591893
ACH-000421,-1.7132743240000001
