,KIF14 (9928)
ACH-000004,-0.71882651131
ACH-000007,-0.522183860551
ACH-000009,-0.918339144169
ACH-000011,-0.438894320017
ACH-000012,-0.39118031403700004
ACH-000013,-0.40100584975599995
ACH-000014,-0.757676563841
ACH-000015,-0.589567064386
ACH-000017,-0.6264352627049999
ACH-000018,-0.574031406041
ACH-000019,-1.02592963354
ACH-000021,-0.862820773655
ACH-000022,-0.581813143682
ACH-000025,-0.5485645211069999
ACH-000028,-0.668943469498
ACH-000030,-0.431945746665
ACH-000035,-0.2600455714
ACH-000036,-0.695795555969
ACH-000037,-0.426694604063
ACH-000039,-0.961414421319
ACH-000040,-0.630458951599
ACH-000041,-0.6727899484729999
ACH-000042,-0.884674813011
ACH-000045,-0.559501778538
ACH-000047,-0.45302008891900003
ACH-000052,-0.75407191439
ACH-000053,-0.831624209516
ACH-000054,-0.8435651966680001
ACH-000055,-0.564133568581
ACH-000060,-0.913487212035
ACH-000067,-0.607413956008
ACH-000070,-0.8860205112630001
ACH-000075,-0.740686331872
ACH-000078,-0.812284559369
ACH-000082,-0.608928203185
ACH-000085,-0.6701041558290001
ACH-000086,-0.528710473841
ACH-000087,-0.7041974226279999
ACH-000092,-0.837750101807
ACH-000095,-0.806887171898
ACH-000097,-0.5603075333649999
ACH-000098,-0.711835820255
ACH-000099,-1.12260234841
ACH-000108,-0.7099538357840001
ACH-000113,-0.38430409912600005
ACH-000115,-0.870322139861
ACH-000116,-0.571757368834
ACH-000118,-0.627783832337
ACH-000120,-0.513817685831
ACH-000123,-0.8134264070559999
ACH-000127,-0.572756735108
ACH-000128,-0.417273313789
ACH-000132,-0.365779247604
ACH-000133,-0.519792000768
ACH-000137,-0.395337077732
ACH-000138,-0.681881625065
ACH-000142,-0.827253626105
ACH-000143,-0.48177954778899995
ACH-000146,-0.6901786913060001
ACH-000148,-0.682388019617
ACH-000150,-0.8941316929209999
ACH-000152,-0.361587705327
ACH-000153,-0.844708577185
ACH-000159,-0.746454667262
ACH-000160,-0.784567276276
ACH-000163,-0.19871199552700003
ACH-000167,-0.39580308116999996
ACH-000168,-0.275658904343
ACH-000169,-0.215984848114
ACH-000178,-0.636858774784
ACH-000182,-0.683797835765
ACH-000183,-0.592608492001
ACH-000188,-0.82867142503
ACH-000189,-0.603734332056
ACH-000190,-0.910624482588
ACH-000198,-0.726553517941
ACH-000204,-0.483814096471
ACH-000206,-0.483019253014
ACH-000207,-0.496215530788
ACH-000211,-0.6584056778090001
ACH-000215,-0.802797376273
ACH-000221,-0.527197123638
ACH-000222,-1.01843617838
ACH-000223,-0.885106419974
ACH-000226,-0.572928769371
ACH-000227,-1.21237535369
ACH-000228,-0.523823839964
ACH-000231,-0.580021619746
ACH-000232,-0.836509263041
ACH-000233,-0.36799512617799995
ACH-000234,-0.7478205672139999
ACH-000235,-0.579893626883
ACH-000237,-0.575621749929
ACH-000238,-0.612919919109
ACH-000243,-0.41882714254000003
ACH-000244,-0.5692350952499999
ACH-000246,-0.50676685444
ACH-000248,-0.565170974533
ACH-000250,-0.696734730396
ACH-000251,-1.02487572765
ACH-000253,-0.7808753702689999
ACH-000255,-0.41024758171
ACH-000256,-0.21372689477600001
ACH-000257,-0.7854573822390001
ACH-000258,-0.604256330917
ACH-000259,-0.7437491725059999
ACH-000260,-0.598079609833
ACH-000261,-0.527904678537
ACH-000262,-0.7021652767319999
ACH-000263,-0.5302963396329999
ACH-000264,-0.652398505313
