,EHBP1L1 (254102)
ACH-000004,-0.215838583397
ACH-000007,-0.21220740560100002
ACH-000009,-0.21764789514600003
ACH-000011,-0.430898782391
ACH-000012,-0.352001396506
ACH-000013,-0.269534141697
ACH-000014,-0.050152834961599994
ACH-000015,-0.14835402245999998
ACH-000017,-0.31317588223299997
ACH-000018,-0.3175693029
ACH-000019,-0.527267305577
ACH-000021,-0.250596121001
ACH-000022,-0.40783813280299996
ACH-000025,-0.22525690402600002
ACH-000028,-0.45436063824600004
ACH-000030,-0.48761694584
ACH-000035,-0.19191655560600002
ACH-000036,-0.448696158405
ACH-000037,-0.27747239454399997
ACH-000039,-0.381281327842
ACH-000040,-0.173634806606
ACH-000041,-0.0389127520051
ACH-000042,-0.480775166905
ACH-000045,-0.23488397854899998
ACH-000047,-0.36019318855800003
ACH-000052,-0.400540784551
ACH-000053,-0.33711212479999997
ACH-000054,-0.31070372555500003
ACH-000055,-0.365278092834
ACH-000060,-0.69135250098
ACH-000067,-0.33186849388
ACH-000070,-0.531319751541
ACH-000075,-0.38625681131800005
ACH-000078,-0.28205746743500004
ACH-000082,-0.632464907144
ACH-000085,-0.220263849684
ACH-000086,-0.679922210141
ACH-000087,-0.245433714312
ACH-000092,-0.46845279771399995
ACH-000095,-0.169925062314
ACH-000097,-0.38677649907
ACH-000098,-0.247173244358
ACH-000099,-0.20097835550999998
ACH-000108,-0.369806818847
ACH-000113,-0.442867892721
ACH-000115,-0.676146118336
ACH-000116,-0.25125923249800003
ACH-000118,-0.424235009471
ACH-000120,-0.38905357939999996
ACH-000123,-0.113954272061
ACH-000127,-0.19706015832600002
ACH-000128,-0.16430764966800002
ACH-000132,-0.513423180957
ACH-000133,-0.353262595457
ACH-000137,-0.339129502338
ACH-000138,-0.5579934409080001
ACH-000142,-0.378111626912
ACH-000143,-0.112605421602
ACH-000146,-0.32771966160599997
ACH-000148,-0.484919750498
ACH-000150,-0.366049631207
ACH-000152,-0.296317098712
ACH-000153,-0.33619128889300004
ACH-000159,-0.330174111006
ACH-000160,-0.165169509211
ACH-000163,-0.288466530048
ACH-000167,-0.519816289275
ACH-000168,-0.515232699454
ACH-000169,-0.18969778503899998
ACH-000178,-0.212134936796
ACH-000182,-0.230910123829
ACH-000183,-0.298453665242
ACH-000188,-0.620042470823
ACH-000189,-0.288467992604
ACH-000190,-0.413435612522
ACH-000198,-0.509907642562
ACH-000204,0.036955991654
ACH-000206,-0.836601917017
ACH-000207,-0.7452753898919999
ACH-000211,-0.36341064975299997
ACH-000215,-0.294162394421
ACH-000221,-0.143359755592
ACH-000222,-0.256673964968
ACH-000223,-0.29465780918900003
ACH-000226,-0.285811003143
ACH-000227,-0.0304335448999
ACH-000228,-0.679508164438
ACH-000231,-0.300898466744
ACH-000232,-0.17560013630600002
ACH-000233,-0.137521255121
ACH-000234,-0.663725803871
ACH-000235,-0.35297085341300005
ACH-000237,-0.268804510701
ACH-000238,-0.551889081157
ACH-000243,0.0458121382873
ACH-000244,-0.334195456363
ACH-000246,-0.318806226021
ACH-000248,-0.16623345998199998
ACH-000250,-0.405766113274
ACH-000251,-0.0864889222676
ACH-000253,-0.39807270596999994
ACH-000255,-0.348392372482
ACH-000256,-0.305681657197
ACH-000257,-0.324078766787
ACH-000258,-0.0871477340945
ACH-000259,-0.20045751005399998
ACH-000260,-0.255123939185
ACH-000261,-0.410395962505
ACH-000262,-0.31244078712400003
ACH-000263,-0.528784539562
ACH-000264,-0.291777964909
ACH-000265,-0.17389252414700002
ACH-000266,-0.243671559453
ACH-000272,-0.21626431044599997
ACH-000273,-0.566328143493
ACH-000274,-0.29019644842500003
ACH-000277,-0.210838653904
ACH-000278,-0.42845700671899994
ACH-000279,-0.0175174391379
ACH-000280,-0.371575828239
ACH-000281,-0.37464764243
ACH-000288,-0.502045513788
ACH-000291,-0.108571157057
ACH-000293,-0.15523883015599999
ACH-000294,-0.440887068681
ACH-000295,-0.46764834945
ACH-000296,-0.342283759182
ACH-000302,-0.365905696979
ACH-000304,0.0965814995691
ACH-000307,-0.402354908728
ACH-000308,-0.390972264618
ACH-000310,-0.20087168135000003
ACH-000311,-0.520170466029
ACH-000312,-0.0766677121277
ACH-000315,-0.0843880713343
ACH-000316,-0.459926702258
ACH-000317,-0.318580917342
ACH-000318,-0.828819127902
ACH-000319,-0.166867340021
ACH-000320,-0.239070182572
ACH-000322,-0.0618786341895
ACH-000323,-0.26803341811000003
ACH-000324,-0.25694480167100003
ACH-000329,-0.069077660159
ACH-000330,-0.43621445002899994
ACH-000331,-0.382801344818
ACH-000332,-0.429205514736
ACH-000334,-0.442663987434
ACH-000335,-0.24395077351
ACH-000336,-0.47750365825499996
ACH-000337,-0.375561837535
ACH-000339,-0.35530818282300003
ACH-000341,-0.432933270036
ACH-000348,-0.0655855498532
ACH-000350,-0.197238842071
ACH-000352,-0.21254636529800003
ACH-000356,-0.49220892359499996
ACH-000361,-0.359701400202
ACH-000362,-0.29799914305999997
ACH-000363,-0.141489000522
ACH-000364,-0.305510973075
ACH-000365,-0.42047759770599996
ACH-000366,-0.39546483268700006
ACH-000368,-0.475585478501
ACH-000374,-0.48144922750600005
ACH-000375,-0.332319176454
ACH-000376,-0.299627327314
ACH-000381,-0.386958645813
ACH-000383,-0.510213872381
ACH-000387,-0.188797601752
ACH-000389,-0.10812032445
ACH-000390,-0.38403530153300003
ACH-000393,-0.37501492143200005
ACH-000395,-0.598219365537
ACH-000397,-0.5739685823740001
ACH-000401,-0.161380655799
ACH-000402,-0.501174540145
ACH-000403,-0.376914434487
ACH-000404,-0.0207404346712
ACH-000406,-0.28089497049
ACH-000407,-0.273539418458
ACH-000408,-0.681092523903
ACH-000410,0.0228399242013
ACH-000411,-0.238693919363
ACH-000414,-0.40688580753700004
ACH-000415,-0.54506811954
ACH-000416,-0.179641462772
ACH-000420,-0.310891092208
ACH-000421,-0.255596334088
ACH-000424,-0.40305865224
ACH-000425,-0.27315351773200003
ACH-000426,0.0055667331741200005
ACH-000427,-0.43344286172799995
ACH-000433,-0.41248187117299995
ACH-000436,-0.319622814651
ACH-000444,-0.20357190025400002
ACH-000445,-0.342204251042
ACH-000448,-0.341404023539
ACH-000450,-0.318865370737
ACH-000452,-0.290792467895
ACH-000454,-0.23237234934
ACH-000458,-0.699735051646
ACH-000459,0.24469764089200002
ACH-000460,-0.457835788878
ACH-000461,-0.531213238487
ACH-000463,-0.361097593713
ACH-000464,-0.216108783301
ACH-000466,-0.8015643274940001
ACH-000467,-0.16482807873400002
ACH-000468,-0.536374268505
ACH-000469,-0.499018607557
ACH-000470,-0.517380059569
ACH-000471,-0.379792197611
ACH-000472,-0.278329860892
ACH-000473,-0.22557726541499998
ACH-000475,-0.196167045491
ACH-000476,-0.41558180077699997
ACH-000477,-0.5165957229779999
ACH-000480,-0.27231479924400004
ACH-000481,-0.37079662324100005
ACH-000483,-0.203986249269
ACH-000484,-0.154408032923
ACH-000485,-0.345659062191
ACH-000486,-0.327389427909
ACH-000487,-0.278368350931
ACH-000488,-0.181382945407
ACH-000490,-0.17067811570099997
ACH-000491,-0.316179868257
ACH-000495,-0.22085308981600002
ACH-000496,-0.35607000599
ACH-000499,-0.225026162113
ACH-000500,-0.48626468191399996
ACH-000502,-0.265733778002
ACH-000503,-0.7962563939489999
ACH-000505,-0.415570100727
ACH-000507,-0.09021924092910001
ACH-000510,-0.380394626127
