,UBE2T (29089)
ACH-000004,-0.434994611736
ACH-000007,-0.16447063402
ACH-000009,-0.303905857195
ACH-000011,-0.281301338539
ACH-000012,-0.22356056537799998
ACH-000013,-0.37321977605499995
ACH-000014,-0.35904026086199997
ACH-000015,-0.05440153481959999
ACH-000017,-0.214478470145
ACH-000018,-0.326953960723
ACH-000019,-0.561190242146
ACH-000021,-0.394558818659
ACH-000022,-0.243846642772
ACH-000025,-0.25801434325100003
ACH-000028,-0.29339218591899996
ACH-000030,-0.13490435821799998
ACH-000035,-0.311014988394
ACH-000036,-0.423347627586
ACH-000037,-0.11340066964000002
ACH-000039,-0.331338272425
ACH-000040,-0.211819370008
ACH-000041,-0.18336387218199998
ACH-000042,-0.162828084694
ACH-000045,-0.633590160414
ACH-000047,-0.22589098805500002
ACH-000052,-0.397093328023
ACH-000053,-0.11244783160800001
ACH-000054,-0.160265124496
ACH-000055,-0.455330957386
ACH-000060,-0.37661182463799997
ACH-000067,-0.259900226323
ACH-000070,-0.45170344808799995
ACH-000075,-0.279003785249
ACH-000078,-0.26267160793
ACH-000082,-0.6238329940999999
ACH-000085,-0.0513138751892
ACH-000086,-0.25823493166
ACH-000087,-0.609804575834
ACH-000092,-0.334937722537
ACH-000095,-0.44337695231700003
ACH-000097,-0.205616769253
ACH-000098,-0.340127298974
ACH-000099,-0.468575650777
ACH-000108,-0.188894012343
ACH-000113,-0.5066484500840001
ACH-000115,-0.219858851299
ACH-000116,-0.33018794372099997
ACH-000118,-0.42153328525
ACH-000120,-0.5053416699600001
ACH-000123,-0.277323045574
ACH-000127,-0.416247818537
ACH-000128,-0.149943001193
ACH-000132,-0.667574869602
ACH-000133,-0.5148036311349999
ACH-000137,-0.113545448068
ACH-000138,-0.09179127720519999
ACH-000142,-0.42426900442000004
ACH-000143,-0.5471549214670001
ACH-000146,-0.348568961978
ACH-000148,-0.39444052014
ACH-000150,-0.37565679869900004
ACH-000152,-0.327069719072
ACH-000153,-0.5347140926
ACH-000159,-0.145067272876
ACH-000160,-0.236824329738
ACH-000163,-0.412762999565
ACH-000167,-0.680453380416
ACH-000168,-0.5626523483470001
ACH-000169,-0.0782979763972
ACH-000178,-0.021520038191200002
ACH-000182,-0.127413463527
ACH-000183,-0.07668791274810001
ACH-000188,-0.253424086552
ACH-000189,-0.448706828215
ACH-000190,-0.326973860567
ACH-000198,-0.6830682748810001
ACH-000204,-0.319814311631
ACH-000206,-0.5034211360399999
ACH-000207,-0.224391243949
ACH-000211,-0.327323710987
ACH-000215,-0.318860071354
ACH-000221,-0.181537242161
ACH-000222,-0.139557485456
ACH-000223,-0.36501083670699996
ACH-000226,-0.27212652009300003
ACH-000227,-0.38086887043799994
ACH-000228,-0.43247537895300003
ACH-000231,-0.40242898313299996
ACH-000232,-0.272551618027
ACH-000233,-0.237286732018
ACH-000234,-0.42145580432499996
ACH-000235,-0.19333507440900002
ACH-000237,-0.366596331028
ACH-000238,-0.431189330942
ACH-000243,-0.274134535151
ACH-000244,-0.551790306798
ACH-000246,-0.30643133154
ACH-000248,-0.257410869311
ACH-000250,-0.11759622977499999
ACH-000251,-0.170398948885
ACH-000253,-0.152324524338
ACH-000255,-0.319395132666
ACH-000256,-0.199887170025
ACH-000257,-0.390978008103
ACH-000258,-0.16353848629599999
ACH-000259,-0.298108104973
ACH-000260,-0.127034683535
ACH-000261,-0.437907953324
ACH-000262,-0.438483028095
ACH-000263,-0.378866726484
ACH-000264,-0.523281399508
ACH-000265,-0.165038680878
ACH-000266,-0.45521610113999994
ACH-000272,-0.326440728164
ACH-000273,-0.33621989118100004
ACH-000274,-0.40230358094
ACH-000277,-0.268771576066
ACH-000278,-0.493620179397
ACH-000279,-0.270656609487
ACH-000280,-0.119181101208
ACH-000281,-0.188473408658
ACH-000288,-0.427341292269
ACH-000291,-0.0569008080155
ACH-000293,-0.257825868159
ACH-000294,-0.28214297730099996
ACH-000295,-0.504728169875
ACH-000296,-0.407234029131
ACH-000302,-0.20553007444600002
ACH-000304,-0.562900296546
ACH-000307,-0.226504700839
ACH-000308,-0.291199011163
ACH-000310,-0.38367631643100003
ACH-000311,-0.170980292623
ACH-000312,-0.165308781166
ACH-000315,-0.120760959915
ACH-000316,-0.266242451249
ACH-000317,-0.274754759176
ACH-000318,-0.340015489173
ACH-000319,-0.321161320418
ACH-000320,-0.46295611535400005
ACH-000322,-0.36097611953500003
ACH-000323,-0.355143773934
ACH-000324,-0.39499845347400003
ACH-000329,-0.43162994185000003
ACH-000330,-0.221640152886
ACH-000331,-0.262085699153
ACH-000332,-0.38104141413599996
ACH-000334,-0.24504644036999998
ACH-000335,-0.252836900697
ACH-000336,-0.306964307353
ACH-000337,-0.132874226649
ACH-000339,-0.249050131651
ACH-000341,-0.712268807553
ACH-000348,-0.381017081259
ACH-000350,-0.179643722432
ACH-000352,-0.0947316247627
ACH-000356,-0.324206152132
ACH-000361,-0.39766204326899995
ACH-000362,-0.7037768415219999
ACH-000363,-0.203109960892
ACH-000364,-0.419639158995
ACH-000365,-0.483816609095
ACH-000366,-0.14766285335100002
ACH-000368,-0.350196297732
ACH-000374,-0.46066531513899994
ACH-000375,-0.434406441533
ACH-000376,-0.18144334127
ACH-000381,-0.289908434914
ACH-000383,-0.285542836653
ACH-000387,-0.46231165481299996
ACH-000389,-0.145408957196
ACH-000390,-0.246012097656
ACH-000393,-0.630901943502
ACH-000395,-0.267179484682
ACH-000397,-0.330671217137
ACH-000401,-0.528388876996
ACH-000402,-0.425607883885
ACH-000403,-0.335138736096
ACH-000404,-0.211390579399
ACH-000406,-0.37247015747100004
ACH-000407,-0.359013455081
ACH-000408,-0.395360339633
ACH-000410,-0.6839441492820001
ACH-000411,-0.200861775867
ACH-000414,-0.17509522638
ACH-000415,-0.5378824393770001
ACH-000416,-0.144262021326
ACH-000420,-0.250745018011
ACH-000421,-0.19197520218699998
ACH-000424,-0.525815568639
ACH-000425,-0.29375761824700003
ACH-000426,-0.526785306675
ACH-000427,-0.259878995476
ACH-000433,-0.281507550761
ACH-000436,-0.169510345399
ACH-000444,-0.8097591548370001
ACH-000445,-0.239580189828
ACH-000448,-0.359154525574
ACH-000450,-0.39173867977
ACH-000452,-0.403665268574
ACH-000454,-0.11043692394099999
ACH-000458,-0.28568302080200003
ACH-000459,-0.358591658379
ACH-000460,-0.177271071045
ACH-000461,-0.17012988952999997
ACH-000463,-0.12124707085000001
ACH-000464,-0.263001429469
ACH-000466,-0.408014931628
ACH-000467,-0.167976694082
ACH-000468,-0.453736964134
ACH-000469,-0.460734449905
ACH-000470,-0.275360214634
ACH-000471,-0.307313034029
ACH-000472,-0.40588089622900003
ACH-000473,-0.454116811794
ACH-000475,-0.11063587547800001
ACH-000476,-0.22271533997499998
ACH-000477,-0.347898489027
ACH-000480,0.0174333397782
ACH-000481,-0.224107477433
ACH-000483,-0.510702711497
ACH-000484,-0.606380137644
ACH-000485,-0.27961774332899997
ACH-000486,-0.299301813223
ACH-000487,-0.117323824854
ACH-000488,-0.025163843162700004
ACH-000490,-0.18067374982
ACH-000491,0.049021797357
ACH-000495,-0.588838191161
ACH-000496,-0.19639553982000002
ACH-000499,-0.137625610241
ACH-000500,-0.17429438819499998
ACH-000502,-0.258172938504
ACH-000503,-0.162401957279
ACH-000505,-0.324458991692
ACH-000507,-0.46757596796000006
ACH-000510,-0.350329198043
ACH-000511,-0.5354651220800001
ACH-000512,0.11423884429400001
ACH-000516,-0.757252637501
ACH-000517,-0.41153586142
ACH-000518,-0.29078639070900003
ACH-000520,-0.451069001772
ACH-000521,-0.5811561550419999
ACH-000522,-0.396354385639
ACH-000524,-0.199773422927
ACH-000527,-0.193270496941
ACH-000528,-0.647158409805
ACH-000537,-0.299604720838
ACH-000541,-0.45457427106700005
ACH-000542,-0.674263422572
ACH-000544,-0.44269244339100006
ACH-000545,-0.509418251812
ACH-000547,-0.573827050741
ACH-000548,-0.353970037776
ACH-000549,-0.431065177556
ACH-000550,-0.48126062884599996
ACH-000552,-0.190988440583
ACH-000556,-0.176180229071
ACH-000557,-0.316866814516
ACH-000570,-0.014929808134000001
ACH-000571,-0.351902229595
ACH-000573,-0.43649980849299996
ACH-000576,-0.0635837734315
ACH-000580,-0.5661601035130001
ACH-000584,-0.560605540135
ACH-000585,-0.552903075708
ACH-000588,-0.512046524969
ACH-000589,-0.206292513319
ACH-000591,-0.22963527540999998
ACH-000593,-0.40698467162
ACH-000600,-0.265200465535
ACH-000601,-0.150110488948
ACH-000604,-0.34332153774400004
ACH-000605,-0.0940069900911
ACH-000606,-0.351053454379
ACH-000608,-0.32512217846999997
ACH-000614,-0.332257576142
ACH-000616,-0.30751961770799996
ACH-000618,-0.28290250917
ACH-000619,-0.30120354633699997
ACH-000620,-0.13996397581199999
ACH-000621,-0.353754834595
ACH-000622,-0.295995858875
ACH-000623,-0.22334661883600002
ACH-000624,-0.42479447098399997
ACH-000627,-0.446323951993
ACH-000630,-0.335663739573
ACH-000632,-0.290984445933
ACH-000633,-0.12276543338700001
ACH-000637,-0.4639468311399999
ACH-000638,-0.438099757614
ACH-000646,-0.26051315023899996
ACH-000647,-0.241967496532
ACH-000648,-0.41917738849299996
ACH-000649,-0.372694651953
ACH-000651,-0.12147977366900001
ACH-000652,-0.164589385039
ACH-000653,-0.439026132061
ACH-000657,-0.285643286973
ACH-000658,-0.222207771345
ACH-000661,-0.29925883283000004
ACH-000662,-0.263117756326
ACH-000663,-0.449442957127
ACH-000665,-0.34804454420500003
ACH-000671,-0.222812591338
ACH-000673,-0.442145423868
ACH-000676,-0.414278681967
ACH-000677,-0.331154118378
ACH-000681,-0.245048324166
ACH-000682,-0.433868561544
ACH-000683,-0.37592091739
ACH-000684,-0.20935100482900001
ACH-000688,-0.596435511636
ACH-000693,-0.36133323171400006
ACH-000694,-0.238710282139
ACH-000695,-0.20865144686599998
ACH-000696,-0.333122177458
ACH-000697,-0.174165532615
ACH-000699,-0.31421048321600004
ACH-000701,-0.492411138124
ACH-000706,-0.31007827183000003
ACH-000711,-0.214408985991
ACH-000713,-0.505355525721
ACH-000714,-0.27980587473499996
ACH-000718,-0.36361395009999997
ACH-000720,-0.28158660516999995
ACH-000721,-0.223188601581
ACH-000724,-0.514965471613
ACH-000725,-0.191112370784
ACH-000732,-0.172495637302
ACH-000734,-0.305862496903
ACH-000735,-0.39195588369
ACH-000736,-0.338445640655
ACH-000738,-0.23754481733199997
ACH-000746,-0.156207181429
ACH-000747,-0.0829627967882
ACH-000748,-0.282878988354
ACH-000753,-0.268654844259
ACH-000756,-0.27525099819800003
ACH-000757,-0.0707512533621
ACH-000758,-0.290602655709
ACH-000760,-0.282615534807
ACH-000763,-0.294043187396
ACH-000764,-0.321002834254
ACH-000765,-0.344231989903
ACH-000766,-0.35278272689499995
ACH-000767,-0.302641312035
ACH-000768,-0.45853811524300003
ACH-000769,-0.362357243982
ACH-000770,-0.725616971266
ACH-000771,-0.25399163918699996
ACH-000773,-0.251657419886
ACH-000776,-0.356791941109
ACH-000777,-0.600011679323
ACH-000778,-0.482565760585
ACH-000781,-0.0419679962255
ACH-000782,-0.701826123193
ACH-000783,-0.378590815175
ACH-000784,-0.281996489822
ACH-000785,-0.606182706039
ACH-000787,-0.36123953271700004
ACH-000788,-0.280449888352
ACH-000791,-0.428242588072
ACH-000792,-0.242631395557
ACH-000794,-0.667455734423
ACH-000796,-0.631444349532
ACH-000799,-0.507752902815
ACH-000800,-0.365426374907
ACH-000802,-0.37838667582099994
ACH-000804,-0.138203575973
ACH-000805,-0.397657287692
ACH-000809,-1.0342297596899999
ACH-000810,-0.553321646381
ACH-000811,-0.27847524656100003
ACH-000817,-0.34706728270900006
ACH-000819,-0.048967907001599996
ACH-000820,-0.599700792647
ACH-000821,-0.24203561484900002
ACH-000822,-0.265614345361
ACH-000823,-0.435394038887
ACH-000824,-0.20785509212
ACH-000827,-0.21216749835299997
ACH-000829,-0.646378620873
ACH-000831,-0.0228853975702
ACH-000832,-0.8066193437610001
ACH-000833,-0.38171020928000005
ACH-000834,-0.68284852848
ACH-000835,-0.553138855056
ACH-000836,-0.32023096198199996
ACH-000837,-0.323201027096
ACH-000838,-0.38320404812799996
ACH-000839,-0.170906579267
ACH-000840,-0.41297307403399997
ACH-000841,-0.45005853033200005
ACH-000843,-0.421536599261
ACH-000846,-0.261365384869
ACH-000847,-0.23097980885299998
ACH-000848,-0.0698550377635
ACH-000849,-0.14293520947899999
ACH-000851,-0.0540188322516
ACH-000855,-0.5800754786460001
ACH-000856,-0.387777955261
ACH-000858,-0.38364054041199996
ACH-000859,-0.338648516881
ACH-000861,-0.351478411178
ACH-000862,-0.378060899782
ACH-000865,-0.592068282056
ACH-000866,-0.0866905135243
ACH-000867,-0.351108914334
ACH-000869,-0.309034448997
ACH-000872,-0.183835357304
ACH-000873,-0.32950373761
ACH-000876,-0.261269542073
ACH-000878,-0.49096629306999995
ACH-000880,-0.261517010038
ACH-000881,-0.42376816234700004
ACH-000882,-0.264560023751
ACH-000884,-0.23658209391100002
ACH-000885,-0.17184729961800002
ACH-000887,-0.288465277488
ACH-000888,-0.257992141928
ACH-000889,-0.29980025285
ACH-000890,-0.393273114669
ACH-000896,-0.144271926347
ACH-000898,-0.240055341982
ACH-000900,-0.33898714635300004
ACH-000901,-0.485277758031
ACH-000905,-0.40123738835100003
ACH-000906,-0.46185393244999995
ACH-000907,-0.394310428023
ACH-000910,-0.18746801237799998
ACH-000911,-0.237214108684
ACH-000912,-0.329928086888
ACH-000913,-0.378270459672
ACH-000915,-0.24297620224
ACH-000916,-0.269573193085
ACH-000917,-0.505173570715
ACH-000921,-0.401639125229
ACH-000924,-0.208885105829
ACH-000926,-0.11144646214500001
ACH-000928,-0.489723238276
ACH-000929,-0.285375370141
ACH-000932,-0.25791239354
ACH-000935,-0.35773117668399995
ACH-000936,-0.226649087038
ACH-000937,-0.36178281446099997
ACH-000938,-0.719046937466
ACH-000939,-0.11776143958100001
ACH-000941,-0.32006621363800003
ACH-000943,-0.224874076835
ACH-000946,-0.578965699656
ACH-000947,-0.395042920884
ACH-000948,-0.189687275198
ACH-000950,-0.200943884584
ACH-000953,-0.375103002188
ACH-000957,-0.433780503772
ACH-000958,-0.40984100636200005
ACH-000960,-0.640169027934
ACH-000963,-0.301922005695
ACH-000968,-0.148281607666
ACH-000969,-0.204047436558
ACH-000973,-0.323542874719
ACH-000974,-0.66185709627
ACH-000975,-0.376972754268
ACH-000976,-0.372738645153
ACH-000978,-0.32548483923300003
ACH-000980,-0.357704584265
ACH-000984,-0.382106006255
ACH-000986,-0.146583103281
ACH-000988,-0.218631584808
ACH-000993,-0.36198449136699995
ACH-000994,-0.233057788363
ACH-000996,-0.399430650711
ACH-001001,-0.630251253091
ACH-001020,-0.6915619969239999
ACH-001028,-0.300437104951
ACH-001031,-0.46278428636999996
ACH-001038,-0.28083302362199997
ACH-001048,-0.154763977193
ACH-001050,-0.434964346469
ACH-001053,-0.370337225955
ACH-001054,-0.19008111237599998
ACH-001061,-0.15593271431
ACH-001067,-0.388366829027
ACH-001075,-0.402189002438
ACH-001096,-0.45418669863000005
ACH-001128,-0.599080699678
ACH-001134,-0.179041361061
ACH-001151,-0.40419632382
ACH-001163,-0.270876453444
ACH-001164,-0.304357218214
ACH-001173,-0.282329613765
ACH-001183,-0.549232366116
ACH-001184,-0.542982607392
ACH-001190,-0.46598935882299997
ACH-001192,-0.227678996844
ACH-001193,-0.08228026498289999
ACH-001196,-0.19456530384100001
ACH-001197,-0.618954554561
ACH-001205,-0.133291447355
ACH-001211,-0.349791435193
ACH-001212,-0.27411639051
ACH-001228,-0.34427905349699994
ACH-001232,-0.689489310468
ACH-001239,-0.35498286145
ACH-001274,-0.335435447215
ACH-001275,-0.208982674803
ACH-001277,-0.326263039754
ACH-001278,-0.31109846049
ACH-001280,-0.493405914041
ACH-001283,-0.201560070643
ACH-001289,-0.125559355263
ACH-001295,-0.40136836767399997
ACH-001300,-0.308663232494
ACH-001301,-0.271311745524
ACH-001302,-0.24076199349
ACH-001303,-0.378658270512
ACH-001306,-0.40081652276100005
ACH-001318,-0.165481128247
ACH-001322,-0.116713599624
ACH-001328,-0.222189635012
ACH-001332,-0.321703759621
ACH-001333,-0.321253152685
ACH-001336,-0.5223812516390001
ACH-001340,-0.20617059649500002
ACH-001346,-0.247227847853
ACH-001353,-0.5356912809650001
ACH-001354,-0.452515053544
ACH-001367,-0.283787605554
ACH-001368,-0.345805090818
ACH-001374,-0.34233755919
ACH-001375,-0.32578231793400003
ACH-001377,-0.125939797669
ACH-001380,-0.23343570623000004
ACH-001391,-0.41334427407200003
ACH-001407,-0.44194534693899995
ACH-001408,-0.40926725218000004
ACH-001413,-0.199653730776
ACH-001430,-0.267566103434
ACH-001431,-0.42235581937100003
ACH-001450,-0.356485864716
ACH-001496,-0.222129484501
ACH-001500,-0.130456333175
ACH-001521,-0.350498008458
ACH-001523,-0.452539520884
ACH-001532,-0.514126701738
ACH-001536,-0.26585400841999995
ACH-001550,-0.346682129028
ACH-001552,-0.210206021358
ACH-001554,-0.349382605507
