,APITD1 (378708)
ACH-000004,-0.158728001029
ACH-000007,-0.42960453466700005
ACH-000009,-0.32706380969
ACH-000011,-0.270560526779
ACH-000012,-0.337643700949
ACH-000013,-0.23493090804400002
ACH-000014,-0.179961075561
ACH-000015,-0.09462444471270001
ACH-000017,-0.15799071141899998
ACH-000018,-0.35148651445699997
ACH-000019,-0.23660391173099998
ACH-000021,-0.18576136850900002
ACH-000022,-0.204512279805
ACH-000025,-0.315410303195
ACH-000028,-0.317445334528
ACH-000030,-0.30608626592099997
ACH-000035,-0.267417142953
ACH-000036,-0.277155749728
ACH-000037,-0.403947946594
ACH-000039,-0.298024060557
ACH-000040,-0.37909312084700003
ACH-000041,-0.20642277530699998
ACH-000042,-0.28804977403099996
ACH-000045,-0.18202862212200002
ACH-000047,-0.4303697532
ACH-000052,-0.365669824388
ACH-000053,-0.173086455886
ACH-000054,-0.094858833306
ACH-000055,-0.321878671004
ACH-000060,-0.225743487036
ACH-000067,-0.391873925845
ACH-000070,-0.164593123017
ACH-000075,-0.26581666645700003
ACH-000078,-0.469949447492
ACH-000082,-0.396956939806
ACH-000085,-0.234473980979
ACH-000086,-0.287472570108
ACH-000087,-0.27477150692200003
ACH-000092,-0.417553710058
ACH-000095,-0.219380385905
ACH-000097,-0.250964153551
ACH-000098,-0.166512973793
ACH-000099,-0.28514483094
ACH-000108,-0.172388851514
ACH-000113,-0.158094581277
ACH-000115,-0.173562583663
ACH-000116,-0.241955331548
ACH-000118,-0.321086068663
ACH-000120,-0.180641052943
ACH-000123,-0.277029879353
ACH-000127,-0.18286136944200002
ACH-000128,-0.427195363112
ACH-000132,-0.329331371268
ACH-000133,-0.730562830061
ACH-000137,-0.00594731090965
ACH-000138,-0.175864291735
ACH-000142,-0.478814259101
ACH-000143,-0.246685010511
ACH-000146,-0.014561970408700001
ACH-000148,-0.375914640395
ACH-000150,-0.43255131501
ACH-000152,-0.539834321873
ACH-000153,-0.209150100427
ACH-000159,-0.315862388504
ACH-000160,-0.262221366583
