,HIST1H1C (3006)
ACH-000004,-0.163726020297
ACH-000007,-0.207483809231
ACH-000009,-0.19877586258699997
ACH-000011,-0.494840202714
ACH-000012,-0.0930887725708
ACH-000013,-0.20582222652899998
ACH-000014,-0.6774924121699999
ACH-000015,-0.0631805321813
ACH-000017,-0.54801757328
ACH-000018,-0.390164640879
ACH-000019,-0.170094824038
ACH-000021,-0.10720209008300001
ACH-000022,-0.225237471903
ACH-000025,-0.08170739224689999
ACH-000028,-0.31470915784200004
ACH-000030,-0.210198909899
ACH-000035,-0.234706672661
ACH-000036,-0.44907808283699996
ACH-000037,-0.130408665971
ACH-000039,-0.19974284883
ACH-000040,-0.0738327211808
ACH-000041,-0.301575988373
ACH-000042,-0.184965199875
ACH-000045,-0.245918780449
ACH-000047,-0.157063575405
ACH-000052,-0.143575203731
ACH-000053,-0.0598216452589
ACH-000054,-0.21501303996399998
ACH-000055,-0.241312870418
ACH-000060,-0.19895936304200001
ACH-000067,-0.36226988450900005
ACH-000070,-0.05703865348019999
ACH-000075,-0.0976660781776
ACH-000078,-0.141650694761
ACH-000082,-0.37660627274400005
ACH-000085,-0.12337349309000001
ACH-000086,-0.20098332130399998
ACH-000087,-0.502068422027
ACH-000092,-0.378104389001
ACH-000095,-0.204652630756
ACH-000097,-0.24596346073000003
ACH-000098,-0.34457356304799996
ACH-000099,-0.199789435376
ACH-000108,-0.157717612514
ACH-000113,-0.186085761868
ACH-000115,-0.639399949923
ACH-000116,-0.19559470001499998
ACH-000118,-0.276929467951
ACH-000120,-0.276300455516
ACH-000123,-0.383976974322
ACH-000127,-0.38772834010300006
ACH-000128,-0.0531121211728
ACH-000132,-0.0849553218553
ACH-000133,-0.287653531762
ACH-000137,-0.247103889116
ACH-000138,-0.238216601831
ACH-000142,-0.21683723006900002
ACH-000143,-0.39512960924900004
ACH-000146,-0.18044850782699998
ACH-000148,-0.24211036085299997
ACH-000150,-0.231539741164
ACH-000152,-0.268263564275
ACH-000153,-0.468133580903
ACH-000159,-0.20954246599800003
ACH-000160,0.30591756188700003
ACH-000163,-0.12678658761
ACH-000167,0.43475320274499996
ACH-000168,-0.0871999155628
ACH-000169,-0.302282520843
ACH-000178,-0.33182683310100003
ACH-000182,-0.312122491811
ACH-000183,-0.31223210650899996
ACH-000188,-0.306076442865
ACH-000189,-0.43856264013
ACH-000190,0.0605654112436
ACH-000198,-0.361054568209
ACH-000204,-0.532972754912
ACH-000206,-0.830173267096
ACH-000207,-0.164752610072
ACH-000211,-0.313490761814
ACH-000215,-0.20513740439300002
ACH-000221,-0.062113361530300004
ACH-000222,-0.125428746895
ACH-000223,-0.300836082881
ACH-000226,-0.0713500992489
ACH-000227,-0.217738270233
ACH-000228,-0.265226765459
ACH-000231,-0.35901904517
ACH-000232,-0.169279772485
ACH-000233,-0.319238391754
ACH-000234,-0.475145900806
ACH-000235,-0.21482217859299998
ACH-000237,-0.08964057050339999
ACH-000238,-0.185856343517
ACH-000243,-0.239678385652
ACH-000244,0.013331478832399999
ACH-000246,-0.373043841691
ACH-000248,-0.228802476031
ACH-000250,-0.449662019524
ACH-000251,-0.48945404005500004
ACH-000253,-0.415945269006
ACH-000255,-0.0116978699306
ACH-000256,-0.14829719220899998
ACH-000257,-0.413368607941
ACH-000258,-0.260809544911
ACH-000259,-0.250422099217
ACH-000260,-0.220053463486
ACH-000261,-0.19270278305500002
ACH-000262,-0.295404660022
ACH-000263,-0.0166125327215
ACH-000264,-0.216424550894
ACH-000265,-0.0404386651309
ACH-000266,-0.26595320149999996
ACH-000272,-0.338578307649
ACH-000273,-0.317261598474
ACH-000274,-0.20224315521800001
ACH-000277,-0.22850858292399998
ACH-000278,-0.10683733210000002
ACH-000279,-0.13032257898
ACH-000280,-0.34471171190399996
ACH-000281,-0.0969338867639
ACH-000288,-0.29645052219
ACH-000291,-0.17565229198399998
ACH-000293,-0.207752546156
ACH-000294,-0.08214692712060001
ACH-000295,-0.745194183777
ACH-000296,-0.237325920398
ACH-000302,-0.31567716810199997
ACH-000304,-0.333871078796
ACH-000307,-0.0762281520824
ACH-000308,-0.29667772508900003
ACH-000310,-0.03476399380069999
ACH-000311,-0.19031395058400002
ACH-000312,-0.174692930957
ACH-000315,-0.045186068486699996
ACH-000316,-0.23481385454999998
ACH-000317,-0.018730765437200002
ACH-000318,-0.267474833438
ACH-000319,-0.314212714271
ACH-000320,-0.14379059855
ACH-000322,-0.42708740972900006
ACH-000323,-0.1884042843
ACH-000324,-0.210859520686
ACH-000329,-0.30478599143
ACH-000330,-0.5079625503899999
