,NT5C (30833)
ACH-000004,-0.259880214719
ACH-000007,-0.09189843186519998
ACH-000009,-0.496015480117
ACH-000011,-0.5101841420359999
ACH-000012,-0.215793996466
ACH-000013,-0.17543970653700003
ACH-000014,-0.17815848925799999
ACH-000015,-0.11804861267200001
ACH-000017,-0.47089089694700004
ACH-000018,-0.380480108104
ACH-000019,-0.40139824414499997
ACH-000021,-0.0475657611044
ACH-000022,-0.222285702928
ACH-000025,-0.13363317969799998
ACH-000028,-0.528181563473
ACH-000030,-0.272929734404
ACH-000035,-0.187496937476
ACH-000036,-0.08984998715739999
ACH-000037,0.009110000605829999
ACH-000039,-0.635575694242
ACH-000040,-0.266010752316
ACH-000041,-0.268255106624
ACH-000042,-0.506165137587
ACH-000045,-0.233140184699
ACH-000047,-0.435979399675
ACH-000052,-0.21026241315000002
ACH-000053,-0.262004426907
ACH-000054,-0.224195487915
ACH-000055,-0.09419095270689999
ACH-000060,-0.328012181292
ACH-000067,-0.500594965199
ACH-000070,-0.164624132257
ACH-000075,-0.343056847062
ACH-000078,-0.405902839432
ACH-000082,-0.22019224879500002
ACH-000085,-0.31816681254900003
ACH-000086,-0.356135375884
ACH-000087,-0.202072508414
ACH-000092,-0.0792356865597
ACH-000095,-0.493683351727
ACH-000097,-0.288314905763
ACH-000098,-0.256965142835
ACH-000099,-0.542719058819
ACH-000108,-0.49266778496799996
ACH-000113,-0.18932151620999998
ACH-000115,-0.225821614894
ACH-000116,-0.150438481314
ACH-000118,-0.429254241487
ACH-000120,-0.498504500811
ACH-000123,-0.2536149193
ACH-000127,-0.23450294291700002
ACH-000128,-0.233885437762
ACH-000132,-0.319606067487
ACH-000133,-0.253205239473
ACH-000137,-0.21157811908
ACH-000138,-0.249979348069
ACH-000142,-0.48131345248400004
ACH-000143,-0.36801448317100005
ACH-000146,-0.324661035532
ACH-000148,-0.39994536151999993
ACH-000150,-0.639201114817
ACH-000152,-0.5143716576690001
ACH-000153,-0.277708289976
ACH-000159,-0.41154707657300005
ACH-000160,-0.302775270377
ACH-000163,-0.37974246989
ACH-000167,-0.37710089634800004
ACH-000168,-0.354886757004
ACH-000169,-0.27472425024
ACH-000178,-0.209206835922
ACH-000182,-0.383467503023
ACH-000183,-0.18027160704599998
ACH-000188,-0.138241429355
ACH-000189,-0.268910689861
ACH-000190,-0.519968385179
ACH-000198,-0.206469479533
ACH-000204,-0.08729149664130001
ACH-000206,-0.0703698905434
ACH-000207,-0.45894313236699996
ACH-000211,-0.43166909714699997
ACH-000215,-0.33630529893
ACH-000221,-0.19084763055999998
ACH-000222,-0.09186694417960001
ACH-000223,-0.22110558976599998
ACH-000226,-0.395828768112
ACH-000227,-0.470043039178
ACH-000228,-0.43308852656
ACH-000231,-0.35656686164000007
ACH-000232,-0.178575998888
ACH-000233,-0.453199918349
ACH-000234,-0.10983059010299999
ACH-000235,-0.311425917728
ACH-000237,-0.373674020422
ACH-000238,-0.18703608130199997
ACH-000243,-0.223976296974
ACH-000244,-0.005702311246
ACH-000246,-0.235892774038
ACH-000248,-0.346449594226
ACH-000250,-0.372974357222
ACH-000251,-0.702028215272
ACH-000253,-0.22736106139000004
