,NVL (4931)
ACH-000004,-0.985216549805
ACH-000007,-1.3439570802399998
ACH-000009,-1.54316016882
ACH-000011,-1.2774228976200002
ACH-000012,-1.20538801452
ACH-000013,-1.3285100244499999
ACH-000014,-1.15585968997
ACH-000015,-1.16943007667
ACH-000017,-1.1730780169700001
ACH-000018,-1.35607801339
ACH-000019,-1.32988885232
ACH-000021,-1.23796400378
ACH-000022,-1.20295556704
ACH-000025,-1.1794440031
ACH-000028,-1.07838654535
ACH-000030,-1.15016839829
ACH-000035,-1.30837158524
ACH-000036,-1.3446160377599998
ACH-000037,-1.02032519567
ACH-000039,-1.22230843543
ACH-000040,-1.26466195705
ACH-000041,-1.1618766739700002
ACH-000042,-1.1282526228899998
ACH-000045,-1.53262526366
ACH-000047,-1.1879089262
ACH-000052,-1.13382776396
ACH-000053,-1.2455627494
ACH-000054,-1.29163123122
ACH-000055,-1.1150365725700002
ACH-000060,-0.899455753092
ACH-000067,-1.3282110284100002
ACH-000070,-1.04893700784
ACH-000075,-1.13596107689
ACH-000078,-1.23484553982
ACH-000082,-1.23471327108
ACH-000085,-0.9659913217299999
ACH-000086,-1.0614466755399998
ACH-000087,-1.00795998075
ACH-000092,-1.09250938505
ACH-000095,-1.19212811042
ACH-000097,-0.994494478973
ACH-000098,-1.3594555272799997
ACH-000099,-1.3979003379600001
ACH-000108,-1.0857275532
ACH-000113,-0.9703431072959999
ACH-000115,-1.69407383863
ACH-000116,-0.891986755506
ACH-000118,-1.20567204148
ACH-000120,-1.11492548258
ACH-000123,-1.3547815223100002
ACH-000127,-1.08354953468
ACH-000128,-1.3341347258299998
ACH-000132,-0.9627426979420001
ACH-000133,-1.1076859785
ACH-000137,-1.48732214835
ACH-000138,-1.33428001909
ACH-000142,-1.40757455975
ACH-000143,-1.3715210654299999
ACH-000146,-1.115039742
ACH-000148,-1.2714902574299998
ACH-000150,-1.1386472004100001
ACH-000152,-1.29331665847
ACH-000153,-1.54093194786
ACH-000159,-1.20346618967
ACH-000160,-1.6162099433500001
ACH-000163,-1.4481040968799999
ACH-000167,-1.67871189615
ACH-000168,-1.15869390854
ACH-000169,-1.2438798913200002
ACH-000178,-1.08442129713
ACH-000182,-1.3526343565
ACH-000183,-1.14408519072
ACH-000188,-1.46138484865
ACH-000189,-1.35890201019
ACH-000190,-0.9456045571539999
ACH-000198,-1.2712862059399999
ACH-000204,-1.4808196258700002
ACH-000206,-0.728076072477
ACH-000207,-1.39957643347
ACH-000211,-1.1321487841
ACH-000215,-1.06989518623
ACH-000221,-0.934332639172
ACH-000222,-1.22133540663
ACH-000223,-1.3980562695200003
ACH-000226,-1.28182255565
ACH-000227,-1.1880830002399998
ACH-000228,-1.0238381317899998
ACH-000231,-1.06771395273
ACH-000232,-1.20167057816
ACH-000233,-1.2210479829
ACH-000234,-0.9773872805089999
ACH-000235,-1.0847240627299999
ACH-000237,-1.39238581456
ACH-000238,-0.967383960014
ACH-000243,-1.2359224415
ACH-000244,-1.37663434431
ACH-000246,-1.01738960804
ACH-000248,-1.17626293271
ACH-000250,-1.1134196785600001
ACH-000251,-1.29506633795
ACH-000253,-1.2961056087799998
ACH-000255,-1.1316308045399999
ACH-000256,-1.20314927102
ACH-000257,-1.1437856476200001
ACH-000258,-0.895397978633
ACH-000259,-1.0597897636700002
ACH-000260,-1.29795009685
ACH-000261,-1.29241901597
ACH-000262,-1.17777100198
ACH-000263,-1.3652986037200001
ACH-000264,-1.20492387597
ACH-000265,-1.10952074811
ACH-000266,-1.1845531805299998
ACH-000272,-1.19721341724
ACH-000273,-1.3748269073100001
ACH-000274,-1.2221847372
ACH-000277,-1.41336354199
