,C1QBP (708)
ACH-000004,-0.502515420639
ACH-000007,-0.512005152956
ACH-000009,-0.62685250857
ACH-000011,-0.382250431557
ACH-000012,-0.588505242829
ACH-000013,-0.9429175374809999
ACH-000014,-0.22905360471099998
ACH-000015,-0.7151424326450001
ACH-000017,-0.626797121624
ACH-000018,-0.45038339736199995
ACH-000019,-0.7870240751719999
ACH-000021,-0.415574620422
ACH-000022,-0.572127376276
ACH-000025,-0.879111625246
ACH-000028,-0.734470632598
ACH-000030,-0.37488857126900005
ACH-000035,-0.857997755702
ACH-000036,-0.5181721271249999
ACH-000037,-0.579604998473
ACH-000039,-0.637594037211
ACH-000040,-0.5167289738499999
ACH-000041,-0.610095749239
ACH-000042,-0.448010108608
ACH-000045,-0.8577180007459999
ACH-000047,-0.678869505808
ACH-000052,-0.35440356119599997
ACH-000053,-0.517903243552
ACH-000054,-0.25038478655
ACH-000055,-0.317088822072
ACH-000060,-0.6979020417370001
ACH-000067,-0.34646080986
ACH-000070,-0.73801447699
ACH-000075,-0.36498821422399996
ACH-000078,-0.409894687796
ACH-000082,-0.504206569047
ACH-000085,-0.274620029278
ACH-000086,-0.545561870878
ACH-000087,-0.395774132829
ACH-000092,-0.378263791804
ACH-000095,-0.3496390815
ACH-000097,-0.32814791313499997
ACH-000098,-0.59359023662
ACH-000099,-0.865289135007
ACH-000108,-0.373248731367
ACH-000113,-0.8015721547239999
ACH-000115,-0.571430802871
ACH-000116,-0.7362840795450001
ACH-000118,-0.567888222398
ACH-000120,-0.428004762147
ACH-000123,-0.681048463355
ACH-000127,-0.626782887942
ACH-000128,-0.809212169474
ACH-000132,-0.41380749000699996
ACH-000133,-0.8444807920280001
ACH-000137,-0.39237887418399997
ACH-000138,-0.446621373612
ACH-000142,-0.44870096563100004
ACH-000143,-0.510187599904
ACH-000146,-0.22545818893599998
ACH-000148,-0.711444483524
ACH-000150,-0.7423800244679999
ACH-000152,-0.62381187915
ACH-000153,-0.9233016760439999
ACH-000159,-0.48182427968999997
ACH-000160,-0.207121090244
ACH-000163,-0.474866993332
ACH-000167,0.34400486370899996
ACH-000168,-0.399726600796
ACH-000169,-0.31187151063
ACH-000178,-0.508272849158
ACH-000182,-0.762798269082
ACH-000183,-0.506691382127
ACH-000188,-0.815757049226
ACH-000189,-0.41896352595700004
ACH-000190,-0.321236447027
ACH-000198,-0.559606950549
ACH-000204,-0.622901593477
ACH-000206,-0.246416883171
ACH-000207,-0.74302711122
ACH-000211,-0.39783047539300004
ACH-000215,-0.612414818149
ACH-000221,-1.11243071997
ACH-000222,-0.228311822779
ACH-000223,-0.701450570668
ACH-000226,-0.571257322422
ACH-000227,-0.580699982967
ACH-000228,-0.5649427048960001
ACH-000231,-0.2463271202
ACH-000232,-0.651885575066
ACH-000233,-0.646153174481
ACH-000234,-0.363718151361
ACH-000235,-0.325938470726
ACH-000237,-0.165818734087
ACH-000238,-0.813397762812
ACH-000243,-0.461001819118
ACH-000244,-0.770096239431
ACH-000246,-0.828120432378
ACH-000248,-0.534663121834
ACH-000250,-0.36919154544699995
ACH-000251,-0.37960494652800003
ACH-000253,-0.400232045581
ACH-000255,-0.528098062767
ACH-000256,-0.481460728916
ACH-000257,-0.696026650107
ACH-000258,-0.108055444298
ACH-000259,-0.553805707757
ACH-000260,-0.478574822596
ACH-000261,-0.303497760762
ACH-000262,-1.03258681327
ACH-000263,-0.59151347024
ACH-000264,-0.510966196683
ACH-000265,-0.7265939261319999
ACH-000266,-0.328351532303
ACH-000272,-0.571673516779
ACH-000273,-0.31331643618
ACH-000274,-0.7875095563619999
ACH-000277,-0.524211390368
ACH-000278,-0.549977811008
ACH-000279,-0.664647358363
ACH-000280,-0.695764631559
ACH-000281,-0.395292151694
ACH-000288,-0.85799653403
ACH-000291,-0.551162958423
ACH-000293,-1.01659878205
ACH-000294,-0.00428115769774
ACH-000295,-0.455033679647
ACH-000296,-0.34027839741
ACH-000302,-0.518857701275
ACH-000304,-0.7876836133509999
ACH-000307,-0.359863207807
ACH-000308,-0.305819007124
ACH-000310,-0.400806041409
ACH-000311,-0.39541942525799995
ACH-000312,-0.545887243136
ACH-000315,-0.46116299783500003
ACH-000316,-0.24680555266600002
ACH-000317,-0.714369030644
ACH-000318,-0.888095966963
ACH-000319,-0.5153823881399999
ACH-000320,-0.26579370567
ACH-000322,-0.7989680221400001
ACH-000323,-0.930344486838
ACH-000324,-0.238911573657
ACH-000329,-0.6029557024800001
ACH-000330,-0.5430881852699999
ACH-000331,-0.626495715593
ACH-000332,-0.501686073868
ACH-000334,-0.6027316889859999
ACH-000335,-0.209044104289
ACH-000336,-0.9048671503799999
