,TRNT1 (51095)
ACH-000004,-1.39230846967
ACH-000007,-1.56466362315
ACH-000009,-1.6317652090399999
ACH-000011,-1.36096015352
ACH-000012,-1.5760662008300002
ACH-000013,-1.32552561885
ACH-000014,-1.62172186413
ACH-000015,-1.39915336666
ACH-000017,-1.33561503721
ACH-000018,-1.52212142958
ACH-000019,-1.29343030549
ACH-000021,-1.4533984139200002
ACH-000022,-1.52287313695
ACH-000025,-1.5567024936700002
ACH-000028,-1.2969509988799999
ACH-000030,-1.46424493557
ACH-000035,-1.4272999070899999
ACH-000036,-1.37246896872
ACH-000037,-0.687739474396
ACH-000039,-1.57029060936
ACH-000040,-1.6308498032799998
ACH-000041,-1.6226160229799997
ACH-000042,-1.6597755638799998
ACH-000045,-1.7074495607799998
ACH-000047,-1.24078194456
ACH-000052,-1.5082048855899999
ACH-000053,-1.43821978542
ACH-000054,-1.58959918208
ACH-000055,-1.55295487776
ACH-000060,-1.6652802023299997
ACH-000067,-1.63948024592
ACH-000070,-1.3701237196
ACH-000075,-1.52731530618
ACH-000078,-1.6742787122799998
ACH-000082,-0.8647236878740001
ACH-000085,-1.41934172426
ACH-000086,-1.5463216192500002
ACH-000087,-1.48075144809
ACH-000092,-1.71388662378
ACH-000095,-1.4766216637
ACH-000097,-1.36752996873
ACH-000098,-1.51791989244
ACH-000099,-1.53408982724
ACH-000108,-1.5192042743
ACH-000113,-1.33200642447
ACH-000115,-1.29356139118
ACH-000116,-1.57598292773
ACH-000118,-1.23142643712
ACH-000120,-1.4149521502000002
ACH-000123,-1.47727554655
ACH-000127,-1.5840491719499998
ACH-000128,-1.49897367254
ACH-000132,-1.49611840593
ACH-000133,-1.46752073743
ACH-000137,-1.5928482092200003
ACH-000138,-1.6084921699599999
ACH-000142,-1.5168596781400001
ACH-000143,-1.25330269448
ACH-000146,-1.37345024735
ACH-000148,-1.5420384714200002
ACH-000150,-1.6143544489300001
ACH-000152,-1.6853855395800001
ACH-000153,-1.44696499245
ACH-000159,-1.6411051408200001
ACH-000160,-1.42786160258
ACH-000163,-1.50262685917
ACH-000167,-1.7587063765400002
ACH-000168,-1.4266551638
ACH-000169,-1.43480391817
ACH-000178,-1.4519224665000001
ACH-000182,-1.42045388825
ACH-000183,-1.41354031334
ACH-000188,-1.40519663849
ACH-000189,-1.49213326573
ACH-000190,-1.32786019426
ACH-000198,-1.43580315818
ACH-000204,-1.38849369176
ACH-000206,-1.2753488996200002
ACH-000207,-1.22261254566
ACH-000211,-1.46292795141
ACH-000215,-1.62567833367
ACH-000221,-1.37596526759
ACH-000222,-1.78602087156
ACH-000223,-1.42941183919
ACH-000226,-1.57752286956
ACH-000227,-1.09593679141
ACH-000228,-1.50857198771
ACH-000231,-1.57948562186
ACH-000232,-1.49392929194
ACH-000233,-1.49944405598
ACH-000234,-1.6757440572799998
ACH-000235,-1.52496356003
ACH-000237,-1.7852018164099996
ACH-000238,-1.76077490273
ACH-000243,-1.4640576466400002
ACH-000244,-1.53243245753
ACH-000246,-1.60345633477
ACH-000248,-1.6143264032100002
ACH-000250,-1.52927674546
ACH-000251,-1.4176221376
ACH-000253,-1.80256085711
ACH-000255,-1.4059178229799998
ACH-000256,-1.51038523505
ACH-000257,-1.77804703758
ACH-000258,-1.611999261
ACH-000259,-1.59568208463
ACH-000260,-1.47862105224
ACH-000261,-1.32242374259
ACH-000262,-1.44596054661
ACH-000263,-1.65393630018
ACH-000264,-1.55280561116
ACH-000265,-1.17776249436
ACH-000266,-1.51069955149
ACH-000272,-1.63335166687
ACH-000273,-1.3734464423100001
ACH-000274,-1.47715465206
ACH-000277,-1.53629092227
ACH-000278,-1.76183308021
ACH-000279,-1.7532712936099997
ACH-000280,-1.39330636493
ACH-000281,-1.41995105373
ACH-000288,-1.5050242476700002
ACH-000291,-1.6052798626
ACH-000293,-1.7060726693000001
ACH-000294,-1.64012570259
ACH-000295,-1.56113117831
ACH-000296,-1.2831639822299998
ACH-000302,-1.14665404266
ACH-000304,-1.5894103567500002
ACH-000307,-1.4388156516
ACH-000308,-1.82216406865
ACH-000310,-1.17802687685
ACH-000311,-1.3109514012799999
ACH-000312,-1.67490315365
ACH-000315,-1.32913559888
ACH-000316,-1.39928737359
ACH-000317,-1.34725064092
ACH-000318,-1.28098528051
ACH-000319,-1.65013246479
ACH-000320,-1.6943555100499998
ACH-000322,-1.5155281135799998
ACH-000323,-1.5880509283700002
ACH-000324,-1.55493590082
ACH-000329,-1.59967191768
ACH-000330,-1.45334009505
ACH-000331,-1.17943326329
ACH-000332,-1.55481547023
ACH-000334,-1.8328805990700001
ACH-000335,-1.3915328599899999
ACH-000336,-1.99905673028
ACH-000337,-1.4862027304299998
ACH-000339,-1.5394877910100002
ACH-000341,-1.80687701363
ACH-000348,-1.69544416267
ACH-000350,-1.3795466230200002
ACH-000352,-1.34065888729
ACH-000356,-1.307329212
ACH-000361,-1.94997061665
ACH-000362,-1.37603866109
ACH-000363,-1.18531629769
ACH-000364,-1.36616747976
ACH-000365,-1.7712454095299999
ACH-000366,-1.4885067321399998
ACH-000368,-1.39373332694
ACH-000374,-1.52726831764
ACH-000375,-1.30338504336
ACH-000376,-1.34692913462
ACH-000381,-1.6919375543200001
ACH-000383,-1.44263573456
ACH-000387,-1.29799180604
ACH-000389,-1.01967596611
ACH-000390,-2.02526922262
ACH-000393,-1.74999869539
ACH-000395,-1.4896712117299997
ACH-000397,-1.6145187702700001
ACH-000401,-1.4392011967299998
ACH-000402,-2.0617945498299997
ACH-000403,-1.4114295341799998
ACH-000404,-1.3468424809200001
ACH-000406,-1.3837906203299999
ACH-000407,-1.6243482171799999
ACH-000408,-1.44553803592
ACH-000410,-1.43897166174
ACH-000411,-1.4502617107700002
ACH-000414,-1.5429924663299999
ACH-000415,-1.47479021766
ACH-000416,-1.43686280204
ACH-000420,-1.59274718829
ACH-000421,-1.54006969178
ACH-000424,-1.40170793046
ACH-000425,-1.9120168463499998
ACH-000426,-1.29714893843
ACH-000427,-1.29683734315
ACH-000433,-1.63067599605
ACH-000436,-1.2270386981999999
ACH-000444,-1.2838750682
ACH-000445,-1.530188956
ACH-000448,-1.63233779104
ACH-000450,-1.40094378871
ACH-000452,-1.61583248161
ACH-000454,-1.32753644785
ACH-000458,-1.1696669494299998
ACH-000459,-1.12626511674
ACH-000460,-1.49100381709
ACH-000461,-1.33002594271
ACH-000463,-1.4399995836000001
ACH-000464,-1.6557663789
ACH-000466,-1.56633671908
ACH-000467,-1.63728563028
ACH-000468,-1.8368595414900002
ACH-000469,-1.4046477341499999
ACH-000470,-1.8115017716400001
ACH-000471,-1.5797471654
ACH-000472,-1.7202783399400001
ACH-000473,-1.4254384227099999
ACH-000475,-1.6523131425600002
