,ARGFX (503582)
ACH-000004,-0.688001094455
ACH-000007,-0.727262932789
ACH-000009,-0.7938028834119999
ACH-000011,-0.719770579662
ACH-000012,-0.704501489618
ACH-000013,-0.651908762687
ACH-000014,-0.8499848343109999
ACH-000015,-0.593113035853
ACH-000017,-0.672101586715
ACH-000018,-0.683094128934
ACH-000019,-0.676938351266
ACH-000021,-0.674758203372
ACH-000022,-0.536895097557
ACH-000025,-0.641640220996
ACH-000028,-0.6883294635959999
ACH-000030,-0.720273778874
ACH-000035,-0.799382288128
ACH-000036,-0.520313415103
ACH-000037,-0.719884913425
ACH-000039,-0.8353882204749999
ACH-000040,-0.5788862729950001
ACH-000041,-0.7021891987119999
ACH-000042,-0.661308207989
ACH-000045,-0.804536617825
ACH-000047,-0.7497229216179999
ACH-000052,-0.682577277431
ACH-000053,-0.762427697416
ACH-000054,-0.639150064987
ACH-000055,-0.9014721894419999
ACH-000060,-0.7988051068780001
ACH-000067,-0.712822267624
ACH-000070,-0.578754991264
ACH-000075,-0.666544837797
ACH-000078,-0.617849940997
ACH-000082,-0.712231932279
ACH-000085,-0.774151366344
ACH-000086,-0.626251308139
ACH-000087,-0.442727904265
ACH-000092,-0.688026548135
ACH-000095,-0.741837682978
ACH-000097,-0.8171287067470001
ACH-000098,-0.49583849668499996
ACH-000099,-0.532663803124
ACH-000108,-0.377396049582
ACH-000113,-0.583857326928
ACH-000115,-0.30675794402199996
ACH-000116,-0.635295617187
ACH-000118,-0.7501131109460001
ACH-000120,-0.581190509664
ACH-000123,-0.6989194761290001
ACH-000127,-0.591612519563
ACH-000128,-0.930795134748
ACH-000132,-0.7724270860279999
ACH-000133,-0.591232014785
ACH-000137,-0.427319895778
ACH-000138,-0.693502420432
ACH-000142,-0.722108687724
ACH-000143,-0.618834279232
ACH-000146,-0.867362738723
ACH-000148,-0.679229704924
ACH-000150,-0.4796074191
ACH-000152,-0.810977372898
ACH-000153,-0.667642301665
ACH-000159,-0.571241749234
ACH-000160,-0.571230362752
ACH-000163,-0.665695770717
ACH-000167,-0.682726842888
ACH-000168,-0.668168718614
ACH-000169,-0.570802221514
ACH-000178,-0.638458151563
ACH-000182,-0.658233140186
ACH-000183,-0.70643137418
ACH-000188,-0.7665211522100001
ACH-000189,-0.654121763297
ACH-000190,-0.60401873513
ACH-000198,-0.656656695969
ACH-000204,-0.645676632734
ACH-000206,-0.788880351173
ACH-000207,-0.739538913699
ACH-000211,-0.729817303293
ACH-000215,-0.555531968973
ACH-000221,-0.706587141594
ACH-000222,-0.8396367452
ACH-000223,-0.66222059857
ACH-000226,-0.712406223519
ACH-000227,-0.467443473745
ACH-000228,-0.6886375126719999
ACH-000231,-0.648982773127
ACH-000232,-0.7100540229180001
ACH-000233,-0.652297296691
ACH-000234,-0.36817743571
ACH-000235,-0.649383326738
ACH-000237,-0.8359224447600001
ACH-000238,-0.668864756769
ACH-000243,-0.6503436135840001
ACH-000244,-0.7960282666449999
ACH-000246,-0.650221483453
ACH-000248,-0.726776498176
ACH-000250,-0.671934560072
ACH-000251,-0.602648019542
ACH-000253,-0.731077702748
ACH-000255,-0.64048351948
ACH-000256,-0.423619327542
ACH-000257,-0.714900058168
ACH-000258,-0.680192879076
ACH-000259,-0.7486007983509999
ACH-000260,-0.69895907732
ACH-000261,-0.803585038472
ACH-000262,-0.7200161463220001
ACH-000263,-0.617070385626
ACH-000264,-0.8078826355329999
ACH-000265,-0.677508757622
ACH-000266,-0.607675682677
ACH-000272,-0.84079855883
ACH-000273,-0.561134955036
ACH-000274,-0.670153693664
ACH-000277,-0.5093518750770001
ACH-000278,-0.965629821802
ACH-000279,-0.579428331428
ACH-000280,-0.6748429511499999
ACH-000281,-0.5617614489580001
ACH-000288,-0.66874508805
ACH-000291,-0.593145208117
ACH-000293,-0.8613263938689999
ACH-000294,-0.499810851061
ACH-000295,-0.46459036125799996
ACH-000296,-0.792215095491
ACH-000302,-0.7924767635809999
ACH-000304,-0.945064285062
ACH-000307,-0.6250003849279999
ACH-000308,-0.623867952322
ACH-000310,-0.652444279206
ACH-000311,-0.7030633393440001
ACH-000312,-0.58380589822
ACH-000315,-0.5370325295489999
ACH-000316,-0.6369684446280001
ACH-000317,-0.6793934351049999
ACH-000318,-0.661209164575
ACH-000319,-0.502172894662
ACH-000320,-0.510204219879
ACH-000322,-0.942753064578
ACH-000323,-0.6885890126909999
ACH-000324,-0.7226558239129999
ACH-000329,-0.653376735106
ACH-000330,-0.6935864646369999
ACH-000331,-0.6963070697210001
ACH-000332,-0.670175362796
ACH-000334,-0.8098292807780001
ACH-000335,-0.797789244278
ACH-000336,-0.529474335761
ACH-000337,-0.679926491911
ACH-000339,-0.731279029085
ACH-000341,-0.556208459089
ACH-000348,-0.758084894234
ACH-000350,-0.9842382891600001
ACH-000352,-0.573213290325
ACH-000356,-0.7145628933329999
ACH-000361,-0.555066693596
ACH-000362,-0.799460990308
ACH-000363,-0.6380036644470001
ACH-000364,-0.850128015643
ACH-000365,-0.580604143496
ACH-000366,-0.703689246951
ACH-000368,-0.793482497283
ACH-000374,-0.590441916018
ACH-000375,-0.869016970553
ACH-000376,-0.668252322304
ACH-000381,-0.975801231076
ACH-000383,-0.622037688031
ACH-000387,-0.7317209579839999
ACH-000389,-0.361156367053
ACH-000390,-0.709975427578
ACH-000393,-0.692007547047
ACH-000395,-0.568446239748
ACH-000397,-0.833698708969
ACH-000401,-0.532555913015
ACH-000402,-0.587678239581
ACH-000403,-0.731950551537
ACH-000404,-0.693968770792
ACH-000406,-0.830984594668
ACH-000407,-0.804054338153
ACH-000408,-0.356331758773
ACH-000410,-0.656498610642
ACH-000411,-0.638401638333
ACH-000414,-0.802157224971
ACH-000415,-0.500133714474
ACH-000416,-0.542481219292
ACH-000420,-0.726403844383
ACH-000421,-0.748290034023
ACH-000424,-0.37915596136699997
ACH-000425,-0.570746008112
ACH-000426,-0.983849749094
ACH-000427,-0.47945226137900004
ACH-000433,-0.796883106749
ACH-000436,-0.6314821076179999
ACH-000444,-0.671927717728
ACH-000445,-0.510407150841
ACH-000448,-0.832467995029
ACH-000450,-0.616950605871
ACH-000452,-0.544272111707
ACH-000454,-0.704308309596
ACH-000458,-0.635705428058
ACH-000459,-0.939769275149
ACH-000460,-0.7449325426819999
ACH-000461,-0.6041273675500001
ACH-000463,-0.6468209904159999
ACH-000464,-0.802819379187
ACH-000466,-0.84049972987
