,HIST1H2AD (3013)
ACH-000004,-0.0339303788644
ACH-000007,-0.507417096074
ACH-000009,-0.0971596420247
ACH-000011,-0.7128249361139999
ACH-000012,-0.381478782496
ACH-000013,-0.482408451888
ACH-000014,-0.484347370705
ACH-000015,-0.158524716383
ACH-000017,-0.32591836832
ACH-000018,-0.329668591305
ACH-000019,-0.42981426468500006
ACH-000021,-0.126370028567
ACH-000022,-0.19714059704700002
ACH-000025,-0.273059440261
ACH-000028,-0.335662111246
ACH-000030,-0.319526556081
ACH-000035,-0.548044956754
ACH-000036,-0.265823330191
ACH-000037,-0.6025398321000001
ACH-000039,-0.323201509042
ACH-000040,-0.49982913313199995
ACH-000041,-0.412771579274
ACH-000042,-0.14329984725199998
ACH-000045,-0.49683436213
ACH-000047,-0.443815868289
ACH-000052,-0.656777701024
ACH-000053,-0.17704592908
ACH-000054,-0.325599165069
ACH-000055,-0.43094944843599997
ACH-000060,-0.554640487512
ACH-000067,-0.436205944934
ACH-000070,-0.7094758046999999
ACH-000075,-0.7797290143719999
ACH-000078,-0.255628233024
ACH-000082,-0.5415769510840001
ACH-000085,-0.40734485225999995
ACH-000086,-0.22619835383499998
ACH-000087,-0.448319603133
ACH-000092,-0.38387135300999997
ACH-000095,-0.351685666112
ACH-000097,-0.360383816281
ACH-000098,-0.36922695601899996
ACH-000099,-0.31865379723000004
ACH-000108,-0.113539467998
ACH-000113,-0.628694067954
ACH-000115,-0.880942905184
ACH-000116,-0.481877175452
ACH-000118,-0.384061543371
ACH-000120,-0.19278930449599999
ACH-000123,-0.341442474824
ACH-000127,-0.49980798381
ACH-000128,-0.353644875367
ACH-000132,-0.28527706698800004
ACH-000133,-0.140826215463
ACH-000137,-0.558360397512
ACH-000138,-0.100547852153
ACH-000142,-0.443562323116
ACH-000143,-0.256873685954
ACH-000146,-0.300560236795
ACH-000148,-0.40907488228
ACH-000150,-0.517335587391
ACH-000152,-0.293173224641
ACH-000153,-0.39424010503
ACH-000159,-0.45029936729500003
ACH-000160,-0.272443309363
ACH-000163,-0.5024051254899999
ACH-000167,-0.609648281651
ACH-000168,-0.629888486338
ACH-000169,-0.415708182261
ACH-000178,-0.275765254858
ACH-000182,-0.32146466459
ACH-000183,-0.254157707775
ACH-000188,-0.26833943613600003
ACH-000189,-0.711503053416
ACH-000190,-0.353812642856
ACH-000198,-0.477994337697
ACH-000204,-0.438015312976
ACH-000206,-0.789829909893
ACH-000207,-0.34245591963399996
ACH-000211,-0.449235004347
ACH-000215,-0.44403307477700005
ACH-000221,-0.310291025528
ACH-000222,-0.348020861198
ACH-000223,-0.5245559203760001
ACH-000226,-0.507762903666
ACH-000227,-0.6838652662270001
ACH-000228,-0.389096329597
ACH-000231,-0.620024245872
ACH-000232,-0.343007663538
ACH-000233,-0.596041493623
ACH-000234,-0.45563361806599995
ACH-000235,-0.270160188871
ACH-000237,-0.35384057514399997
ACH-000238,-0.599237795661
