,PRPF38A (84950)
ACH-000004,-1.4077265806200001
ACH-000007,-1.2858490999299999
ACH-000009,-1.7202768380000002
ACH-000011,-1.5716169919999998
ACH-000012,-1.2758510198200002
ACH-000013,-1.63288988727
ACH-000014,-1.3759768173500002
ACH-000015,-1.46052318736
ACH-000017,-1.36582791299
ACH-000018,-1.27981574419
ACH-000019,-1.51843411845
ACH-000021,-1.4734871671
ACH-000022,-1.62971706607
ACH-000025,-1.3728443116999998
ACH-000028,-1.21407283122
ACH-000030,-1.4520023938100002
ACH-000035,-1.31247012683
ACH-000036,-1.29166175781
ACH-000037,-2.00027288733
ACH-000039,-1.66361875416
ACH-000040,-1.36907113813
ACH-000041,-1.26725853328
ACH-000042,-1.2280762109899999
ACH-000045,-1.6348164707100001
ACH-000047,-1.40216269659
ACH-000052,-1.0588169511799999
ACH-000053,-1.48447142411
ACH-000054,-1.7003814654
ACH-000055,-1.25429393033
ACH-000060,-0.985769939218
ACH-000067,-1.15101162296
ACH-000070,-1.7608940457
ACH-000075,-1.3889979913400001
ACH-000078,-1.4270122646899999
ACH-000082,-1.3293052624200001
ACH-000085,-1.5578726631200002
ACH-000086,-1.33794016207
ACH-000087,-1.8082868421
ACH-000092,-1.3448207347799999
ACH-000095,-1.59620249938
ACH-000097,-1.68438419296
ACH-000098,-1.4947143512099998
ACH-000099,-1.56063178709
ACH-000108,-1.36241489136
ACH-000113,-1.61779493889
ACH-000115,-2.23405042153
ACH-000116,-1.3178200534
ACH-000118,-1.22347778823
ACH-000120,-1.40197169447
ACH-000123,-1.5750331047100001
ACH-000127,-1.6141940995299997
ACH-000128,-1.23828941661
ACH-000132,-1.55757887118
ACH-000133,-1.5360915405899997
ACH-000137,-1.33782850111
ACH-000138,-1.36112855956
ACH-000142,-1.36434794195
ACH-000143,-1.62268955924
ACH-000146,-1.63767822131
ACH-000148,-1.5302248300299999
ACH-000150,-1.48901816382
ACH-000152,-1.35958915708
ACH-000153,-1.4042346095500002
ACH-000159,-1.42675935838
ACH-000160,-1.7714050008400002
ACH-000163,-1.29789759802
ACH-000167,-2.18054482641
ACH-000168,-1.21762146924
ACH-000169,-1.37788770236
ACH-000178,-1.4393797876899999
ACH-000182,-1.57392714155
ACH-000183,-1.5723291024500001
ACH-000188,-1.50755304889
ACH-000189,-1.20306955866
ACH-000190,-1.19399363154
ACH-000198,-1.46072758109
ACH-000204,-1.5436293904700003
ACH-000206,-1.7355734843400001
ACH-000207,-2.31181000255
ACH-000211,-1.25517373846
ACH-000215,-1.7162255759099998
ACH-000221,-1.35437534879
ACH-000222,-1.6006352150999998
ACH-000223,-1.7781603829700001
ACH-000226,-1.5242644556
ACH-000227,-2.11786013219
ACH-000228,-1.3066422239
ACH-000231,-1.3863014504799998
ACH-000232,-1.6856535804799997
ACH-000233,-1.79193057283
ACH-000234,-1.34236373677
ACH-000235,-1.45507899688
ACH-000237,-1.3821581481999998
ACH-000238,-1.7084577672299999
ACH-000243,-1.5179361219799998
ACH-000244,-1.6650527611300001
ACH-000246,-1.33617155305
ACH-000248,-1.1790867876
ACH-000250,-1.50478234542
ACH-000251,-1.4710391101
ACH-000253,-1.48376723657
ACH-000255,-1.21594085171
ACH-000256,-1.1689516756
ACH-000257,-1.1678780813
ACH-000258,-1.8242344104900003
ACH-000259,-1.45507185585
ACH-000260,-1.37775871817
ACH-000261,-1.6090835857799999
ACH-000262,-1.5080161436200001
ACH-000263,-1.89834071388
ACH-000264,-1.6261766250999998
ACH-000265,-1.33083602198
ACH-000266,-1.3216005655399998
ACH-000272,-1.3531679131799998
ACH-000273,-1.26293687863
ACH-000274,-1.77795051528
ACH-000277,-1.2804125504100001
ACH-000278,-1.3651876820299997
ACH-000279,-1.6572332399899998
ACH-000280,-1.55395694229
ACH-000281,-1.29985431328
ACH-000288,-1.4762150867800001
ACH-000291,-1.41293678136
ACH-000293,-2.07096528845
ACH-000294,-2.08246510606
ACH-000295,-1.5564680397100001
ACH-000296,-1.3367419601600001
ACH-000302,-1.69037707965
ACH-000304,-1.18664355706
ACH-000307,-1.1637715664
ACH-000308,-1.56044987285
ACH-000310,-1.9030494301599998
ACH-000311,-1.79104394792
ACH-000312,-1.43026621432
ACH-000315,-1.6263041203100002
ACH-000316,-1.44305132683
ACH-000317,-1.4858952288799998
ACH-000318,-1.80844710583
ACH-000319,-1.3389864484899998
ACH-000320,-1.32565096436
ACH-000322,-1.25030659176
ACH-000323,-1.18041084102
ACH-000324,-1.4295835106700001
ACH-000329,-1.6204639463100001
ACH-000330,-1.4586230075
ACH-000331,-1.26494611515
ACH-000332,-1.4931479414
ACH-000334,-2.1701688558099996
ACH-000335,-1.395844099
ACH-000336,-1.12711372051
ACH-000337,-1.21013830569
ACH-000339,-1.44536389921
ACH-000341,-1.33399600316
ACH-000348,-1.66428956241
ACH-000350,-1.73264060159
ACH-000352,-1.60374193993
ACH-000356,-1.28327735558
ACH-000361,-1.64156337275
ACH-000362,-1.65462978224
ACH-000363,-1.7850785214900002
ACH-000364,-1.21223689999
ACH-000365,-1.5009187707299998
ACH-000366,-1.5786221397600002
ACH-000368,-1.2963685312100002
ACH-000374,-1.4082230314500002
ACH-000375,-1.3528512522999998
ACH-000376,-1.4440060042700003
ACH-000381,-1.30033020776
ACH-000383,-1.8212283187
ACH-000387,-1.3885794314300002
ACH-000389,-1.62505109241
ACH-000390,-1.7431074113099998
ACH-000393,-1.4491372457799998
ACH-000395,-1.6856001520500001
ACH-000397,-1.2537676629
ACH-000401,-1.2192501346100002
ACH-000402,-1.54348418874
ACH-000403,-1.63045924314
ACH-000404,-1.54474166863
ACH-000406,-1.55023022294
ACH-000407,-1.3644254981000001
ACH-000408,-1.32332493958
ACH-000410,-1.3918572262600002
ACH-000411,-1.43800738657
ACH-000414,-1.66424169432
ACH-000415,-1.67303460881
ACH-000416,-1.3695155835799997
ACH-000420,-1.23316212236
ACH-000421,-1.37854509025
ACH-000424,-1.7080873875799998
ACH-000425,-1.18499750823
ACH-000426,-2.05974125932
ACH-000427,-1.62068379491
ACH-000433,-1.3143786504200001
ACH-000436,-1.26940639649
ACH-000444,-1.31296762622
ACH-000445,-1.2847645271600001
ACH-000448,-1.44523940216
ACH-000450,-1.6851374579700003
ACH-000452,-1.70115857254
ACH-000454,-1.2350643831700001
ACH-000458,-1.31316848909
ACH-000459,-1.2627537222799998
ACH-000460,-1.3682833788799997
ACH-000461,-1.5805557564
ACH-000463,-1.46067014134
ACH-000464,-1.3703151526800001
ACH-000466,-1.7016320686200002
ACH-000467,-1.3888784157
ACH-000468,-1.86416605401
ACH-000469,-1.4859529686700002
ACH-000470,-1.75619422268
ACH-000471,-1.4866991761700001
ACH-000472,-1.8736449530400001
ACH-000473,-1.42461062977
ACH-000475,-1.60159073651
ACH-000476,-1.45762879466
ACH-000477,-1.4854010426
ACH-000480,-1.3999260985799997
ACH-000481,-1.7308107598500002
ACH-000483,-1.72305712097
ACH-000484,-2.16527596128
ACH-000485,-1.65325364155
ACH-000486,-1.29116015857
ACH-000487,-1.4637972842200002
ACH-000488,-1.61684987428
ACH-000490,-1.42220200152
ACH-000491,-1.52249554561
ACH-000495,-1.36819332364
ACH-000496,-1.4781598112799998
ACH-000499,-1.2838993084299999
ACH-000500,-1.15141030501
ACH-000502,-1.43123938574
ACH-000503,-1.0509925140799998
ACH-000505,-1.6400348323500002
ACH-000507,-1.39745344621
ACH-000510,-1.8254965294099998
ACH-000511,-1.19560538585
ACH-000512,-1.5376035837200002
ACH-000516,-1.58780225546
ACH-000517,-1.61602465924
ACH-000518,-1.5446145796899997
ACH-000520,-1.35441830324
ACH-000521,-1.30592736466
ACH-000522,-1.44242827689
ACH-000524,-1.5887491443900001
ACH-000527,-1.27217591537
ACH-000528,-1.3603467142200003
ACH-000537,-1.4813301524
ACH-000541,-1.1897229139299998
ACH-000542,-1.39274928739
ACH-000544,-1.3253637554000002
ACH-000545,-1.2943785344399998
ACH-000547,-1.41211128209
ACH-000548,-1.41330155977
ACH-000549,-1.39597511444
ACH-000550,-1.4751805763299999
ACH-000552,-1.25190977692
ACH-000556,-1.4309926149399999
ACH-000557,-2.03845457578
ACH-000570,-1.54402507729
ACH-000571,-1.7713920142700001
ACH-000573,-1.39995770414
ACH-000576,-1.5088635141600002
ACH-000580,-1.57082195005
ACH-000584,-1.6169220937399997
ACH-000585,-1.3627864448299998
ACH-000588,-1.44879227269
ACH-000589,-1.54716040267
ACH-000591,-1.46026589166
ACH-000593,-1.29749049625
ACH-000600,-1.4848964390600001
ACH-000601,-1.36282114689
ACH-000604,-1.1371982911
ACH-000605,-1.61880076348
ACH-000606,-1.2889598870299999
ACH-000608,-2.21132387242
ACH-000614,-1.5497249499099999
ACH-000616,-1.43261640648
ACH-000618,-1.34082068459
ACH-000619,-1.5252411319499999
ACH-000620,-1.4718785336200002
ACH-000621,-1.67520618565
ACH-000622,-1.5470561642899998
ACH-000623,-1.56155037268
ACH-000624,-1.32231887482
ACH-000627,-1.25374821177
ACH-000630,-1.10601663842
ACH-000632,-1.60098215242
ACH-000633,-2.06409659321
ACH-000637,-1.54133040747
ACH-000638,-1.28835629176
ACH-000646,-1.69627010688
ACH-000647,-1.59865206963
ACH-000648,-1.4459681019600001
ACH-000649,-1.3891675503999998
ACH-000651,-1.5705517348500002
ACH-000652,-1.4936205040900001
ACH-000653,-1.4809644863999998
ACH-000657,-1.56009781118
ACH-000658,-1.69559233071
ACH-000661,-1.8250102128299999
ACH-000662,-1.27150822149
ACH-000663,-1.3472849312000001
ACH-000665,-1.54098278252
ACH-000671,-1.64013889184
ACH-000673,-1.5763325298100002
ACH-000676,-1.37168841967
ACH-000677,-1.86874787083
ACH-000681,-1.5885382757100002
ACH-000682,-1.4566802103299998
ACH-000683,-1.81086860844
ACH-000684,-1.27646352673
ACH-000688,-1.55279604353
ACH-000693,-1.4232229859099998
ACH-000694,-1.30054494112
ACH-000695,-1.59436521915
ACH-000696,-1.33421428802
ACH-000697,-1.15468021354
ACH-000699,-1.9222427328099998
ACH-000701,-1.4468805576600001
ACH-000706,-1.3127267961
ACH-000711,-1.50070547361
ACH-000713,-1.29517923831
ACH-000714,-1.26523047544
ACH-000718,-1.6142386620500002
ACH-000720,-1.42172608768
ACH-000721,-1.41250652833
ACH-000724,-0.944799013031
ACH-000725,-1.79064772012
ACH-000732,-1.23326689214
ACH-000734,-1.4629158922
ACH-000735,-1.3592751386300002
ACH-000736,-1.54501834381
ACH-000738,-1.4124044434799998
ACH-000746,-1.65727806425
ACH-000747,-1.49527037039
ACH-000748,-1.36708508275
ACH-000753,-1.5045739157799998
ACH-000756,-1.4932405357499998
ACH-000757,-1.65050939821
ACH-000758,-1.40056049223
ACH-000760,-1.3967963732799997
ACH-000763,-1.60268450964
ACH-000764,-1.28794285515
ACH-000765,-1.28381886448
ACH-000766,-1.32022616601
ACH-000767,-1.63113134257
ACH-000768,-1.33605498901
ACH-000769,-1.41410875342
ACH-000770,-1.46737369375
ACH-000771,-1.3209940022799997
ACH-000773,-1.5802834269400001
ACH-000776,-1.22592937669
ACH-000777,-1.19446049978
ACH-000778,-1.81589585613
ACH-000781,-1.4224823445800001
ACH-000782,-1.34675564615
ACH-000783,-1.7041451890900001
ACH-000784,-1.63458744245
ACH-000785,-1.5268961801700003
ACH-000787,-1.40882869454
ACH-000788,-1.61467790641
ACH-000791,-1.4595078649700002
ACH-000792,-1.59696233324
ACH-000794,-1.26487301795
ACH-000796,-1.5288747081999998
ACH-000799,-1.1835789258299998
ACH-000800,-1.20041665641
ACH-000802,-1.5869735538999998
ACH-000804,-2.05120951261
ACH-000805,-1.53721167277
ACH-000809,-1.5158070270500001
ACH-000810,-1.27428189154
ACH-000811,-1.4351751293000001
ACH-000817,-1.2097756157700001
ACH-000819,-1.4235283628400002
ACH-000820,-1.09125292571
ACH-000821,-1.67096390497
ACH-000822,-1.62798285911
ACH-000823,-1.55720357764
ACH-000824,-1.87786887678
ACH-000827,-1.25951077963
ACH-000829,-1.78896927124
ACH-000831,-1.4065064949500001
ACH-000832,-1.2861641781200002
ACH-000833,-1.5250275314
ACH-000834,-1.5209942365600002
ACH-000835,-1.2455217439200001
ACH-000836,-1.58776342779
ACH-000837,-1.47111026341
ACH-000838,-1.51357852004
ACH-000839,-1.4296661433200002
ACH-000840,-1.1809216976
ACH-000841,-1.46626975114
ACH-000843,-1.36457491
ACH-000846,-1.1123389339
ACH-000847,-1.6156170287
ACH-000848,-1.23296149371
ACH-000849,-1.6785225755000002
ACH-000851,-1.29813967324
