,CYB561D2 (11068)
ACH-000004,-0.160301128207
ACH-000007,-0.016304177797
ACH-000009,-0.276120812926
ACH-000011,-0.215276572888
ACH-000012,-0.316317193655
ACH-000013,-0.24352243863200002
ACH-000014,-0.07032646920860001
ACH-000015,-0.373677357456
ACH-000017,-0.209369226227
ACH-000018,-0.694598424202
ACH-000019,0.0269180816807
ACH-000021,-0.7743702785009999
ACH-000022,-0.178840297563
ACH-000025,-0.37816905513000004
ACH-000028,-0.17733865357700002
ACH-000030,-0.240528746514
ACH-000035,-0.213550219249
ACH-000036,-0.319322808341
ACH-000037,-0.202378963184
ACH-000039,-0.0274034777573
ACH-000040,-0.202775319232
ACH-000041,-0.367714050285
ACH-000042,-0.17271870096099998
ACH-000045,-0.182268578487
ACH-000047,-0.10445714133199999
ACH-000052,-0.161799972637
ACH-000053,-0.18641901326699997
ACH-000054,-0.230126339139
ACH-000055,-0.263118340639
ACH-000060,-0.33028929699299997
ACH-000067,-0.40439373346199997
ACH-000070,-0.17793403036
ACH-000075,-0.23762890225699998
ACH-000078,-0.0021974510159
ACH-000082,-0.194177638215
ACH-000085,-0.133259634373
ACH-000086,-0.282947276606
ACH-000087,-0.302289811587
ACH-000092,-0.0739063096109
ACH-000095,-0.234927825222
ACH-000097,-0.205994618242
ACH-000098,-0.286399881443
ACH-000099,-0.152329917847
ACH-000108,-0.1665243758
ACH-000113,-0.146415960857
ACH-000115,-0.37646412893799996
ACH-000116,-0.0261201845334
ACH-000118,-0.255895400317
ACH-000120,-0.0942325605122
ACH-000123,-0.43001192970799995
ACH-000127,-0.358253784495
ACH-000128,-0.22444405894900002
ACH-000132,-0.16137673788100002
ACH-000133,-0.371685918963
ACH-000137,-0.293989660084
ACH-000138,-0.26691364202
ACH-000142,-0.160161612924
ACH-000143,-0.20925934485300002
ACH-000146,-0.09354952298260001
ACH-000148,-0.22779118109000002
ACH-000150,-0.45736844837499996
ACH-000152,-0.301639287702
ACH-000153,-0.318417562865
ACH-000159,-0.23656455964200002
ACH-000160,-0.28150880806
ACH-000163,-0.36897058871699995
ACH-000167,-0.102961901501
ACH-000168,-0.418377229151
ACH-000169,-0.08532879926869999
ACH-000178,-0.19710957969
ACH-000182,-0.249927358004
ACH-000183,-0.3133137715
ACH-000188,-0.28029263491
ACH-000189,-0.46297528327200005
ACH-000190,-0.13208823213600002
ACH-000198,-0.190025666591
ACH-000204,-0.37953284789700004
ACH-000206,-0.281991794791
ACH-000207,-0.104427249299
ACH-000211,-0.266652643065
ACH-000215,-0.10846477977600001
ACH-000221,-0.138781517849
ACH-000222,-0.156214745256
ACH-000223,-0.0876828634284
ACH-000226,-0.146472178993
ACH-000227,-0.424715259146
ACH-000228,-0.140715857974
ACH-000231,-0.274457971546
ACH-000232,-0.133550334544
ACH-000233,-0.349588311143
ACH-000234,-0.325119095548
ACH-000235,-0.27992607992199997
ACH-000237,-0.272455137927
ACH-000238,-0.287177327504
ACH-000243,-0.260053737577
ACH-000244,-0.577259370599
ACH-000246,-0.468064852131
ACH-000248,-0.17022345668299999
ACH-000250,-0.207141880083
ACH-000251,0.06027988650090001
ACH-000253,-0.27356268043299997
ACH-000255,-0.346826056752
ACH-000256,-0.21972468921500002
ACH-000257,-0.0611425448518
ACH-000258,-0.367524300434
ACH-000259,-0.08292698996289999
ACH-000260,-0.0785329070054
ACH-000261,-0.232092676067
ACH-000262,-0.216012201864
ACH-000263,-0.376849814311
ACH-000264,-0.13889909276100001
ACH-000265,-0.216905531625
ACH-000266,-0.20662193142000002
ACH-000272,-0.167563876128
ACH-000273,-0.0752756262108
ACH-000274,-0.354815969833
ACH-000277,-0.276871311259
ACH-000278,-0.29855084941300003
ACH-000279,-0.167753124018
ACH-000280,-0.121422649441
ACH-000281,-0.293329265174
ACH-000288,-0.265024545047
ACH-000291,-0.20618546777600003
ACH-000293,-0.354846395569
ACH-000294,-0.314515590449
ACH-000295,-0.227622743545
ACH-000296,-0.44881031198999993
ACH-000302,-0.157112110894
ACH-000304,-0.0168813848844
ACH-000307,-0.0665485714239
ACH-000308,-0.16553330714199999
ACH-000310,-0.022805997614199998
ACH-000311,-0.134919292258
ACH-000312,-0.128456980211
ACH-000315,-0.41588481969999996
ACH-000316,-0.289754119812
ACH-000317,-0.42248318412600006
ACH-000318,-0.27283660563400003
ACH-000319,-0.168184889194
ACH-000320,-0.30350542424800003
ACH-000322,0.0751302094252
ACH-000323,-0.270785938736
ACH-000324,-0.0935846450192
ACH-000329,-0.251619072607
ACH-000330,-0.129999121735
ACH-000331,-0.24030680781599997
ACH-000332,-0.219674608595
ACH-000334,-0.279567808132
ACH-000335,-0.27191721600499996
ACH-000336,-0.306776130361
ACH-000337,-0.20901400492699998
ACH-000339,-0.331389853259
ACH-000341,-0.00959713473302
ACH-000348,-0.256711446122
ACH-000350,-0.16463393970100001
ACH-000352,-0.18787029097
ACH-000356,-0.0667251682118
ACH-000361,-0.35706132806
ACH-000362,-0.266231808
ACH-000363,-0.08864636040010002
ACH-000364,-0.17981516974599998
ACH-000365,-0.181976484164
ACH-000366,-0.134850340611
ACH-000368,-0.40917536525799997
ACH-000374,-0.24989148826299998
ACH-000375,-0.24590980871399998
ACH-000376,-0.154328675452
ACH-000381,-0.189494976418
ACH-000383,-0.248046468837
ACH-000387,-0.280186269358
ACH-000389,-0.224732721124
ACH-000390,-0.168088980189
ACH-000393,-0.217357168949
ACH-000395,-0.19598474625300003
ACH-000397,-0.33825424905
ACH-000401,-0.125230430014
ACH-000402,-0.428563666206
ACH-000403,-0.193081793226
ACH-000404,-0.251711155013
ACH-000406,-0.259180709721
ACH-000407,-0.178795414711
ACH-000408,-0.235364607945
ACH-000410,-0.31038719316999996
ACH-000411,-0.966116503441
ACH-000414,-0.0747254756212
ACH-000415,-0.240941037347
ACH-000416,-0.18565194823800002
ACH-000420,-0.31317440869
ACH-000421,-0.155392389081
ACH-000424,-0.596401616727
ACH-000425,-0.0588122283692
ACH-000426,-0.17885478767700003
ACH-000427,-0.43364762441699994
ACH-000433,-0.19866273499
ACH-000436,-0.17576466
ACH-000444,-0.0639105489511
ACH-000445,-0.178550870753
ACH-000448,-0.22582831478100002
ACH-000450,-0.332014003934
ACH-000452,-0.237366865415
ACH-000454,-0.45482874640500004
ACH-000458,-0.191290001876
ACH-000459,-0.0403153542319
ACH-000460,-0.257088082263
ACH-000461,-0.068071942969
ACH-000463,-0.24518810457499998
ACH-000464,-0.223958293303
ACH-000466,-0.0420228224077
ACH-000467,-0.121436262688
ACH-000468,-0.0073798817359399995
ACH-000469,-0.192277405296
ACH-000470,-0.167996142665
ACH-000471,-0.135110103249
ACH-000472,-0.195939109313
ACH-000473,-0.247482180397
ACH-000475,-0.275272706961
ACH-000476,-0.197728661144
ACH-000477,-0.27216646184
ACH-000480,-0.0293877974627
ACH-000481,-0.278217351136
ACH-000483,-0.30718889596500004
ACH-000484,-0.07307648585189999
ACH-000485,0.0663380088495
ACH-000486,-0.259397052503
ACH-000487,-0.24406943852200003
ACH-000488,-0.323501581644
ACH-000490,-0.153626634008
ACH-000491,-0.22431031594599998
ACH-000495,-0.36957438145599997
ACH-000496,-0.12461657436200001
ACH-000499,0.0342804291395
ACH-000500,-0.0302096651995
ACH-000502,-0.181726593743
ACH-000503,-0.0650496530375
ACH-000505,-0.24757758225
ACH-000507,-0.10311832785599999
ACH-000510,-0.267145847427
ACH-000511,-0.313382601664
ACH-000512,-0.469484741598
ACH-000516,-0.175958189898
ACH-000517,-0.22471736735199999
ACH-000518,-0.222900024424
ACH-000520,-0.224995762207
ACH-000521,-0.143976531798
ACH-000522,-0.237776459768
ACH-000524,-0.38706938622000003
ACH-000527,-0.32309302850099997
ACH-000528,-0.200483089641
ACH-000537,-0.36764735988499997
ACH-000541,-0.257904677867
ACH-000542,-0.330967603062
ACH-000544,-0.23384689959000002
ACH-000545,-0.282586982419
ACH-000547,-0.09136433021389999
ACH-000548,-0.397089203784
ACH-000549,-0.43706095813999996
ACH-000550,-0.287284158579
ACH-000552,-0.23165063307199998
ACH-000556,-0.228240890402
ACH-000557,-0.20288839143800003
ACH-000570,-0.280296157261
ACH-000571,-0.0700926503286
ACH-000573,-0.241599067634
ACH-000576,-0.253263437578
ACH-000580,0.0634597934074
ACH-000584,-0.279653815721
ACH-000585,-0.144550017506
ACH-000588,-0.290720125435
